配方ID,順序,種類,名稱,名稱狀態,數量,機率,等級條件,等級,條件備註,原文
fusion-a0173,1,寵物,暴雪魔獸,已對應寵物表,,,,,,暴雪魔獸
fusion-a0174,1,寵物,赤焰獅王,已對應寵物表,,,,,,赤焰獅王
fusion-a0175,1,寵物,黃金帝獅,已對應寵物表,,,,,,黃金帝獅
fusion-a0176,1,寵物,蝕月炎獸,已對應寵物表,,,,,,蝕月炎獸
fusion-a0177,1,寵物,魔魂阿爾卡迪亞,已對應寵物表,,95%,指定,1,,Lv1魔魂阿爾卡迪亞（概率95%）
fusion-a0177,2,寵物,女帝阿爾卡迪亞,已對應寵物表,,5%,指定,1,,Lv1女帝阿爾卡迪亞（概率5%）
fusion-a0178,1,寵物,鬥魂阿爾卡迪亞,已對應寵物表,,95%,指定,1,,Lv1鬥魂阿爾卡迪亞（概率95%）
fusion-a0178,2,寵物,女帝阿爾卡迪亞,已對應寵物表,,5%,指定,1,,Lv1女帝阿爾卡迪亞（概率5%）
fusion-a0179,1,寵物,戰魂阿爾卡迪亞,已對應寵物表,,95%,指定,1,,Lv1戰魂阿爾卡迪亞（概率95%）
fusion-a0179,2,寵物,女帝阿爾卡迪亞,已對應寵物表,,5%,指定,1,,Lv1女帝阿爾卡迪亞（概率5%）
fusion-a0180,1,寵物,技魂阿爾卡迪亞,已對應寵物表,,95%,指定,1,,Lv1技魂阿爾卡迪亞（概率95%）
fusion-a0180,2,寵物,女帝阿爾卡迪亞,已對應寵物表,,5%,指定,1,,Lv1女帝阿爾卡迪亞（概率5%）
fusion-a0181,1,寵物,靈魂阿爾卡迪亞,已對應寵物表,,95%,指定,1,,Lv1靈魂阿爾卡迪亞（概率95%）
fusion-a0181,2,寵物,女帝阿爾卡迪亞,已對應寵物表,,5%,指定,1,,Lv1女帝阿爾卡迪亞（概率5%）
fusion-a0182,1,寵物,武魂阿爾卡迪亞,已對應寵物表,,95%,指定,1,,Lv1武魂阿爾卡迪亞（概率95%）
fusion-a0182,2,寵物,女帝阿爾卡迪亞,已對應寵物表,,5%,指定,1,,Lv1女帝阿爾卡迪亞（概率5%）
fusion-a0183,1,寵物,魔法師阿爾卡迪亞,已對應寵物表,,,指定,1,,Lv1魔法師阿爾卡迪亞
fusion-a0184,1,寵物,劍士阿爾卡迪亞,已對應寵物表,,,指定,1,,Lv1劍士阿爾卡迪亞
fusion-a0185,1,寵物,格鬥家阿爾卡迪亞,已對應寵物表,,,指定,1,,Lv1格鬥家阿爾卡迪亞
fusion-a0186,1,寵物,弓箭手阿爾卡迪亞,已對應寵物表,,,指定,1,,Lv1弓箭手阿爾卡迪亞
fusion-a0187,1,寵物,戰斧阿爾卡迪亞,已對應寵物表,,,指定,1,,Lv1戰斧阿爾卡迪亞
fusion-a0188,1,寵物,咒術師阿爾卡迪亞,已對應寵物表,,,指定,1,,Lv1咒術師阿爾卡迪亞
fusion-a0189,1,寵物,琉璃花妖王,已對應寵物表,,,指定,1,,Lv1琉璃花妖王
fusion-a0190,1,寵物,冰雪水藍鼠,已對應寵物表,,,指定,1,,Lv1冰雪水藍鼠
fusion-a0191,1,寵物,奪魂陰影,已對應寵物表,,,指定,1,,Lv1奪魂陰影
fusion-a0192,1,寵物,奪魂闇影,已對應寵物表,,,指定,1,,Lv1奪魂闇影
fusion-a0193,1,寵物,奪魂陰影,已對應寵物表,,95%,指定,1,,Lv1奪魂陰影（概率95%）
fusion-a0193,2,寵物,奪魂陰影之主,已對應寵物表,,5%,指定,1,,Lv1奪魂陰影之主（概率5%）
fusion-a0194,1,寵物,奪魂闇影,已對應寵物表,,95%,指定,1,,Lv1奪魂闇影（概率95%）
fusion-a0194,2,寵物,奪魂闇影之主,已對應寵物表,,5%,指定,1,,Lv1奪魂闇影之主（概率5%）
fusion-a0195,1,寵物,奪魂陰影,已對應寵物表,,,指定,1,,Lv1奪魂陰影
fusion-a0196,1,寵物,奪魂闇影,已對應寵物表,,,指定,1,,Lv1奪魂闇影
fusion-a0197,1,寵物,極寒雪兒精靈,已對應寵物表,,,指定,1,,Lv1極寒雪兒精靈
fusion-a0198,1,寵物,銀雪聖誕精靈,已對應寵物表,,,指定,1,,Lv1銀雪聖誕精靈
fusion-a0199,1,寵物,寒晶絲諾精靈,已對應寵物表,,,指定,1,,Lv1寒晶絲諾精靈
fusion-a0200,1,寵物,冰雪愛絲精靈,已對應寵物表,,,指定,1,,Lv1冰雪愛絲精靈
fusion-a0201,1,寵物,魔術機甲ROX,已對應寵物表,,,指定,1,,Lv1魔術機甲ROX
fusion-a0202,1,寵物,闇影機甲NXT,已對應寵物表,,,指定,1,,Lv1闇影機甲NXT
fusion-a0203,1,寵物,閃光機甲AEX,已對應寵物表,,,指定,1,,Lv1閃光機甲AEX
fusion-a0204,1,寵物,強襲機甲LMX,已對應寵物表,,,指定,1,,Lv1強襲機甲LMX
fusion-a0205,1,寵物,刀客劍次,已對應寵物表,,,指定,1,,Lv1刀客劍次
fusion-a0206,1,寵物,刀客劍次,已對應寵物表,,,指定,1,,Lv1刀客劍次
fusion-a0207,1,寵物,刀客劍次,已對應寵物表,,95%,指定,1,,Lv1刀客劍次（概率95%）
fusion-a0207,2,寵物,狂魔劍次,已對應寵物表,,5%,指定,1,,Lv1狂魔劍次（概率5%）
fusion-a0208,1,寵物,牛丸,已對應寵物表,,98%,指定,1,,Lv1牛丸（概率98%）
fusion-a0208,2,寵物,牛鬼丸,已對應寵物表,,2%,指定,1,,Lv1牛鬼丸（概率2%）
fusion-a0209,1,寵物,血腥流刃,已對應寵物表,,,指定,1,,Lv1血腥流刃
fusion-a0210,1,寵物,深淵石像魔王,已對應寵物表,,,指定,1,,Lv1深淵石像魔王
fusion-a0211,1,寵物,殺龍逆刃,已對應寵物表,,,指定,1,,Lv1殺龍逆刃
fusion-a0212,1,寵物,改造鐮刀魔,已對應寵物表,,,指定,1,,Lv1改造鐮刀魔
fusion-a0213,1,寵物,改造暗黑僧侶,已對應寵物表,,,指定,1,,Lv1改造暗黑僧侶
fusion-a0214,1,寵物,改造斬首者,已對應寵物表,,,指定,1,,Lv1改造斬首者
fusion-a0215,1,寵物,改造冥界死神,已對應寵物表,,,指定,1,,Lv1改造冥界死神
fusion-a0216,1,寵物,武士和馬,已對應寵物表,,95%,指定,1,,Lv1武士和馬（概率95%）
fusion-a0216,2,寵物,侍魂和馬,已對應寵物表,,5%,指定,1,,Lv1侍魂和馬（概率5%）
fusion-a0217,1,寵物,武士和馬,已對應寵物表,,,指定,1,,Lv1武士和馬
fusion-a0218,1,寵物,武士和馬,已對應寵物表,,,指定,1,,Lv1武士和馬
fusion-a0219,1,寵物,風月公主,已對應寵物表,,,指定,1,,Lv1風月公主
fusion-a0220,1,寵物,皎月公主,已對應寵物表,,,指定,1,,Lv1皎月公主
fusion-a0221,1,寵物,猩紅公主,已對應寵物表,,,指定,1,,Lv1猩紅公主
fusion-a0222,1,寵物,水月公主,已對應寵物表,,,指定,1,,Lv1水月公主
fusion-a0223,1,寵物,月宮公主,已對應寵物表,,,指定,1,,Lv1月宮公主
fusion-a0224,1,寵物,暗月公主,已對應寵物表,,,指定,1,,Lv1暗月公主
fusion-a0225,1,寵物,烈焰元素使,已對應寵物表,,,,,,烈焰元素使
fusion-a0226,1,寵物,大地元素使,已對應寵物表,,,,,,大地元素使
fusion-a0227,1,寵物,天空元素使,已對應寵物表,,,,,,天空元素使
fusion-a0228,1,寵物,海洋元素使,已對應寵物表,,,指定,1,,Lv1海洋元素使
fusion-a0229,1,寵物,猶大,已對應寵物表,,,指定,1,,Lv1猶大
fusion-a0230,1,寵物,猶大,已對應寵物表,,,指定,1,,Lv1猶大
fusion-a0231,1,寵物,猶大,已對應寵物表,,95%,指定,1,,Lv1猶大（概率95%）
fusion-a0231,2,寵物,天啟者猶大,已對應寵物表,,5%,指定,1,,Lv1天啟者猶大（概率5%）
fusion-a0232,1,寵物,青鸞聖鳥,已對應寵物表,,,指定,1,,Lv1青鸞聖鳥
fusion-a0233,1,寵物,幽紫魔靈,已對應寵物表,,,指定,1,,Lv1幽紫魔靈
fusion-a0234,1,寵物,德魯伊之魂,已對應寵物表,,,指定,1,,Lv1德魯伊之魂
fusion-a0235,1,寵物,雷霆神獸,已對應寵物表,,,指定,1,,Lv1雷霆神獸
fusion-a0236,1,寵物,噬魂毒蟹,已對應寵物表,,,指定,1,,Lv1噬魂毒蟹
fusion-a0237,1,寵物,星綠花妖王,已對應寵物表,,,指定,1,,Lv1星綠花妖王
fusion-a0238,1,寵物,22週年鼠王,已對應寵物表,,,指定,1,,Lv1 22週年鼠王
fusion-a0239,1,寵物,22週年液態史萊姆,已對應寵物表,,,指定,1,,Lv1 22週年液態史萊姆
fusion-a0240,1,寵物,22週年樹精,已對應寵物表,,,指定,1,,Lv1 22週年樹精
fusion-a0241,1,寵物,改造布雷歐,已對應寵物表,,,指定,1,,Lv1改造布雷歐
fusion-a0242,1,寵物,改造布雷歐,已對應寵物表,,,指定,1,,Lv1改造布雷歐
fusion-a0243,1,寵物,改造布雷歐,已對應寵物表,,95%,指定,1,,Lv1改造布雷歐（概率95%）
fusion-a0243,2,寵物,紅翼奇美拉,已對應寵物表,,5%,指定,1,,Lv1紅翼奇美拉（概率5%）
fusion-a0244,1,寵物,22週年黃蜂,已對應寵物表,,,指定,1,,Lv1 22週年黃蜂
fusion-a0245,1,寵物,22週年螳螂,已對應寵物表,,,指定,1,,Lv1 22週年螳螂
fusion-a0246,1,寵物,22週年水龍蜥,已對應寵物表,,,指定,1,,Lv1 22週年水龍蜥
fusion-a0247,1,寵物,神隱魔偶,已對應寵物表,,,指定,1,,Lv1神隱魔偶
fusion-a0248,1,寵物,阿魯巴斯克隆體,已對應寵物表,,,指定,1,,Lv1阿魯巴斯克隆體
fusion-a0249,1,寵物,阿魯巴斯克隆體,已對應寵物表,,95%,指定,1,,Lv1阿魯巴斯克隆體（概率95%）
fusion-a0249,2,寵物,暗醫阿魯巴斯,已對應寵物表,,5%,指定,1,,Lv1暗醫阿魯巴斯（概率5%）
fusion-a0250,1,寵物,阿魯巴斯克隆體,已對應寵物表,,,指定,1,,Lv1阿魯巴斯克隆體
fusion-a0251,1,寵物,雷暴娃娃水母,已對應寵物表,,,指定,1,,Lv1雷暴娃娃水母
fusion-a0252,1,寵物,雷暴娃娃水母,已對應寵物表,,,指定,1,,Lv1雷暴娃娃水母
fusion-a0253,1,寵物,琴韻海妖,已對應寵物表,,,指定,1,,Lv1琴韻海妖
fusion-a0254,1,寵物,古代巨櫻樹王,已對應寵物表,,,指定,1,,Lv1古代巨櫻樹王
fusion-a0255,1,寵物,暗裔龍王,已對應寵物表,,,指定,1,,Lv1暗裔龍王
fusion-a0256,1,寵物,反轉袋龍,已對應寵物表,,,指定,1,,Lv1反轉袋龍
fusion-a0257,1,寵物,艷陽鼠王,已對應寵物表,,,指定,1,,Lv1艷陽鼠王
fusion-a0258,1,寵物,百香公主,已對應寵物表,,,指定,1,,Lv1百香公主
fusion-a0259,1,寵物,九頭巨蛇,已對應寵物表,,,指定,1,,Lv1九頭巨蛇
fusion-a0260,1,寵物,九頭巨蛇,已對應寵物表,,,指定,1,,Lv1九頭巨蛇
fusion-a0261,1,寵物,九頭巨蛇,已對應寵物表,,95%,指定,1,,Lv1九頭巨蛇（概率95%）
fusion-a0261,2,寵物,喪屍魔龍,已對應寵物表,,5%,指定,1,,Lv1喪屍魔龍（概率5%）
fusion-a0262,1,寵物,蜜瓜公主,已對應寵物表,,,指定,1,,Lv1蜜瓜公主
fusion-a0263,1,寵物,聖劍,已對應寵物表,,,指定,1,,Lv1聖劍
fusion-a0264,1,寵物,聖劍,已對應寵物表,,,指定,1,,Lv1聖劍
fusion-a0265,1,寵物,聖劍,已對應寵物表,,,指定,1,,Lv1聖劍
fusion-a0266,1,寵物,聖劍,已對應寵物表,,,指定,1,,Lv1聖劍
fusion-a0267,1,寵物,聖劍,已對應寵物表,,,指定,1,,Lv1聖劍
fusion-a0268,1,寵物,魔劍,已對應寵物表,,,指定,1,,Lv1魔劍
fusion-a0269,1,寵物,魔劍,已對應寵物表,,,指定,1,,Lv1魔劍
fusion-a0270,1,寵物,魔劍,已對應寵物表,,,指定,1,,Lv1魔劍
fusion-a0271,1,寵物,魔劍,已對應寵物表,,,指定,1,,Lv1魔劍
fusion-a0272,1,寵物,魔劍,已對應寵物表,,,指定,1,,Lv1魔劍
fusion-a0273,1,寵物,神聖翼龍,已對應寵物表,,,指定,1,,Lv1神聖翼龍
fusion-a0274,1,寵物,神聖翼龍,已對應寵物表,,90%,指定,1,,Lv1神聖翼龍（概率90%）
fusion-a0274,2,寵物,神聖巨龍,已對應寵物表,,10%,指定,1,,Lv1神聖巨龍（概率10%）
fusion-a0275,1,寵物,九尾狐,已對應寵物表,,,指定,1,,Lv1九尾狐
fusion-a0276,1,寵物,七尾狐,已對應寵物表,,,指定,1,,Lv1七尾狐
fusion-a0277,1,寵物,五尾狐,已對應寵物表,,,指定,1,,Lv1五尾狐
fusion-a0278,1,寵物,三尾狐,已對應寵物表,,,指定,1,,Lv1三尾狐
fusion-a0279,1,寵物,海洋元素使,已對應寵物表,,,指定,1,,Lv1海洋元素使
fusion-a0280,1,寵物,銀狐,已對應寵物表,,5%,指定,1,,Lv1銀狐（概率5%）
fusion-a0280,2,寵物,九尾狐,已對應寵物表,,95%,指定,1,,Lv1九尾狐（概率95%）
fusion-a0281,1,寵物,強襲機甲AEX,來源原文,,,指定,1,,Lv1強襲機甲AEX
fusion-a0282,1,寵物,閃光機甲AEX,已對應寵物表,,,指定,1,,Lv1閃光機甲AEX
fusion-a0283,1,寵物,光明天使,已對應寵物表,,,指定,1,,Lv1光明天使
fusion-a0284,1,寵物,光明天使,已對應寵物表,,90%,指定,1,,Lv1光明天使（概率90%）
fusion-a0284,2,寵物,天使路西法,已對應寵物表,,10%,指定,1,,Lv1天使路西法（概率10%）
fusion-a0285,1,寵物,地獄星,已對應寵物表,,,指定,1,,Lv1地獄星
fusion-a0286,1,寵物,冥府之主,已對應寵物表,,,指定,1,,Lv1冥府之主
fusion-a0287,1,寵物,飛刃螳螂,已對應寵物表,,,指定,1,,Lv1飛刃螳螂
fusion-a0288,1,寵物,煉獄牛頭怪,已對應寵物表,,90%,指定,1,,Lv1煉獄牛頭怪（概率90%）
fusion-a0288,2,寵物,火焰牛鬼領主,已對應寵物表,,10%,指定,1,,Lv1火焰牛鬼領主（概率10%）
fusion-a0289,1,寵物,烈風牛魔王,已對應寵物表,,90%,指定,1,,Lv1烈風牛魔王（概率90%）
fusion-a0289,2,寵物,烈風牛鬼領主,已對應寵物表,,10%,指定,1,,Lv1烈風牛鬼領主（概率10%）
fusion-a0290,1,寵物,強襲牛鬼,已對應寵物表,,90%,指定,1,,Lv1強襲牛鬼（概率90%）
fusion-a0290,2,寵物,大地牛鬼領主,已對應寵物表,,10%,指定,1,,Lv1大地牛鬼領主（概率10%）
fusion-a0291,1,寵物,寒冰牛魔王,已對應寵物表,,90%,指定,1,,Lv1寒冰牛魔王（概率90%）
fusion-a0291,2,寵物,寒冰牛鬼領主,已對應寵物表,,10%,指定,1,,Lv1寒冰牛鬼領主（概率10%）
fusion-a0292,1,寵物,烈風牛魔王,已對應寵物表,,,指定,1,,Lv1烈風牛魔王
fusion-a0293,1,寵物,煉獄牛魔王,來源原文,,,指定,1,,Lv1煉獄牛魔王
fusion-a0294,1,寵物,寒冰牛魔王,已對應寵物表,,,指定,1,,Lv1寒冰牛魔王
fusion-a0295,1,寵物,強襲牛鬼,已對應寵物表,,,指定,1,,Lv1強襲牛鬼
fusion-a0296,1,寵物,聖晶獨角獸,已對應寵物表,,,指定,1,,Lv1聖晶獨角獸
fusion-a0297,1,寵物,暴雪魔獸,已對應寵物表,,,指定,1,屬性：水5火5,Lv1暴雪魔獸（屬性：水5火5）
fusion-a0298,1,寵物,冰霜巨龍,已對應寵物表,,,指定,1,,Lv1冰霜巨龍
fusion-a0299,1,寵物,炎心真龍,已對應寵物表,,,指定,1,,Lv1炎心真龍
fusion-a0300,1,寵物,煞氣歐茲尼克,已對應寵物表,,,指定,1,,Lv1煞氣歐茲尼克
fusion-a0301,1,寵物,煞氣歐茲尼克,已對應寵物表,,,指定,1,,Lv1煞氣歐茲尼克
fusion-a0302,1,寵物,熊霸歐茲那克,已對應寵物表,,,指定,1,,Lv1熊霸歐茲那克
fusion-a0303,1,寵物,熊霸歐茲那克,已對應寵物表,,,指定,1,,Lv1熊霸歐茲那克
fusion-a0304,1,寵物,熊霸歐茲那克,已對應寵物表,,90%,指定,1,,Lv1熊霸歐茲那克（概率90%）
fusion-a0304,2,寵物,羅剎歐茲那克,已對應寵物表,,8%,指定,1,,Lv1羅剎歐茲那克（概率8%）
fusion-a0304,3,寵物,酒仙歐茲那克,已對應寵物表,,2%,指定,1,,Lv1酒仙歐茲那克（概率2%）
fusion-a0305,1,寵物,煞氣歐茲尼克,已對應寵物表,,90%,指定,1,,Lv1煞氣歐茲尼克（概率90%）
fusion-a0305,2,寵物,鬥神歐茲尼克,已對應寵物表,,8%,指定,1,,Lv1鬥神歐茲尼克（概率8%）
fusion-a0305,3,寵物,修羅歐茲尼克,已對應寵物表,,2%,指定,1,,Lv1修羅歐茲尼克（概率2%）
fusion-a0306,1,寵物,千兩招財貓,已對應寵物表,,,,,,千兩招財貓
fusion-a0307,1,寵物,十萬兩招財貓,已對應寵物表,,,,,,十萬兩招財貓
fusion-a0308,1,寵物,萬兩招財貓,已對應寵物表,,,,,,萬兩招財貓
fusion-a0309,1,寵物,億萬兩招財貓,已對應寵物表,,,,,,億萬兩招財貓
fusion-a0310,1,寵物,吉祥癸兔,已對應寵物表,,,指定,1,,Lv1吉祥癸兔
fusion-a0311,1,寵物,吉星癸兔,已對應寵物表,,,指定,1,,Lv1吉星癸兔
fusion-a0312,1,寵物,吉利癸兔,已對應寵物表,,,指定,1,,Lv1吉利癸兔
fusion-a0313,1,寵物,吉兆癸兔,已對應寵物表,,,指定,1,,Lv1吉兆癸兔
fusion-a0314,1,寵物,逐月仙靈,已對應寵物表,,,,,,逐月仙靈
fusion-a0315,1,寵物,槍術大師露比,已對應寵物表,,,指定,1,,Lv1槍術大師露比
fusion-a0316,1,寵物,格鬥大師露比,已對應寵物表,,,指定,1,,Lv1格鬥大師露比
fusion-a0317,1,寵物,戰斧大師露比,已對應寵物表,,,指定,1,,Lv1戰斧大師露比
fusion-a0318,1,寵物,弓術大師露比,已對應寵物表,,,指定,1,,Lv1弓術大師露比
fusion-a0319,1,寵物,巫術大師露比,已對應寵物表,,,指定,1,,Lv1巫術大師露比
fusion-a0320,1,寵物,劍術大師露比,已對應寵物表,,,指定,1,,Lv1劍術大師露比
fusion-a0321,1,寵物,見習騎士露比,已對應寵物表,,,指定,1,,Lv1見習騎士露比
fusion-a0322,1,寵物,見習格鬥家露比,已對應寵物表,,,指定,1,,Lv1見習格鬥家露比
fusion-a0323,1,寵物,見習巫師露比,已對應寵物表,,,指定,1,,Lv1見習巫師露比
fusion-a0324,1,寵物,見習戰斧露比,已對應寵物表,,,指定,1,,Lv1見習戰斧露比
fusion-a0325,1,寵物,見習劍士露比,已對應寵物表,,,指定,1,,Lv1見習劍士露比
fusion-a0326,1,寵物,見習弓箭手露比,已對應寵物表,,,指定,1,,Lv1見習弓箭手露比
fusion-a0327,1,寵物,火柴小王子,已對應寵物表,,,,,,火柴小王子
fusion-a0328,1,寵物,火柴小王子,已對應寵物表,,,,,,火柴小王子
fusion-a0329,1,寵物,咒殺型山吹,已對應寵物表,,,,,,咒殺型山吹
fusion-a0330,1,寵物,暴雪魔獸,已對應寵物表,,,,,,暴雪魔獸
fusion-a0331,1,寵物,蝕月炎獸,已對應寵物表,,,,,,蝕月炎獸
fusion-a0332,1,寵物,星輝仙靈,已對應寵物表,,,,,,星輝仙靈
fusion-a0333,1,寵物,魔王撒旦,已對應寵物表,,,,,,魔王撒旦
fusion-a0334,1,寵物,烈焰元素使,已對應寵物表,,,,,,烈焰元素使
fusion-a0335,1,寵物,帕布提斯馬,已對應寵物表,,,,,,帕布提斯馬
fusion-a0336,1,寵物,凱法,已對應寵物表,,,,,,凱法
fusion-a0337,1,寵物,大地元素使,已對應寵物表,,,,,,大地元素使
fusion-a0338,1,寵物,失翼之龍,來源原文,,,,,,失翼之龍
fusion-a0339,1,寵物,寒冰牛魔王,已對應寵物表,,,,,,寒冰牛魔王
fusion-a0340,1,寵物,地獄惡魔,已對應寵物表,,,,,,地獄惡魔
fusion-a0341,1,寵物,沙海將軍,已對應寵物表,,,,,,沙海將軍
fusion-a0342,1,寵物,神聖翼龍,已對應寵物表,,,,,,神聖翼龍
fusion-a0343,1,寵物,忍王梅茲,已對應寵物表,,,,,,忍王梅茲
fusion-a0344,1,寵物,煉獄牛頭怪,已對應寵物表,,,,,,煉獄牛頭怪
fusion-a0345,1,寵物,愛神丘比特,已對應寵物表,,,,,,愛神丘比特
fusion-a0346,1,寵物,熊霸歐茲那克,已對應寵物表,,,,,,熊霸歐茲那克
fusion-a0347,1,寵物,煞氣歐茲尼克,已對應寵物表,,,,,,煞氣歐茲尼克
fusion-a0348,1,寵物,疾風奇美拉,已對應寵物表,,,,,,疾風奇美拉
fusion-a0349,1,寵物,噩夢旋律影子,已對應寵物表,,,,,,噩夢旋律影子
fusion-a0350,1,寵物,強襲牛鬼,已對應寵物表,,,,,,強襲牛鬼
fusion-a0351,1,寵物,深邃幻影,已對應寵物表,,,,,,深邃幻影
fusion-m0002,1,寵物,變異龍祖,已對應寵物表,,,,,,變異龍祖
fusion-m0003,1,寵物,粉紅炸彈,已對應寵物表,,,,,,粉紅炸彈
fusion-m0004,1,寵物,雷獸,已對應寵物表,,,,,,雷獸
fusion-m0005,1,寵物,劇毒螃蟹,已對應寵物表,,,,,,劇毒螃蟹
fusion-m0006,1,寵物,懷舊樹精,已對應寵物表,,,,,,懷舊樹精
fusion-m0007,1,寵物,赤炎黃蜂,已對應寵物表,,,,,,赤炎黃蜂
fusion-m0008,1,寵物,純白液態史萊姆,已對應寵物表,,,,,,純白液態史萊姆
fusion-m0009,1,寵物,櫻花螳螂,已對應寵物表,,,,,,櫻花螳螂
fusion-m0010,1,寵物,黃金鼠王,已對應寵物表,,,,,,黃金鼠王
fusion-m0011,1,寵物,小白龍,已對應寵物表,,,,,,小白龍
fusion-m0012,1,寵物,祥雲寶寶,已對應寵物表,,,,,,祥雲寶寶
fusion-m0013,1,寵物,萬年龜,已對應寵物表,,,,,,萬年龜
fusion-m0014,1,寵物,金甲蟲,已對應寵物表,,,,,,金甲蟲
fusion-m0015,1,寵物,暗黑水龍蜥,已對應寵物表,,,,,,暗黑水龍蜥
fusion-m0016,1,寵物,紫翎,已對應寵物表,,,,,,紫翎
fusion-m0017,1,寵物,屠龍鬥士,已對應寵物表,,,,,,屠龍鬥士
fusion-m0018,1,寵物,斧頭幫千軍,已對應寵物表,,,,,,斧頭幫千軍
fusion-m0019,1,寵物,斧頭幫萬馬,已對應寵物表,,,,,,斧頭幫萬馬
fusion-m0020,1,寵物,幽紫妖靈,已對應寵物表,,,,,,幽紫妖靈
fusion-m0021,1,寵物,血腥魔刃,已對應寵物表,,,,,,血腥魔刃
fusion-m0022,1,寵物,魔化佛利波羅,已對應寵物表,,,,,,魔化佛利波羅
fusion-m0023,1,寵物,狂魔阿卡斯,已對應寵物表,,,,,,狂魔阿卡斯
fusion-m0024,1,寵物,邪神巴洛斯,已對應寵物表,,,,,,邪神巴洛斯
fusion-m0025,1,寵物,軍王李貝留斯,已對應寵物表,,,,,,軍王李貝留斯
fusion-m0026,1,寵物,兔耳精靈箱,已對應寵物表,,,,,,兔耳精靈箱
fusion-m0027,1,寵物,嚇人精靈箱,已對應寵物表,,,,,,嚇人精靈箱
fusion-m0028,1,寵物,綠蛙精靈箱,已對應寵物表,,,,,,綠蛙精靈箱
fusion-m0029,1,寵物,純白精靈箱,已對應寵物表,,,,,,純白精靈箱
fusion-m0030,1,寵物,藍魔精靈箱,已對應寵物表,,,,,,藍魔精靈箱
fusion-m0031,1,寵物,紅魔精靈箱,已對應寵物表,,,,,,紅魔精靈箱
fusion-m0032,1,寵物,暗影鳥人,已對應寵物表,,,,,,暗影鳥人
fusion-m0033,1,寵物,光精靈,已對應寵物表,,,,,,光精靈
fusion-m0034,1,寵物,冰精靈,已對應寵物表,,,,,,冰精靈
fusion-m0035,1,寵物,炎精靈,已對應寵物表,,,,,,炎精靈
fusion-m0036,1,寵物,木精靈,已對應寵物表,,,,,,木精靈
fusion-m0037,1,寵物,暗裔龍祖,已對應寵物表,,,,,,暗裔龍祖
fusion-m0038,1,寵物,甜心炸彈,已對應寵物表,,,,,,甜心炸彈
fusion-m0039,1,寵物,雷霆幻獸,已對應寵物表,,,,,,雷霆幻獸
fusion-m0040,1,寵物,蟲毒魔蟹,已對應寵物表,,,,,,蟲毒魔蟹
fusion-r0002,1,寵物,改造貓妖,已對應寵物表,,,,,,改造貓妖
fusion-r0003,1,寵物,改造赤熊,已對應寵物表,,,,,,改造赤熊
fusion-r0004,1,寵物,改造地獄骷髏,已對應寵物表,,,,,,改造地獄骷髏
fusion-r0005,1,寵物,改造水藍菇,已對應寵物表,,,,,,改造水藍菇
fusion-r0006,1,寵物,改造迷你石像怪,已對應寵物表,,,,,,改造迷你石像怪
fusion-r0007,1,寵物,改造樹精,已對應寵物表,,,,,,改造樹精
fusion-r0008,1,寵物,改造黃蠍,已對應寵物表,,,,,,改造黃蠍
fusion-r0009,1,寵物,改造掃把蝙蝠,已對應寵物表,,,,,,改造掃把蝙蝠
fusion-r0010,1,寵物,禁地妖花,已對應寵物表,,,,,,禁地妖花
fusion-r0011,1,寵物,深淵武裝骷髏,已對應寵物表,,,,,,深淵武裝骷髏
fusion-r0012,1,寵物,改造烈風哥布林,已對應寵物表,,,,,,改造烈風哥布林
fusion-r0013,1,寵物,荒漠兔耳仙人掌,已對應寵物表,,,,,,荒漠兔耳仙人掌
fusion-r0014,1,寵物,改造殭屍,已對應寵物表,,,,,,改造殭屍
fusion-r0015,1,寵物,夜行貓人,已對應寵物表,,,,,,夜行貓人
fusion-r0016,1,寵物,改造水蜘蛛,來源原文,,,,,,改造水蜘蛛
fusion-r0017,1,寵物,迷幻歌妖,已對應寵物表,,,,,,迷幻歌妖
fusion-r0018,1,寵物,改造陰影,已對應寵物表,,,,,,改造陰影
fusion-r0019,1,寵物,改造綠色口臭鬼,來源原文,,,,,,改造綠色口臭鬼
fusion-r0020,1,寵物,墮落惡魔螃蟹,已對應寵物表,,,,,,墮落惡魔螃蟹
fusion-h0001,1,寵物,風之使徒,已對應寵物表,,,,,,風之使徒
fusion-h0002,1,寵物,天空元素使,已對應寵物表,,,,,,天空元素使
