配方ID,順序,種類,名稱,名稱狀態,數量,等級條件,等級,條件備註,原文
fusion-a0108,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0109,1,寵物,格鬥家賽格梅特,已對應寵物表,,任意,,,任意等級的格鬥家賽格梅特
fusion-a0109,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0109,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0110,1,寵物,戰斧賽格梅特,已對應寵物表,,任意,,,任意等級的戰斧賽格梅特
fusion-a0110,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0110,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0111,1,寵物,弓箭手賽格梅特,已對應寵物表,,任意,,,任意等級的弓箭手賽格梅特
fusion-a0111,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0111,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0112,1,寵物,咒師賽格梅特,已對應寵物表,,任意,,,任意等級的咒師賽格梅特
fusion-a0112,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0112,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0113,1,寵物,劍士賽格梅特,已對應寵物表,,任意,,,任意等級的劍士賽格梅特
fusion-a0113,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0113,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0114,1,寵物,幼年聖金龍骨,已對應寵物表,,指定,1,,Lv1幼年聖金龍骨
fusion-a0114,2,道具,聖金魔紋基因,來源原文,3,,,,聖金魔紋基因×3
fusion-a0114,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0114,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0114,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0115,1,寵物,幼年岩帝龍骨,已對應寵物表,,指定,1,,Lv1幼年岩帝龍骨
fusion-a0115,2,道具,岩帝魔紋基因,來源原文,3,,,,岩帝魔紋基因×3
fusion-a0115,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0115,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0115,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0116,1,寵物,仙靈,來源原文,,指定,1,,Lv1仙靈
fusion-a0116,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0116,3,道具,逐月石,來源原文,10,,,,逐月石×10
fusion-a0116,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0117,1,寵物,仙靈,來源原文,,指定,1,,Lv1仙靈
fusion-a0117,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0117,3,道具,星輝石,來源原文,10,,,,星輝石×10
fusion-a0117,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0118,1,寵物,鐮刀魔,已對應寵物表,,任意,,,任意等級的鐮刀魔
fusion-a0118,2,道具,鐮刀魔設計圖ABCDE,已對應道具庫,1,,,,鐮刀魔設計圖ABCDE×1
fusion-a0119,1,寵物,暗黑僧侶,已對應寵物表,,任意,,,任意等級的暗黑僧侶
fusion-a0119,2,道具,暗黑僧侶設計圖ABCDE,已對應道具庫,1,,,,暗黑僧侶設計圖ABCDE×1
fusion-a0120,1,寵物,斬首者,已對應寵物表,,任意,,,任意等級的斬首者
fusion-a0120,2,道具,斬首者設計圖ABCDE,已對應道具庫,1,,,,斬首者設計圖ABCDE×1
fusion-a0121,1,寵物,冥界死神,已對應寵物表,,任意,,,任意等級的冥界死神
fusion-a0121,2,道具,冥界死神設計圖ABCDE,已對應道具庫,1,,,,冥界死神設計圖ABCDE×1
fusion-a0122,1,寵物,夢之惡魔,已對應寵物表,,指定,1,,Lv1的夢之惡魔
fusion-a0122,2,道具,惡魔之力,來源原文,1,,,,惡魔之力×1
fusion-a0122,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0122,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0123,1,寵物,黃金樹精,已對應寵物表,,至少,100,,Lv100以上的黃金樹精
fusion-a0123,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0123,3,道具,黃金樹根,來源原文,10,,,,黃金樹根×10
fusion-a0123,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0123,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0124,1,寵物,兵長馬里諾,已對應寵物表,,指定,1,,Lv1的兵長馬里諾
fusion-a0124,2,道具,風暴魂晶,已對應道具庫,188,,,,風暴魂晶×188
fusion-a0125,1,寵物,魅之惡魔,已對應寵物表,,指定,1,,Lv1的魅之惡魔
fusion-a0125,2,道具,惡魔之力,來源原文,1,,,,惡魔之力×1
fusion-a0125,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0125,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0126,1,寵物,死靈,已對應寵物表,,指定,1,,Lv1的死靈
fusion-a0126,2,道具,死靈精華,已對應道具庫,1,,,,死靈精華×1
fusion-a0126,3,道具,變異之源,已對應道具庫,10,,,,變異之源×10
fusion-a0126,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0127,1,寵物,依格羅斯,已對應寵物表,,指定,1,,Lv1的依格羅斯
fusion-a0127,2,道具,神聖之羽,已對應道具庫,188,,,,神聖之羽×188
fusion-a0128,1,寵物,虛弱的雷霆詛咒者,已對應寵物表,,至少,100,,Lv100以上的虛弱的雷霆詛咒者
fusion-a0128,2,道具,詛咒之鈴（雷）,來源原文,1,,,,詛咒之鈴（雷）×1
fusion-a0128,3,道具,幽冥之火,來源原文,50,,,,幽冥之火×50
fusion-a0129,1,寵物,虛弱的火焰詛咒者,已對應寵物表,,至少,100,,Lv100以上的虛弱的火焰詛咒者
fusion-a0129,2,道具,詛咒之鈴（火）,來源原文,1,,,,詛咒之鈴（火）×1
fusion-a0129,3,道具,幽冥之火,來源原文,50,,,,幽冥之火×50
fusion-a0130,1,寵物,虛弱的寒冰詛咒者,已對應寵物表,,至少,100,,Lv100以上的虛弱的寒冰詛咒者
fusion-a0130,2,道具,詛咒之鈴（水）,來源原文,1,,,,詛咒之鈴（水）×1
fusion-a0130,3,道具,幽冥之火,來源原文,50,,,,幽冥之火×50
fusion-a0131,1,寵物,虛弱的大地詛咒者,已對應寵物表,,至少,100,,Lv100以上的虛弱的大地詛咒者
fusion-a0131,2,道具,詛咒之鈴（地）,來源原文,1,,,,詛咒之鈴（地）×1
fusion-a0131,3,道具,幽冥之火,來源原文,50,,,,幽冥之火×50
fusion-a0132,1,寵物,幻之惡魔,已對應寵物表,,指定,1,,Lv1的幻之惡魔
fusion-a0132,2,道具,惡魔之力,來源原文,1,,,,惡魔之力×1
fusion-a0132,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0132,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0133,1,寵物,阿魯巴斯試做體,已對應寵物表,,指定,1,,Lv1的阿魯巴斯試做體
fusion-a0133,2,道具,奇美拉試做基因,已對應道具庫,888,,,,奇美拉試做基因×888
fusion-a0134,1,道具,彼特設計圖A-E,來源原文,,,,,彼特設計圖A-E
fusion-a0134,2,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0135,1,寵物,殺人螳螂,已對應寵物表,,指定,1,,lv1殺人螳螂
fusion-a0135,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0135,3,道具,地獄魔炎花,來源原文,10,,,,地獄魔炎花×10
fusion-a0135,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0135,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0136,1,寵物,戰錘魔偶,已對應寵物表,,指定,1,,lv1戰錘魔偶
fusion-a0136,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0136,3,道具,審判之鐮,來源原文,10,,,,審判之鐮×10
fusion-a0136,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0136,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0137,1,道具,烏莉兒設計圖A-E,來源原文,,,,,烏莉兒設計圖A-E
fusion-a0137,2,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0138,1,寵物,火焰翼龍,已對應寵物表,,指定,1,,lv1火焰翼龍
fusion-a0138,2,道具,火焰翼龍設計圖A-E,來源原文,,,,,火焰翼龍設計圖A-E
fusion-a0138,3,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0139,1,寵物,殺人蜂,已對應寵物表,,指定,1,,lv1殺人蜂
fusion-a0139,2,道具,殺人蜂設計圖A-E,來源原文,,,,,殺人蜂設計圖A-E
fusion-a0139,3,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0140,1,寵物,布丁史萊姆,已對應寵物表,,指定,1,,lv1布丁史萊姆
fusion-a0140,2,道具,布丁史萊姆設計圖A-E,來源原文,,,,,布丁史萊姆設計圖A-E
fusion-a0140,3,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0141,1,寵物,山賊,已對應寵物表,,指定,1,,lv1山賊
fusion-a0141,2,道具,山賊設計圖A-E,來源原文,,,,,山賊設計圖A-E
fusion-a0141,3,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0142,1,寵物,墮天使,已對應寵物表,,指定,1,,lv1墮天使
fusion-a0142,2,道具,墮天使設計圖A-E,來源原文,,,,,墮天使設計圖A-E
fusion-a0142,3,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0143,1,寵物,猩紅騎士,已對應寵物表,,指定,1,,Lv1的猩紅騎士
fusion-a0143,2,道具,鋼鐵之心,已對應道具庫,888,,,,鋼鐵之心×888
fusion-a0144,1,寵物,迷你石像怪,已對應寵物表,,指定,1,,lv1迷你石像怪
fusion-a0144,2,道具,迷你石像怪設計圖A,來源原文,,,,,迷你石像怪設計圖A
fusion-a0144,3,道具,迷你石像怪設計圖B,來源原文,,,,,迷你石像怪設計圖B
fusion-a0144,4,道具,迷你石像怪設計圖C,來源原文,,,,,迷你石像怪設計圖C
fusion-a0144,5,道具,迷你石像怪設計圖D,來源原文,,,,,迷你石像怪設計圖D
fusion-a0144,6,道具,迷你石像怪設計圖E,來源原文,,,,,迷你石像怪設計圖E
fusion-a0144,7,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0145,1,寵物,赤熊,已對應寵物表,,指定,1,,lv1赤熊
fusion-a0145,2,道具,赤熊設計圖A,來源原文,,,,,赤熊設計圖A
fusion-a0145,3,道具,赤熊設計圖B,來源原文,,,,,赤熊設計圖B
fusion-a0145,4,道具,赤熊設計圖C,來源原文,,,,,赤熊設計圖C
fusion-a0145,5,道具,赤熊設計圖D,來源原文,,,,,赤熊設計圖D
fusion-a0145,6,道具,赤熊設計圖E,來源原文,,,,,赤熊設計圖E
fusion-a0145,7,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0146,1,寵物,貓妖,已對應寵物表,,指定,1,,lv1貓妖
fusion-a0146,2,道具,貓妖設計圖A,來源原文,,,,,貓妖設計圖A
fusion-a0146,3,道具,貓妖設計圖B,來源原文,,,,,貓妖設計圖B
fusion-a0146,4,道具,貓妖設計圖C,來源原文,,,,,貓妖設計圖C
fusion-a0146,5,道具,貓妖設計圖D,來源原文,,,,,貓妖設計圖D
fusion-a0146,6,道具,貓妖設計圖E,來源原文,,,,,貓妖設計圖E
fusion-a0146,7,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0147,1,寵物,水藍菇,已對應寵物表,,指定,1,,lv1水藍菇
fusion-a0147,2,道具,水藍菇設計圖A,來源原文,,,,,水藍菇設計圖A
fusion-a0147,3,道具,水藍菇設計圖B,來源原文,,,,,水藍菇設計圖B
fusion-a0147,4,道具,水藍菇設計圖C,來源原文,,,,,水藍菇設計圖C
fusion-a0147,5,道具,水藍菇設計圖D,來源原文,,,,,水藍菇設計圖D
fusion-a0147,6,道具,水藍菇設計圖E,來源原文,,,,,水藍菇設計圖E
fusion-a0147,7,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0148,1,寵物,地獄骷髏,已對應寵物表,,指定,1,,lv1地獄骷髏
fusion-a0148,2,道具,地獄骷髏設計圖A,來源原文,,,,,地獄骷髏設計圖A
fusion-a0148,3,道具,地獄骷髏設計圖B,來源原文,,,,,地獄骷髏設計圖B
fusion-a0148,4,道具,地獄骷髏設計圖C,來源原文,,,,,地獄骷髏設計圖C
fusion-a0148,5,道具,地獄骷髏設計圖D,來源原文,,,,,地獄骷髏設計圖D
fusion-a0148,6,道具,地獄骷髏設計圖E,來源原文,,,,,地獄骷髏設計圖E
fusion-a0148,7,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0149,1,寵物,純白雛龍,已對應寵物表,,,,,純白雛龍
fusion-a0149,2,道具,碧空寶珠,來源原文,1,,,,碧空寶珠×1
fusion-a0149,3,道具,影獸的果實,來源原文,10,,,,影獸的果實×10
fusion-a0150,1,寵物,碧空幼龍,已對應寵物表,,指定,100,,Lv100碧空幼龍
fusion-a0150,2,道具,碧空寶珠,來源原文,1,,,,碧空寶珠×1
fusion-a0150,3,道具,影獸的果實,來源原文,50,,,,影獸的果實×50
fusion-a0151,1,寵物,埃及三頭龍,已對應寵物表,,指定,1,,Lv1的埃及三頭龍
fusion-a0151,2,道具,冥府血脈,已對應道具庫,888,,,,冥府血脈×888
fusion-a0152,1,寵物,櫻花冰冷樹精,已對應寵物表,,指定,1,,Lv1櫻花冰冷樹精
fusion-a0152,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0152,3,道具,櫻花魔枝,來源原文,10,,,,櫻花魔枝×10
fusion-a0152,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0153,1,寵物,冰冷樹精,已對應寵物表,,指定,100,,Lv100的冰冷樹精
fusion-a0153,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0153,3,道具,櫻花培養液,來源原文,10,,,,櫻花培養液×10
fusion-a0153,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0154,1,寵物,蒼蠅王,已對應寵物表,,指定,1,,Lv1蒼蠅王
fusion-a0154,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0154,3,道具,碧電能量,來源原文,10,,,,碧電能量×10
fusion-a0154,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0155,1,寵物,穴龍,已對應寵物表,,至少,100,,Lv100以上穴龍
fusion-a0155,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0155,3,道具,黃電能量,來源原文,10,,,,黃電能量×10
fusion-a0155,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0156,1,寵物,寒冰巨龍,已對應寵物表,,指定,1,,Lv1的寒冰巨龍
fusion-a0156,2,道具,聖龍之契,已對應道具庫,888,,,,聖龍之契×888
fusion-a0157,1,寵物,百合少女,已對應寵物表,,指定,1,,Lv1百合少女
fusion-a0157,2,道具,百合之花,已對應道具庫,1,,,,百合之花×1
fusion-a0158,1,寵物,白銀騎士,已對應寵物表,,指定,1,,Lv1白銀騎士
fusion-a0158,2,道具,白銀之心,已對應道具庫,1,,,,白銀之心×1
fusion-a0159,1,寵物,丘比特,已對應寵物表,,,,,丘比特
fusion-a0159,2,道具,愛神丘比特設計圖A,來源原文,1,,,,愛神丘比特設計圖A×1
fusion-a0159,3,道具,愛神丘比特設計圖B,來源原文,1,,,,愛神丘比特設計圖B×1
fusion-a0159,4,道具,愛神丘比特設計圖C,來源原文,1,,,,愛神丘比特設計圖C×1
fusion-a0159,5,道具,愛神丘比特設計圖D,來源原文,1,,,,愛神丘比特設計圖D×1
fusion-a0159,6,道具,愛神丘比特設計圖E,來源原文,1,,,,愛神丘比特設計圖E×1
fusion-a0160,1,寵物,紅蓮法師,已對應寵物表,,指定,1,,Lv1紅蓮法師
fusion-a0160,2,道具,辰龍之力,已對應道具庫,5,,,,辰龍之力×5
fusion-a0161,1,寵物,紅炎巨龍,已對應寵物表,,指定,1,,Lv1紅炎巨龍
fusion-a0161,2,道具,辰龍之力,已對應道具庫,5,,,,辰龍之力×5
fusion-a0162,1,寵物,辰龍紅炎,已對應寵物表,,任意,,,任意等級的辰龍紅炎
fusion-a0162,2,道具,轉生辰願,已對應道具庫,1,,,,轉生辰願×1
fusion-a0163,1,寵物,辰龍神使紅蓮,已對應寵物表,,任意,,,任意等級的辰龍神使紅蓮
fusion-a0163,2,道具,轉生辰願,已對應道具庫,1,,,,轉生辰願×1
fusion-a0164,1,寵物,紅蓮,已對應寵物表,,指定,1,,Lv1紅蓮
fusion-a0164,2,道具,紅蓮設計圖ABCDE,已對應道具庫,1,,,,紅蓮設計圖ABCDE×1
fusion-a0165,1,寵物,白豬寶寶,已對應寵物表,,指定,1,,Lv1白豬寶寶
fusion-a0165,2,道具,純白精華,來源原文,100,,,,純白精華×100
fusion-a0166,1,寵物,白豬太郎,已對應寵物表,,指定,1,,Lv1白豬太郎
fusion-a0166,2,道具,純白精華,來源原文,100,,,,純白精華×100
fusion-a0167,1,寵物,龍寶,來源原文,,指定,1,,Lv1龍寶
fusion-a0167,2,道具,小神龍之力,來源原文,388,,,,小神龍之力×388
fusion-a0168,1,寵物,風龍寶,已對應寵物表,,指定,1,,Lv1風龍寶
fusion-a0168,2,道具,小神龍之力,來源原文,2888,,,,小神龍之力×2888
fusion-a0169,1,寵物,炎龍寶,已對應寵物表,,指定,1,,Lv1炎龍寶
fusion-a0169,2,道具,小神龍之力,來源原文,1688,,,,小神龍之力×1688
fusion-a0170,1,寵物,水龍寶,已對應寵物表,,指定,1,,Lv1水龍寶
fusion-a0170,2,道具,小神龍之力,來源原文,888,,,,小神龍之力×888
fusion-a0171,1,寵物,小神龍,已對應寵物表,,指定,1,,Lv1小神龍
fusion-a0171,2,道具,小神龍之力,來源原文,3888,,,,小神龍之力×3888
fusion-a0171,3,道具,衝浪神木,來源原文,1,,,,衝浪神木×1
fusion-a0172,1,寵物,鸚鵡綠螺,已對應寵物表,,指定,1,,Lv1鸚鵡綠螺
fusion-a0172,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0172,3,道具,烏賊進化液,來源原文,10,,,,烏賊進化液×10
fusion-a0172,4,道具,精靈王契約,已對應道具庫,10,,,,精靈王契約×10
fusion-a0172,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0173,1,寵物,雪獅,已對應寵物表,,指定,1,,Lv1雪獅
fusion-a0173,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0173,3,道具,暴雪花,來源原文,10,,,,暴雪花×10
fusion-a0173,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0174,1,寵物,鐵獅,已對應寵物表,,指定,1,,Lv1鐵獅
fusion-a0174,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0174,3,道具,赤焰花,來源原文,10,,,,赤焰花×10
fusion-a0174,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0175,1,寵物,銅獅,已對應寵物表,,指定,1,,Lv1銅獅
fusion-a0175,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0175,3,道具,黃金花,來源原文,10,,,,黃金花×10
fusion-a0175,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0176,1,寵物,月獅,已對應寵物表,,指定,1,,Lv1月獅
fusion-a0176,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0176,3,道具,蝕月花,來源原文,10,,,,蝕月花×10
fusion-a0176,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0177,1,寵物,魔法師阿爾卡迪亞,已對應寵物表,,任意,,,任意等級的魔法師阿爾卡迪亞
fusion-a0177,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0177,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0178,1,寵物,格鬥家阿爾卡迪亞,已對應寵物表,,任意,,,任意等級的格鬥家阿爾卡迪亞
fusion-a0178,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0178,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0179,1,寵物,戰斧阿爾卡迪亞,已對應寵物表,,任意,,,任意等級的戰斧阿爾卡迪亞
fusion-a0179,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0179,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0180,1,寵物,弓箭手阿爾卡迪亞,已對應寵物表,,任意,,,任意等級的弓箭手阿爾卡迪亞
fusion-a0180,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0180,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0181,1,寵物,咒術師阿爾卡迪亞,已對應寵物表,,任意,,,任意等級的咒術師阿爾卡迪亞
fusion-a0181,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0181,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0182,1,寵物,劍士阿爾卡迪亞,已對應寵物表,,任意,,,任意等級的劍士阿爾卡迪亞
fusion-a0182,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0182,3,道具,阿爾卡迪亞記憶,來源原文,30,,,,阿爾卡迪亞記憶×30
fusion-a0183,1,寵物,新生阿爾卡迪亞,已對應寵物表,,至少,40,,Lv40以上的新生阿爾卡迪亞
fusion-a0183,2,道具,女帝魔杖,來源原文,1,,,,女帝魔杖×1
fusion-a0183,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0184,1,寵物,新生阿爾卡迪亞,已對應寵物表,,至少,40,,Lv40以上的新生阿爾卡迪亞
fusion-a0184,2,道具,女帝長劍,來源原文,1,,,,女帝長劍×1
fusion-a0184,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0185,1,寵物,新生阿爾卡迪亞,已對應寵物表,,至少,40,,Lv40以上的新生阿爾卡迪亞
fusion-a0185,2,道具,女帝護腕,來源原文,1,,,,女帝護腕×1
fusion-a0185,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0186,1,寵物,新生阿爾卡迪亞,已對應寵物表,,至少,40,,Lv40以上的新生阿爾卡迪亞
fusion-a0186,2,道具,女帝獵弓,來源原文,1,,,,女帝獵弓×1
fusion-a0186,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0187,1,寵物,新生阿爾卡迪亞,已對應寵物表,,至少,40,,Lv40以上的新生阿爾卡迪亞
fusion-a0187,2,道具,女帝戰斧,來源原文,1,,,,女帝戰斧×1
fusion-a0187,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0188,1,寵物,新生阿爾卡迪亞,已對應寵物表,,至少,40,,Lv40以上的新生阿爾卡迪亞
fusion-a0188,2,道具,女帝咒鈴,來源原文,1,,,,女帝咒鈴×1
fusion-a0188,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0189,1,寵物,舞動花妖,已對應寵物表,,指定,1,,Lv1的舞動花妖
fusion-a0189,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0189,3,道具,琉璃草,來源原文,10,,,,琉璃草×10
fusion-a0189,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0189,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0190,1,寵物,水藍鼠,已對應寵物表,,指定,1,,Lv1水藍鼠
fusion-a0190,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0190,3,道具,聖誕冰雪,來源原文,10,,,,聖誕冰雪×10
fusion-a0190,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0190,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0191,1,寵物,陰影,已對應寵物表,,指定,1,,Lv1陰影
fusion-a0191,2,道具,奪魂陰影設計圖ABCDE,來源原文,1,,,,奪魂陰影設計圖ABCDE×1
fusion-a0192,1,寵物,闇影,已對應寵物表,,指定,1,,Lv1闇影
fusion-a0192,2,道具,奪魂闇影設計圖ABCDE,來源原文,1,,,,奪魂闇影設計圖ABCDE×1
fusion-a0193,1,寵物,奪魂陰影,已對應寵物表,,指定,1,,Lv1奪魂陰影
fusion-a0193,2,道具,奪魂晶礦,已對應道具庫,1,,,,奪魂晶礦×1
fusion-a0194,1,寵物,奪魂闇影,已對應寵物表,,指定,1,,Lv1奪魂闇影
fusion-a0194,2,道具,奪魂晶礦,已對應道具庫,1,,,,奪魂晶礦×1
fusion-a0195,1,寵物,奪魂陰影之主,已對應寵物表,,任意,,,任意等級的奪魂陰影之主
fusion-a0195,2,道具,轉生影珠,已對應道具庫,1,,,,轉生影珠×1
fusion-a0196,1,寵物,奪魂闇影之主,已對應寵物表,,任意,,,任意等級的奪魂闇影之主
fusion-a0196,2,道具,轉生影珠,已對應道具庫,1,,,,轉生影珠×1
fusion-a0197,1,寵物,雪兒精靈,已對應寵物表,,任意,,,任意等級的雪兒精靈
fusion-a0197,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0197,3,道具,極寒雪兒精靈進化卡,來源原文,10,,,,極寒雪兒精靈進化卡×10
fusion-a0197,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0197,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0198,1,寵物,聖誕精靈,已對應寵物表,,任意,,,任意等級的聖誕精靈
fusion-a0198,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0198,3,道具,銀雪聖誕精靈進化卡,來源原文,10,,,,銀雪聖誕精靈進化卡×10
fusion-a0198,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0198,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0199,1,寵物,絲諾精靈,已對應寵物表,,任意,,,任意等級的絲諾精靈
fusion-a0199,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0199,3,道具,寒晶絲諾精靈進化卡,來源原文,10,,,,寒晶絲諾精靈進化卡×10
fusion-a0199,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0199,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0200,1,寵物,愛絲精靈,已對應寵物表,,任意,,,任意等級的愛絲精靈
fusion-a0200,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0200,3,道具,冰雪愛絲精靈進化卡,來源原文,10,,,,冰雪愛絲精靈進化卡×10
