活動日期,公告日,活動／期別,NPC,所需寵物,所需道具,獲得寵物,合成樹,入手方法,公告連結
2025-06-06～2025-07-07,2025-06-06,命運雙子 共譜星辰之路,NPC：雙子觀測師（魔法大學研究所 56.17）,Lv1的流星,雙子晶核*1,Lv1的流星,Lv1的流星 ＋ 雙子晶核×1 ＝ Lv1的流星,所需寵物：當期寶盒／活動抽取：流星召喚書（0.05%）；所需道具：向 NPC：雙子觀測員（魔法大學研究所 57.18） 交付 Lv1的黃金加百列＋雙子晶碎*188 取得：雙子晶核 概率90%,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15384.html)
2025-06-06～2025-07-07,2025-06-06,命運雙子 共譜星辰之路,NPC：雙子觀測師（魔法大學研究所 56.17）,Lv1的星雲,雙子晶核*1,Lv1的星雲,Lv1的星雲 ＋ 雙子晶核×1 ＝ Lv1的星雲,所需寵物：當期寶盒／活動抽取：星雲召喚書（0.05%）；所需道具：向 NPC：雙子觀測員（魔法大學研究所 57.18） 交付 Lv1的黃金加百列＋雙子晶碎*188 取得：雙子晶核 概率90%,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15384.html)
2025-05-15～2025-05-22,2025-05-14,《魔力寶貝：永恆初心》四週年活動第三彈 王者道場試煉開啟,大法師安蕾雅(艾爾瑪城元素師家 216.188）,任意等級的的大地元素使,地元素之卵*1 閃耀變異之源*10 50000G金幣,Lv1的大地元素使 概率95% Lv1的地之使徒 概率5%,"任意等級的的大地元素使 ＋ 地元素之卵×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的大地元素使（概率95%） / └ Lv1的地之使徒（概率5%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15274.html)
2025-05-08～2025-05-15（公告原文末年為 2024）,2025-05-07,《魔力寶貝：永恆初心》四週年活動第二彈火熱進行中,裘瑟貝（法蘭城195.67）,鈦白嚇人箱,改造鈦白嚇人箱設計圖ABCDE,改造鈦白嚇人箱,鈦白嚇人箱 ＋ 改造鈦白嚇人箱設計圖ABCDE ＝ 改造鈦白嚇人箱,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15254.html)
2025-05-08～2025-05-15（公告原文末年為 2024）,2025-05-07,《魔力寶貝：永恆初心》四週年活動第二彈火熱進行中,寵物改造研究員（寵物研究所大廳14.8）,改造鈦白嚇人箱,白雪設計圖ABCDE 1000000G金幣,白雪,"改造鈦白嚇人箱 ＋ 白雪設計圖ABCDE ＋ 金幣1,000,000G ＝ 白雪",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15254.html)
2025-05-05～2025-06-06,2025-05-04,銀龍傳說再現 重塑世界法則,NPC：龍使伊克西諾（魔法大學研究所 23.47）,Lv1的裁決白龍王,龍脈光能寶石*1,Lv1的裁決白龍王,Lv1的裁決白龍王 ＋ 龍脈光能寶石×1 ＝ Lv1的裁決白龍王,所需寵物：當期寶盒／活動抽取：裁決白龍王召喚書（0.05%）、向 NPC：龍使費拉姆（魔法大學研究所 25.48） 交付 Lv1的白銀巨龍＋光能碎片*188 取得：裁決白龍王召喚書（概率5%）、向 NPC：龍使薩德利（魔法大學研究所 24.47） 交付 Lv1的白銀巨龍＋龍脈光能寶石*3 取得：裁決白龍王召喚書（概率50%）；所需道具：向 NPC：龍使費拉姆（魔法大學研究所 25.48） 交付 Lv1的白銀巨龍＋光能碎片*188 取得：龍脈光能寶石（概率90%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15234.html)
2025-05-05～2025-06-06,2025-05-04,銀龍傳說再現 重塑世界法則,NPC：龍使伊克西諾（魔法大學研究所 23.47）,Lv1的神聖白龍王,龍脈光能寶石*1,Lv1的神聖白龍王,Lv1的神聖白龍王 ＋ 龍脈光能寶石×1 ＝ Lv1的神聖白龍王,所需寵物：當期寶盒／活動抽取：神聖白龍王召喚書（0.05%）、向 NPC：龍使費拉姆（魔法大學研究所 25.48） 交付 Lv1的白銀巨龍＋光能碎片*188 取得：神聖白龍王召喚書（概率5%）、向 NPC：龍使薩德利（魔法大學研究所 24.47） 交付 Lv1的白銀巨龍＋龍脈光能寶石*3 取得：神聖白龍王召喚書（概率50%）；所需道具：向 NPC：龍使費拉姆（魔法大學研究所 25.48） 交付 Lv1的白銀巨龍＋光能碎片*188 取得：龍脈光能寶石（概率90%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15234.html)
2025-05-01～2025-05-29,2025-05-01,《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！,四週年鼠鼠培養員（里謝里雅堡 36.72）,小紅鼠,奈斯紅米*1,火焰倉鼠,小紅鼠 ＋ 奈斯紅米×1 ＝ 火焰倉鼠,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15224.html)
2025-05-01～2025-05-29,2025-05-01,《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！,四週年鼠鼠培養員（里謝里雅堡 36.72）,小白鼠,奈斯橙米*1,胖寶倉鼠,小白鼠 ＋ 奈斯橙米×1 ＝ 胖寶倉鼠,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15224.html)
2025-05-01～2025-05-29,2025-05-01,《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！,四週年鼠鼠培養員（里謝里雅堡 36.72）,小紅鼠,奈斯橙米*1,胖寶倉鼠,小紅鼠 ＋ 奈斯橙米×1 ＝ 胖寶倉鼠,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15224.html)
2025-05-01～2025-05-29,2025-05-01,《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！,四週年鼠鼠培養員（里謝里雅堡 36.72）,小白鼠,奈斯白米*1,雪地倉鼠,小白鼠 ＋ 奈斯白米×1 ＝ 雪地倉鼠,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15224.html)
2025-04-04～2025-05-05,2025-04-03,無盡櫻海綻放 緋紅巨龍歸來,NPC：大學者艾德爾（魔法大學研究所 27.45）,Lv1的緋紅巨龍,灼炎龍心玉*1,Lv1的緋紅巨龍,Lv1的緋紅巨龍 ＋ 灼炎龍心玉×1 ＝ Lv1的緋紅巨龍,所需寵物：當期寶盒／活動抽取：緋紅巨龍召喚書（0.05%）、向 NPC：學者盧米耶（魔法大學研究所 29.46） 交付 Lv1的櫻花龍＋緋色之種*188 取得：緋紅巨龍召喚書（概率5%）、向 NPC：大學者赫姆司（魔法大學研究所 28.45） 交付 Lv1的櫻花龍＋灼炎龍心玉*3 取得：緋紅巨龍召喚書（概率50%）；所需道具：向 NPC：學者盧米耶（魔法大學研究所 29.46） 交付 Lv1的櫻花龍＋緋色之種*188 取得：灼炎龍心玉（概率90%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15044.html)
未載明（公告日 2025-02-06）,2025-02-06,今宵共賞月 愛鼠來相伴,公告未載明,丘比特,愛神丘比特設計圖A*1 愛神丘比特設計圖B*1 愛神丘比特設計圖C*1 愛神丘比特設計圖D*1 愛神丘比特設計圖E*1,愛神丘比特,丘比特 ＋ 愛神丘比特設計圖A×1 ＋ 愛神丘比特設計圖B×1 ＋ 愛神丘比特設計圖C×1 ＋ 愛神丘比特設計圖D×1 ＋ 愛神丘比特設計圖E×1 ＝ 愛神丘比特,所需寵物：公告明載需投入此寵物；所需道具：當期寶盒／活動抽取：愛神丘比特設計圖A（1.6%）、愛神丘比特設計圖B（1.6%）、愛神丘比特設計圖C（1.6%）、愛神丘比特設計圖D（1.6%）、愛神丘比特設計圖E（1.6%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14704.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫羅莎（魔法大學公會 49.33）,Lv40以上的新生賽格梅特,女皇長槍*1 阿爾卡迪亞記憶*10,Lv1騎士賽格梅特,Lv40以上的新生賽格梅特 ＋ 女皇長槍×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1騎士賽格梅特,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）、當期寶盒／活動抽取：女皇長槍（16.7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫羅莎（魔法大學公會 49.33）,Lv40以上的新生賽格梅特,女皇長劍*1 阿爾卡迪亞記憶*10,Lv1劍士賽格梅特,Lv40以上的新生賽格梅特 ＋ 女皇長劍×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1劍士賽格梅特,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）、當期寶盒／活動抽取：女皇長劍（16.7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫羅莎（魔法大學公會 49.33）,Lv40以上的新生賽格梅特,女皇護腕*1 阿爾卡迪亞記憶*10,Lv1格鬥家賽格梅特,Lv40以上的新生賽格梅特 ＋ 女皇護腕×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1格鬥家賽格梅特,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）、當期寶盒／活動抽取：女皇護腕（16.7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫羅莎（魔法大學公會 49.33）,Lv40以上的新生賽格梅特,女皇獵弓*1 阿爾卡迪亞記憶*10,Lv1弓箭手賽格梅特,Lv40以上的新生賽格梅特 ＋ 女皇獵弓×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1弓箭手賽格梅特,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）、當期寶盒／活動抽取：女皇獵弓（16.6%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫羅莎（魔法大學公會 49.33）,Lv40以上的新生賽格梅特,女皇戰斧*1 阿爾卡迪亞記憶*10,Lv1戰斧賽格梅特,Lv40以上的新生賽格梅特 ＋ 女皇戰斧×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1戰斧賽格梅特,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）、當期寶盒／活動抽取：女皇戰斧（16.6%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫羅莎（魔法大學公會 49.33）,Lv40以上的新生賽格梅特,女皇咒鈴*1 阿爾卡迪亞記憶*10,Lv1咒師賽格梅特,Lv40以上的新生賽格梅特 ＋ 女皇咒鈴×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1咒師賽格梅特,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）、當期寶盒／活動抽取：女皇咒鈴（16.7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫卡瑞娜（魔法大學公會 47.32）,任意等級的騎士賽格梅特,閃耀變異之源*10 阿爾卡迪亞記憶*30,Lv1聖咒賽格梅特 概率95% Lv1的女皇賽格梅特 概率5%,任意等級的騎士賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1聖咒賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,所需寵物：前置合成：Lv40以上的新生賽格梅特 ＋ 女皇長槍×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1騎士賽格梅特；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫卡瑞娜（魔法大學公會 47.32）,任意等級的格鬥家賽格梅特,閃耀變異之源*10 阿爾卡迪亞記憶*30,Lv1聖鬥賽格梅特 概率95% Lv1的女皇賽格梅特 概率5%,任意等級的格鬥家賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1聖鬥賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,所需寵物：前置合成：Lv40以上的新生賽格梅特 ＋ 女皇護腕×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1格鬥家賽格梅特；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫卡瑞娜（魔法大學公會 47.32）,任意等級的戰斧賽格梅特,閃耀變異之源*10 阿爾卡迪亞記憶*30,Lv1的聖斧賽格梅特 概率95% Lv1的女皇賽格梅特 概率5%,任意等級的戰斧賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1的聖斧賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,所需寵物：前置合成：Lv40以上的新生賽格梅特 ＋ 女皇戰斧×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1戰斧賽格梅特；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫卡瑞娜（魔法大學公會 47.32）,任意等級的弓箭手賽格梅特,閃耀變異之源*10 阿爾卡迪亞記憶*30,Lv1聖弓賽格梅特 概率95% Lv1的女皇賽格梅特 概率5%,任意等級的弓箭手賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1聖弓賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,所需寵物：前置合成：Lv40以上的新生賽格梅特 ＋ 女皇獵弓×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1弓箭手賽格梅特；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫卡瑞娜（魔法大學公會 47.32）,任意等級的咒師賽格梅特,閃耀變異之源*10 阿爾卡迪亞記憶*30,Lv1聖騎賽格梅特 概率95% Lv1的女皇賽格梅特 概率5%,任意等級的咒師賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1聖騎賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,所需寵物：前置合成：Lv40以上的新生賽格梅特 ＋ 女皇咒鈴×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1咒師賽格梅特；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,聖巫卡瑞娜（魔法大學公會 47.32）,任意等級的劍士賽格梅特,閃耀變異之源*10 阿爾卡迪亞記憶*30,Lv1聖劍賽格梅特 概率95% Lv1的女皇賽格梅特 概率5%,任意等級的劍士賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1聖劍賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,所需寵物：前置合成：Lv40以上的新生賽格梅特 ＋ 女皇長劍×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1劍士賽格梅特；所需道具：當期寶盒／活動抽取：阿爾卡迪亞記憶（7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
未載明（公告日 2024-11-22）,2024-11-22,惡魔龍骨狂舞 感恩節大挑戰,NPC：奇奇卡(精靈城寵物店15，6）,Lv1幼年聖金龍骨,聖金魔紋基因*3 閃耀變異之源*10 精靈王契約*100 100000G金幣,聖金龍骨,"Lv1幼年聖金龍骨 ＋ 聖金魔紋基因×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ 聖金龍骨",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html)
未載明（公告日 2024-11-22）,2024-11-22,惡魔龍骨狂舞 感恩節大挑戰,NPC：奇奇卡(精靈城寵物店15，6）,Lv1幼年岩帝龍骨,岩帝魔紋基因*3 閃耀變異之源*10 精靈王契約*100 100000G金幣,岩帝龍骨,"Lv1幼年岩帝龍骨 ＋ 岩帝魔紋基因×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ 岩帝龍骨",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html)
未載明（公告日 2024-11-22）,2024-11-22,惡魔龍骨狂舞 感恩節大挑戰,NPC：奇奇卡(精靈城寵物店15，6）,Lv1仙靈,變異之源*3 逐月石*10 精靈王契約*100,逐月仙靈,Lv1仙靈 ＋ 變異之源×3 ＋ 逐月石×10 ＋ 精靈王契約×100 ＝ 逐月仙靈,所需寵物：當期寶盒／活動抽取：仙靈召喚書（1%）；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html)
未載明（公告日 2024-11-22）,2024-11-22,惡魔龍骨狂舞 感恩節大挑戰,NPC：奇奇卡(精靈城寵物店15，6）,Lv1仙靈,變異之源*3 星輝石*10 精靈王契約*100,星輝仙靈,Lv1仙靈 ＋ 變異之源×3 ＋ 星輝石×10 ＋ 精靈王契約×100 ＝ 星輝仙靈,所需寵物：當期寶盒／活動抽取：仙靈召喚書（1%）；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html)
2024-10-24～2024-11-07,2024-10-24,午夜狂歡 萬鬼夜行,NPC：裘瑟貝（法蘭城 195.67）,任意等級的鐮刀魔,鐮刀魔設計圖ABCDE*1,Lv1改造鐮刀魔,任意等級的鐮刀魔 ＋ 鐮刀魔設計圖ABCDE×1 ＝ Lv1改造鐮刀魔,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14144.html)
2024-10-24～2024-11-07,2024-10-24,午夜狂歡 萬鬼夜行,NPC：裘瑟貝（法蘭城 195.67）,任意等級的暗黑僧侶,暗黑僧侶設計圖ABCDE*1,Lv1改造暗黑僧侶,任意等級的暗黑僧侶 ＋ 暗黑僧侶設計圖ABCDE×1 ＝ Lv1改造暗黑僧侶,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14144.html)
2024-10-24～2024-11-07,2024-10-24,午夜狂歡 萬鬼夜行,NPC：裘瑟貝（法蘭城 195.67）,任意等級的斬首者,斬首者設計圖ABCDE*1,Lv1改造斬首者,任意等級的斬首者 ＋ 斬首者設計圖ABCDE×1 ＝ Lv1改造斬首者,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14144.html)
2024-10-24～2024-11-07,2024-10-24,午夜狂歡 萬鬼夜行,NPC：裘瑟貝（法蘭城 195.67）,任意等級的冥界死神,冥界死神設計圖ABCDE*1,Lv1改造冥界死神,任意等級的冥界死神 ＋ 冥界死神設計圖ABCDE×1 ＝ Lv1改造冥界死神,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14144.html)
2024-10-10～2024-10-17,2024-10-10,夢魘降臨 解秘惡魔的呢喃,大法師安蕾雅(艾爾瑪城元素師家 216.188）,Lv1的夢之惡魔,惡魔之力*1 閃耀變異之源*10 50000G金幣,Lv1的夢之惡魔 概率95% Lv1的惡魔女帝 概率5%,"Lv1的夢之惡魔 ＋ 惡魔之力×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的夢之惡魔（概率95%） / └ Lv1的惡魔女帝（概率5%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14084.html)
2024-09-12～2024-09-26,2024-09-12,中秋月下會嫦娥 月宮奇遇結仙緣,NPC：奇奇卡(精靈城寵物店15，6）,Lv100以上的黃金樹精,變異之源*3 黃金樹根*10 精靈王契約*100 100000G金幣,Lv1黃金樹靈,"Lv100以上的黃金樹精 ＋ 變異之源×3 ＋ 黃金樹根×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ Lv1黃金樹靈",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13934.html)
2024-09-09～2024-10-10,2024-09-06,召喚風暴軍團 掌控疾風之力,NPC：召喚師阿諾蘭（魔法大學研究所 58.45）,Lv1的兵長馬里諾,風暴魂晶*188,Lv1的風暴軍團長武魂 概率5% Lv1的風暴軍團長魔魂 概率5% Lv1的兵長馬里諾 概率90%,Lv1的兵長馬里諾 ＋ 風暴魂晶×188 ＝ / ├ Lv1的風暴軍團長武魂（概率5%） / ├ Lv1的風暴軍團長魔魂（概率5%） / └ Lv1的兵長馬里諾（概率90%）,所需寵物：當期寶盒／活動抽取：兵長馬里諾召喚書（1%）；所需道具：當期寶盒／活動抽取：風暴魂晶（9%）、向 NPC：召喚師瑪西爾（魔法大學研究所 57.44） 交付 任意等級的兵長馬里諾＋/ 取得：風暴魂晶*138,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13904.html)
未載明（公告日 2024-08-29）,2024-08-29,麗夏村的騷亂 隱密的魅影惡魔,大法師安蕾雅(艾爾瑪城元素師家 216.188）,Lv1的魅之惡魔,惡魔之力*1 閃耀變異之源*10 50000G金幣,Lv1的魅之惡魔 概率95% Lv1的惡魔女帝 概率5%,"Lv1的魅之惡魔 ＋ 惡魔之力×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的魅之惡魔（概率95%） / └ Lv1的惡魔女帝（概率5%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13884.html)
2024-08-15～2024-08-29,2024-08-15,中元節驚悚來襲 魔女妮可的低語,NPC：瘋狂怪醫拉米亞（蒂娜村 36.31）僅夜晚出現,Lv1的死靈,死靈精華*1 變異之源*10 50000G金幣,Lv1的死靈 概率90% Lv1的魔道死靈 概率10%,"Lv1的死靈 ＋ 死靈精華×1 ＋ 變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的死靈（概率90%） / └ Lv1的魔道死靈（概率10%）",所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：死靈精華（2%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13784.html)
2024-08-08～2024-09-09,2024-08-08,《魔力寶貝》23週年慶最終彈,NPC：大主教路恩格（法蘭城魔法大學研究所 45.45）,Lv1的依格羅斯,神聖之羽*188,Lv1的依格羅斯 概率90% Lv1的神聖天使 概率5% Lv1的時雨天 概率5%,Lv1的依格羅斯 ＋ 神聖之羽×188 ＝ / ├ Lv1的依格羅斯（概率90%） / ├ Lv1的神聖天使（概率5%） / └ Lv1的時雨天（概率5%）,所需寵物：當期寶盒／活動抽取：依格羅斯召喚書（1%）；所需道具：當期寶盒／活動抽取：神聖之羽（9%）、向 NPC：主教彼得烈夫（法蘭城魔法大學研究所 44.44） 交付 任意等級的依格羅斯＋/ 取得：神聖之羽*138,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13744.html)
2024-07-18～2024-08-15,2024-07-17,魔力寶貝23週年慶第一彈正式開啟,詛咒者白利茲(里謝里雅堡 50.75）,Lv100以上的虛弱的雷霆詛咒者,詛咒之鈴（雷）*1 幽冥之火*50,Lv1雷霆詛咒者,Lv100以上的虛弱的雷霆詛咒者 ＋ 詛咒之鈴（雷）×1 ＋ 幽冥之火×50 ＝ Lv1雷霆詛咒者,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
2024-07-18～2024-08-15,2024-07-17,魔力寶貝23週年慶第一彈正式開啟,詛咒者白利茲(里謝里雅堡 50.75）,Lv100以上的虛弱的火焰詛咒者,詛咒之鈴（火）*1 幽冥之火*50,Lv1火焰詛咒者,Lv100以上的虛弱的火焰詛咒者 ＋ 詛咒之鈴（火）×1 ＋ 幽冥之火×50 ＝ Lv1火焰詛咒者,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
2024-07-18～2024-08-15,2024-07-17,魔力寶貝23週年慶第一彈正式開啟,詛咒者白利茲(里謝里雅堡 50.75）,Lv100以上的虛弱的寒冰詛咒者,詛咒之鈴（水）*1 幽冥之火*50,Lv1寒冰詛咒者,Lv100以上的虛弱的寒冰詛咒者 ＋ 詛咒之鈴（水）×1 ＋ 幽冥之火×50 ＝ Lv1寒冰詛咒者,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
2024-07-18～2024-08-15,2024-07-17,魔力寶貝23週年慶第一彈正式開啟,詛咒者白利茲(里謝里雅堡 50.75）,Lv100以上的虛弱的大地詛咒者,詛咒之鈴（地）*1 幽冥之火*50,Lv1大地詛咒者,Lv100以上的虛弱的大地詛咒者 ＋ 詛咒之鈴（地）×1 ＋ 幽冥之火×50 ＝ Lv1大地詛咒者,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
2024-07-18～2024-08-01,2024-07-17,魔力寶貝23週年慶第一彈正式開啟,大法師安蕾雅(艾爾瑪城元素師家 216.188）,Lv1的幻之惡魔,惡魔之力*1 閃耀變異之源*10 50000G金幣,Lv1的幻之惡魔 概率95% Lv1的惡魔女帝 概率5%,"Lv1的幻之惡魔 ＋ 惡魔之力×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的幻之惡魔（概率95%） / └ Lv1的惡魔女帝（概率5%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
