名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,image,入手方法,入手類型
煙羅,特殊系,22,22,12,27,32,7,115,水3火7,/img/魔力原始寵物/煙羅.gif,貝尼恰斯火山地下9樓(30.56)、(29.59),捕捉
棉球,特殊系,25,26,9,25,30,7,115,火3風7,/img/魔力原始寵物/棉球.gif,完成任務「盲目之龍」可能獲得 / 時之塔入口(8.10),捕捉
盾,金屬系,15,15,45,15,30,6,120,地6風4,/img/魔力原始寵物/盾.gif,,
潛盾,金屬系,17,12,47,12,32,6,120,地4水6,/img/魔力原始寵物/潛盾.gif,庫魯克斯島(153.405),捕捉
強盾,金屬系,19,13,49,11,28,6,120,水4火6,/img/魔力原始寵物/強盾.gif,庫魯克斯島(356.598)、(364.606),捕捉
神盾,金屬系,16,9,50,8,37,6,120,火4風6,/img/魔力原始寵物/神盾.gif,庫魯克斯島(732.681)遇到7個或7個以上敵人必有1級寶寶,捕捉
岩怪,金屬系,29,22,40,5,14,8,110,地7水3,/img/魔力原始寵物/岩怪.gif,庫魯克斯島(500.632),捕捉
爆岩,金屬系,30,20,42,6,12,8,110,水7火3,/img/魔力原始寵物/爆岩.gif,伊利斯礦山大坑道(105.034),捕捉
熔岩,金屬系,32,17,37,7,17,8,110,火7風3,/img/魔力原始寵物/熔岩.gif,貝尼恰斯火山2樓(59.44),捕捉
影岩,金屬系,31,15,32,12,20,8,110,地3風7,/img/魔力原始寵物/影岩.gif,,
口袋龍,龍系,15,34,21,20,25,7,115,地5風5,/img/魔力原始寵物/口袋龍.gif,庫魯克斯島魯米那斯村附近(292.815),捕捉
迷你龍,龍系,10,35,23,21,26,7,115,地5水5,/img/魔力原始寵物/迷你龍.gif,用Lv30虛弱的雛鳥到哥拉爾雷姆爾山飼養師訓練所交換,捕捉
穴龍,龍系,11,31,20,25,28,7,115,火5風5,/img/魔力原始寵物/穴龍.gif,庫魯克斯島(402.345),捕捉
大型半獸人,人形系,34,25,35,10,11,7,115,地6水4,/img/魔力原始寵物/大型半獸人.gif,庫魯克斯島魯米那斯村域伊姆爾森林附近(460.629),捕捉
豬鬼,人形系,33,28,33,11,10,7,115,水6火4,/img/魔力原始寵物/豬鬼.gif,庫魯克斯島(383.265),捕捉
鋼鬼,人形系,30,30,30,16,9,7,115,火6風4,/img/魔力原始寵物/鋼鬼.gif,庫魯克斯島米諾基亞村東門出去向東的山腳(549.838),捕捉
半獸人,人形系,32,27,32,12,12,7,115,地4風6,/img/魔力原始寵物/半獸人.gif,哥拉爾城周邊(425.453),捕捉
陸行鯊,飛行系,29,15,36,14,9,8,103,地3水7,/img/魔力原始寵物/陸行鯊.gif,,
岩石鯊,飛行系,27,36,7,8,25,8,103,水10,/img/魔力原始寵物/岩石鯊.gif,,
雛鳥,飛行系,7,8,5,38,39,10,97,風10,/img/魔力原始寵物/雛鳥.gif,,
小鴨子,飛行系,8,14,7,34,28,10,91,地10,/img/魔力原始寵物/小鴨子.gif,,
小兔子,飛行系,11,23,7,23,28,10,92,火10,/img/魔力原始寵物/小兔子.gif,,
走路花妖,植物系,8,39,25,12,19,9,103,地7風3,/img/魔力原始寵物/走路花妖.gif,,
跑步花妖,植物系,14,41,16,17,14,8,102,地8水2,/img/魔力原始寵物/跑步花妖.gif,,
舞蹈花妖,植物系,45,14,11,7,38,7,115,水7火3,/img/魔力原始寵物/舞蹈花妖.gif,,
尤拉蝙蝠,飛行系,22,22,22,22,22,8,110,地10,/img/魔力原始寵物/尤拉蝙蝠.gif,,
歐比爾蝙蝠,飛行系,22,22,22,22,22,8,110,水10,/img/魔力原始寵物/歐比爾蝙蝠.gif,,
韋伯蝙蝠,飛行系,22,22,22,22,22,8,110,火10,/img/魔力原始寵物/韋伯蝙蝠.gif,,
歐圖蝙蝠,飛行系,22,22,22,22,22,8,110,風10,/img/魔力原始寵物/歐圖蝙蝠.gif,,
