技能範圍,技能分類,技能名稱,最高等級,技能來源,簡介,學習資訊,價格
pet,寵物一般技能,防禦,,寵物技能資料,能防守來自物理攻擊的打擊。,無學習等級限制。；費用 100；寵物技能店的佩蒂；法蘭城冒險者旅館(238，64)一樓(30，20)。,
pet,寵物一般技能,定點移動,,寵物技能資料,能和主人交換位置。,無學習等級限制。；費用 100；寵物技能店的佩蒂；法蘭城冒險者旅館(238，64)一樓(30，20)。,
pet,寵物一般技能,寵物散步,,寵物技能資料,寵物跟在主人之後。,擊敗四鬥神後學習,
pet,寵物一般技能,寵物郵件,,寵物技能資料,利用寵物傳送物品給名片上同服務器的朋友。,無學習等級限制。戰鬥中以及部份迷宮不能。；費用 10000；寵物技能店的葛德裡亞；索奇亞哈貝魯村(81，4),
pet,寵物戰鬥技能,反擊,LV 5,經典技能,,,
pet,寵物戰鬥技能,必殺狙擊,LV 12,技能頁資料,極大的降低移動速度，對一個目標造成極大的傷害。攻擊時會提升攻擊力和必殺概率。,"1.完成任務：[大地鼠守衛隊](/職業技能任務/大地鼠守衛隊-必殺狙擊)；
2.聖十字勇者殿堂（68，60）；可使用人物技能屋傳送券抵達",50000G
pet,寵物戰鬥技能,明鏡止水,LV 5,經典技能,,,
pet,寵物戰鬥技能,飛刃亂舞,LV 12,技能頁資料,隨機丟出複數的飛刃攻擊敵人，第一次造成的傷害約為攻擊力的30%；如果目標再次受到飛刃的攻擊，傷害將遞增。,"1.精靈城中型屋（16.7）
2.聖十字勇者殿堂（62，60）可使用人物技能屋傳送券抵達",50000G
pet,寵物戰鬥技能,氣功彈,LV 12,經典技能,,,
pet,寵物戰鬥技能,乾坤一擲,LV 5,經典技能,,,
pet,寵物戰鬥技能,崩擊,LV 5,經典技能,,,
pet,寵物戰鬥技能,連擊,LV 5,經典技能,,,
pet,寵物戰鬥技能,裂空斬,LV 12,技能頁資料,小幅速度並揮出數道劍氣攻擊目標，1個目標最多承受一道劍氣，造成的傷害約為攻擊力的40%,"1.完成[斷空學院的歷練](/職業技能任務/斷空學院的歷練-裂空斬)
2.聖十字勇者殿堂（60，60）；可使用人物技能屋傳送券抵達",50000G
pet,寵物戰鬥技能,陽炎,LV 5,經典技能,,,
pet,寵物戰鬥技能,亂射,LV 12,經典技能,,,
pet,寵物戰鬥技能,聖盾,LV 5,經典技能,,,
pet,寵物戰鬥技能,隔山打牛,LV 12,技能頁資料,使出透體內勁攻擊前排目標，後排的目標將受到傷害；並使受到傷害的目標將有概率進入混亂狀態。,"1.完成任務：[卡卡狄莉的考驗](/職業技能任務/卡卡狄莉的考驗-隔山打牛)；
2.聖十字勇者殿堂（58，60）；可使用人物技能屋傳送券抵達",50000G
pet,寵物戰鬥技能,潛龍殺,LV 12,技能頁資料,降低移動速度，對一個目標造成極大的傷害。攻擊時會提升攻擊力和必殺概率。,"1.完成任務：[海盜修斯的考驗](/職業技能任務/海盜修斯的考驗-潛龍殺)；
2.聖十字勇者殿堂（64，60）；可使用人物技能屋傳送券抵達",50000G
pet,寵物戰鬥技能,諸刃,LV 5,經典技能,,,
pet,寵物戰鬥技能,戰慄襲心,LV 5,經典技能,,,
pet,寵物戰鬥技能,護衛,LV 5,經典技能,,,
pet,寵物魔法技能,火焰魔法,LV 9,經典技能,,,
pet,寵物魔法技能,冰凍魔法,LV 9,經典技能,,,
pet,寵物魔法技能,吸血魔法,LV 12,經典技能,,,
pet,寵物魔法技能,攻擊反彈,LV 12,經典技能,,,
pet,寵物魔法技能,攻擊吸收,LV 12,經典技能,,,
pet,寵物魔法技能,攻擊無效,LV 12,經典技能,,,
pet,寵物魔法技能,恢復魔法,LV 12,經典技能,,,
pet,寵物魔法技能,風刃魔法,LV 9,經典技能,,,
pet,寵物魔法技能,氣絕回復,LV 12,經典技能,,,
pet,寵物魔法技能,強力火焰魔法,LV 9,經典技能,,,
pet,寵物魔法技能,強力冰凍魔法,LV 9,經典技能,,,
pet,寵物魔法技能,強力恢復魔法,LV 12,經典技能,,,
pet,寵物魔法技能,強力風刃魔法,LV 9,經典技能,,,
pet,寵物魔法技能,強力補血魔法,LV 12,經典技能,,,
pet,寵物魔法技能,強力隕石魔法,LV 9,經典技能,,,
pet,寵物魔法技能,超強火焰魔法,LV 12,經典技能,,,
pet,寵物魔法技能,超強冰凍魔法,LV 12,經典技能,,,
pet,寵物魔法技能,超強恢復魔法,LV 12,經典技能,,,
pet,寵物魔法技能,超強風刃魔法,LV 12,經典技能,,,
pet,寵物魔法技能,超強補血魔法,LV 12,經典技能,,,
pet,寵物魔法技能,超強隕石魔法,LV 12,經典技能,,,
pet,寵物魔法技能,補血魔法,LV 12,經典技能,,,
pet,寵物魔法技能,隕石魔法,LV 9,經典技能,,,
pet,寵物魔法技能,精神衝擊波,LV 12,經典技能,能給予橫列敵人物理傷害的魔法攻擊,"1.完成主線任務：混沌的宿命；
2.聖十字勇者殿堂（47.32）；可使用人物技能屋傳送券抵達",50000G
pet,寵物魔法技能,潔淨魔法,LV 12,經典技能,,,
pet,寵物魔法技能,魔法反彈,LV 12,經典技能,,,
pet,寵物魔法技能,魔法吸收,LV 12,經典技能,,,
pet,寵物魔法技能,魔法無效,LV 12,經典技能,,,
pet,狀態攻擊技能,石化攻擊,LV 5,寵物技能資料,以30%的機率讓敵單體石化2次行動。,,
pet,狀態攻擊技能,吸血攻擊,LV 5,寵物技能資料,,,
pet,狀態攻擊技能,昏睡攻擊,LV 5,寵物技能資料,以30%的機率讓敵單體昏睡2次行動。,,
pet,狀態攻擊技能,毒性攻擊,LV 5,寵物技能資料,以30%的機率讓敵單體中毒2次行動。,,
pet,狀態攻擊技能,酒醉攻擊,LV 5,寵物技能資料,以30%的機率讓敵單體酒醉2次行動。,,
pet,狀態攻擊技能,混亂攻擊,LV 5,經典技能,,,
pet,狀態攻擊技能,遺忘攻擊,LV 5,寵物技能資料,以30%的機率讓敵單體遺忘2次行動。,,
pet,寵物狀態變化魔法,大地的祈禱,LV 12,經典技能,,,
pet,寵物狀態變化魔法,中毒魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,火焰的祈禱,LV 12,經典技能,,,
pet,寵物狀態變化魔法,石化魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,昏睡魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,海洋的祈禱,LV 12,經典技能,,,
pet,寵物狀態變化魔法,酒醉魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,強力中毒魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,強力石化魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,強力昏睡魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,強力酒醉魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,強力混亂魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,強力遺忘魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,混亂衝擊波,LV 12,技能頁資料,依託強大的精神力對一橫排的敵人造成物理傷害；並有幾率使其進入混亂狀態。,"1.完成任務：[失蹤的希兒](/職業技能任務/失蹤的希兒-混亂衝擊波及魔法屏障)；
2.聖十字勇者殿堂（42,47）；可使用人物技能屋傳送券抵達",50000G
pet,寵物狀態變化魔法,混亂魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,即死魔法,LV 1,寵物技能資料,LV1成功率10%，無法對BOSS使用。,,
pet,寵物狀態變化魔法,超強中毒魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,超強石化魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,超強昏睡魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,超強酒醉魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,超強混亂魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,超強遺忘魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,雲群的祈禱,LV 12,經典技能,,,
pet,寵物狀態變化魔法,遺忘魔法,LV 12,經典技能,,,
pet,寵物狀態變化魔法,屬性反轉,LV 12,經典技能,,,
pet,狀態抵抗技能,抗石化,LV 5,寵物技能資料,降低石化的機率。,,
pet,狀態抵抗技能,抗昏睡,LV 5,寵物技能資料,降低昏睡的機率。,,
pet,狀態抵抗技能,抗毒性,LV 5,寵物技能資料,降低中毒的機率。,,
pet,狀態抵抗技能,抗酒醉,LV 5,寵物技能資料,降低酒醉的機率。,,
pet,狀態抵抗技能,抗混亂,LV 5,寵物技能資料,降低混亂的機率。,,
pet,狀態抵抗技能,抗遺忘,LV 5,寵物技能資料,降低遺忘的機率。,,
