名稱,分類,子分類,等級,說明,入手方式,image
黑暗之盾,防具,盾牌,10,有負之力量的的渾沌之盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/黑暗之盾.gif
不死鳥之服,防具,衣服,10,有自己回復能力的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/不死鳥之服.gif
保護衣,防具,衣服,1,穿在盔甲下面，保護皮膚。,製造：[衣服](/生產製造/防具/衣服),/img/防具/保護衣.gif
功夫裝,防具,衣服,5,以戰鬥為志向的盜賊們所愛用的服裝。,製造：[衣服](/生產製造/防具/衣服),/img/防具/功夫裝.gif
勇者之衣,防具,衣服,9,據說是開啟者曾穿過的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/勇者之衣.gif
士兵護衣,防具,衣服,5,士兵的防護服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/士兵護衣.gif
女神之衣,防具,衣服,9,據說女神曾穿過的聖衣。,製造：[衣服](/生產製造/防具/衣服),/img/防具/女神之衣.gif
布甲,防具,衣服,4,結實布料做的像盔甲一樣的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/皮裝.gif
旅人之服,防具,衣服,1,是普通的布料，但口袋多，方便。,製造：[衣服](/生產製造/防具/衣服),/img/防具/旅人之服.gif
步兵戰衣,防具,衣服,8,步兵用，裡面加入板子的戰衣。,製造：[衣服](/生產製造/防具/衣服),/img/防具/步兵戰衣.gif
水龍之服,防具,衣服,7,寄宿有海神的魔力的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/水龍之服.gif
獸骨之衣+,防具,衣服,8,細又柔軟的軟骨編織而成的襯衫。,製造：[衣服](/生產製造/防具/衣服),/img/防具/骨衣.gif
環服,防具,衣服,5,利用鐵環編織而成的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/環服.gif
疾風之衣,防具,衣服,8,加強閃躲能力的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/疾風之衣.gif
皮裝,防具,衣服,2,皮做的服裝。,製造：[衣服](/生產製造/防具/衣服),/img/防具/皮裝.gif
硬皮服,防具,衣服,3,還算結實的皮做的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/硬皮服.gif
索錐上衣,防具,衣服,6,穿在鍊子服上的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/索錐上衣.gif
羽毛裝,防具,衣服,2,輕量羽毛做的套裝。,製造：[衣服](/生產製造/防具/衣服),/img/防具/羽毛裝.gif
襯甲,防具,衣服,4,用布料變厚的像盔甲一樣的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/襯甲.gif
超級衣服,防具,衣服,7,有不可思議魔力的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/超級衣服.gif
鎖鏈裝,防具,衣服,3,把細的金屬圈接起來做的套裝。,製造：[衣服](/生產製造/防具/衣服),/img/防具/鎖鏈裝.gif
長索錐衣,防具,衣服,6,長的鍊子服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/硬皮服.gif
靈魂之服,防具,衣服,10,裡面有熱能的衣服。,製造：[衣服](/生產製造/防具/衣服),/img/防具/靈魂之服.gif
骨衣,防具,衣服,7,細又柔軟的軟骨編織而成的襯衫。,製造：[衣服](/生產製造/防具/衣服),/img/防具/骨衣.gif
亡靈鎧甲,防具,鎧甲,9,受魔族詛咒的鎧甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/亡靈鎧甲.gif
劍齒鎧甲,防具,鎧甲,5,專為保護重要人物的騎士們所開發的鎧甲。,製造：[鎧甲](/生產製造/防具/鎧甲),
實戰鎧甲,防具,鎧甲,7,重視實戰的全身盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/實戰鎧甲.gif
實戰鎧甲+,防具,鎧甲,8,重視實戰的全身盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/實戰鎧甲.gif
帝王之鎧,防具,鎧甲,9,統一世界的人曾用過的盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/帝王之鎧.gif
水龍鎧甲,防具,鎧甲,7,寄宿有海神的魔力的鎧甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/水龍鎧甲.gif
漆黑之鎧,防具,鎧甲,10,防禦力強大眾神之盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/漆黑之鎧.gif
環甲,防具,鎧甲,3,連結金屬圈圈的盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/環甲.gif
索狀鎧甲,防具,鎧甲,5,鋼製鍵子編織的盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/環甲.gif
護心甲,防具,鎧甲,1,保護胸部的板子。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/護心甲.gif
軟皮甲,防具,鎧甲,1,皮做的輕盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/軟皮甲.gif
輕型鎖鍊甲,防具,鎧甲,3,鏈子般的輕量鐵做的防具。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/輕型鎖鍊甲.gif
輕型鎧甲,防具,鎧甲,2,輕而且通氣性高的盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/輕型鎧甲.gif
重金屬鎧甲,防具,鎧甲,8,全身用金屬包起來的強固盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/重金屬鎧甲.gif
重鐵板甲,防具,鎧甲,6,板金疊起來做的盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/鋼鐵鎧甲.gif
野獸之鎧,防具,鎧甲,8,動物強固皮做的盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/野獸之鎧.gif
金屬皮甲,防具,鎧甲,4,把金屬小片縫在皮上的盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/金屬皮甲.gif
鋼鐵鎧甲,防具,鎧甲,4,鍛煉過的鋼鐵製盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/鋼鐵鎧甲.gif
鐵板半身甲,防具,鎧甲,6,改造鐵板做的上半身保護盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/鐵板半身甲.gif
長型金屬鎧甲,防具,鎧甲,5,很多長方形金屬片疊起來做的盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),
青銅鎧甲,防具,鎧甲,2,銅製的盔甲肩膀上有突起部。,製造：[鎧甲](/生產製造/防具/鎧甲),
騎士鎧甲,防具,鎧甲,10,據說諸神曾穿過的盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/騎士鎧甲.gif
黃金鎧甲,防具,鎧甲,7,為了提高強度，與某素材合成的盔甲。,製造：[鎧甲](/生產製造/防具/鎧甲),/img/防具/黃金鎧甲.gif
冠軍之袍,防具,長袍,7,阿斯提亞僧兵穿的戰鬥袍，魔力不會上昇。,製造：[長袍](/生產製造/防具/長袍),/img/防具/冠軍之袍.gif
勇者之袍,防具,長袍,8,據說是傳說中的魔法師穿的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/勇者之袍.gif
奇蹟之袍,防具,長袍,10,引發奇蹟力量的不可思議袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/奇蹟之袍.gif
戰鬥長袍,防具,長袍,6,戰鬥用的實用袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/戰鬥長袍.gif
時之袍,防具,長袍,7,歷史悠久的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/時之袍.gif
月亮之袍,防具,長袍,4,寫滿了魔法文字的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/月亮之袍.gif
東方法衣,防具,長袍,5,滿是水晶的水晶的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/環袍.gif
死神之袍,防具,長袍,8,有邪惡力量危險的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/死神之袍.gif
水龍法袍,防具,長袍,7,寄宿有海神的魔力的長袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/水龍法袍.gif
治癒之袍,防具,長袍,5,以能治癒百病的泉水為名，擁有治療能力的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/治癒之袍.gif
潔淨之袍+,防具,長袍,8,歷史悠久的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/時之袍.gif
烏鴉之袍,防具,長袍,4,能聽懂魔女的話，織進烏鴉羽毛的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/網袍.gif
狐皮披風,防具,長袍,4,據說是忍者飛翔時穿在身上的斗篷。,製造：[長袍](/生產製造/防具/長袍),/img/防具/狐皮披風.gif
環袍,防具,長袍,3,以圈型鐵包起來的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/環袍.gif
硬皮袍,防具,長袍,3,有點悶熱但以結實皮做的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/輕皮袍.gif
網袍,防具,長袍,2,以棉網狀編織的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/網袍.gif
羽毛袍,防具,長袍,1,以輕量羽毛做的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/羽毛袍.gif
聖堂之袍,防具,長袍,5,法蘭大聖堂公認的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/聖堂之袍.gif
聖者之袍,防具,長袍,6,隱藏聖者之力的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/聖者之袍.gif
聖袍,防具,長袍,9,帶正面魔力的神聖袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/聖袍.gif
輕皮袍,防具,長袍,1,以輕量皮做的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/輕皮袍.gif
靈魂之袍,防具,長袍,10,裡面有熱誠的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/靈魂之袍.gif
風袍,防具,長袍,2,以輕量羽毛做的袍，很輕。,製造：[長袍](/生產製造/防具/長袍),/img/防具/風袍.gif
黑暗之袍,防具,長袍,9,帶負面魔力的袍。,製造：[長袍](/生產製造/防具/長袍),/img/防具/黑暗之袍.gif
厚底靴,防具,靴子,3,靴底厚又保暖。,製造：[靴子](/生產製造/防具/靴子),/img/防具/厚底靴.gif
標準長靴+,防具,靴子,8,以水晶做的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/水晶靴.gif
水晶靴,防具,靴子,7,以水晶做的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/水晶靴.gif
水龍之靴,防具,靴子,7,寄宿有海神的魔力的靴子。,製造：[靴子](/生產製造/防具/靴子),/img/防具/水龍之靴.gif
流水之靴,防具,靴子,8,受火之力量保護的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/流水之靴.gif
皮靴,防具,靴子,1,皮做的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/皮靴.gif
硬皮靴,防具,靴子,2,用硬又結實的皮做的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/硬皮靴.gif
秘密之靴,防具,靴子,10,腳邊不起眼的裝飾品。,製造：[靴子](/生產製造/防具/靴子),/img/防具/秘密之靴.gif
編織的靴子,防具,靴子,3,以結實的繩子綁幾層的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/皮靴.gif
芙蕾雅之靴,防具,靴子,8,火屬性的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/芙蕾雅之靴.gif
蜥蝪長靴,防具,靴子,5,鯪形金屬片疊起來做的長筒靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/鎖鍊長靴.gif
蜥蝪靴,防具,靴子,5,菱形金屬片疊起來做的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/蜥蝪靴.gif
軟皮靴,防具,靴子,1,以柔軟素材做的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/軟皮靴.gif
銀靴,防具,靴子,7,有銀裝飾的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/銀靴.gif
鋼製長靴,防具,靴子,6,鋼鐵製長筒靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/鋼製長靴.gif
鋼靴,防具,靴子,6,鋼鐵製靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/鋼靴.gif
鎖鍊長靴,防具,靴子,4,綁金屬網，加強的長統靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/鎖鍊長靴.gif
鎖鍊靴,防具,靴子,4,綁鐵網，加強的長統靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/鎖鍊靴.gif
鑽石長靴,防具,靴子,9,鑽石做的，結實靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/鑽石長靴.gif
鑽石靴,防具,靴子,9,鑽石做的，非常強固的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/鑽石靴.gif
長靴,防具,靴子,2,比普通做的較長的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/長靴.gif
防護靴,防具,靴子,5,能夠在戰鬥中確保退路的厚重靴子。,製造：[靴子](/生產製造/防具/靴子),/img/防具/防護靴.gif
龍之靴,防具,靴子,10,以龍的鱗片完成的靴。,製造：[靴子](/生產製造/防具/靴子),/img/防具/龍之靴.gif
光之鞋,防具,鞋子,3,以輕量素材做的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/光之鞋.gif
力量之鞋,防具,鞋子,9,據說給給人力量的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/力量之鞋.gif
妖精鞋,防具,鞋子,7,以精靈為主的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/蜥蝪靴.gif
妖精鞋+,防具,鞋子,8,以精靈為主的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/蜥蝪靴.gif
安全鞋,防具,鞋子,2,礦工用的結實長筒鞋。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/安全鞋.gif
戰鞋,防具,鞋子,3,戰鬥用的又硬又輕的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/戰鞋.gif
戰鬥鞋,防具,鞋子,6,戰鬥用鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/戰鬥鞋.gif
水龍之鞋,防具,鞋子,7,寄宿有海神的魔力的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/水龍之鞋.gif
特製舞鞋,防具,鞋子,5,跳舞用的鞋子。為了能適應各種地形，做的特別堅固耐穿。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/特製舞鞋.gif
白金鞋,防具,鞋子,8,以白金做的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/白金鞋.gif
皮鞋,防具,鞋子,2,皮鞋。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/皮鞋.gif
神秘之鞋,防具,鞋子,9,由神秘的光圍繞的不可思議的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/神秘之鞋.gif
精緻高根鞋,防具,鞋子,8,以魔力做的不可思議的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/精緻高根鞋.gif
紫水晶鞋,防具,鞋子,7,有紫水晶水晶裝飾的美麗鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/紫水晶鞋.gif
維京鞋,防具,鞋子,5,海賊穿的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/維京鞋.gif
薄板鞋,防具,鞋子,4,金屬片疊起來加強的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/薄板鞋.gif
蜥蝪鞋,防具,鞋子,5,菱形金屬片疊起來做的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/蜥蝪鞋.gif
運動鞋,防具,鞋子,1,好動的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/運動鞋.gif
鎖鏈鞋,防具,鞋子,4,以金屬網包起來加強的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/鎖鏈鞋.gif
馬車鞋,防具,鞋子,1,可出遠門的結實鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/馬車鞋.gif
騎士鞋,防具,鞋子,6,騎士專用金屬製鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/騎士鞋.gif
黃金鞋,防具,鞋子,10,諸神做的鞋子。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/黃金鞋.gif
龍之鞋,防具,鞋子,10,據說是專門作給神明穿的異國之鞋。,製造：[鞋子](/生產製造/防具/鞋子),/img/防具/龍之鞋.gif
利刃頭盔,防具,頭盔,6,頭頂有銳利刃部的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),
博流蓋爾頭盔,防具,頭盔,8,有羽毛裝飾的鐵製的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/博流蓋爾頭盔.gif
巴比克頭盔,防具,頭盔,6,邊邊很寬的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/巴比克頭盔.gif
水龍之盔,防具,頭盔,7,寄宿有海神的魔力的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/水龍之盔.gif
白金頭盔,防具,頭盔,10,白金做的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/白金頭盔.gif
硬皮頭盔,防具,頭盔,1,硬皮做的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/硬皮頭盔.gif
羽毛頭盔,防具,頭盔,9,為了王宮警衛做的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/羽毛頭盔.gif
聖騎士之盔,防具,頭盔,5,以高潔的騎士為名的頭盔，外型密閉，容易集中精神。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/聖騎士之盔.gif
聖龍頭盔,防具,頭盔,10,可使用古代神秘力量的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/聖龍頭盔.gif
葛理克頭盔,防具,頭盔,5,保護臉部的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/葛理克頭盔.gif
角飾頭盔,防具,頭盔,4,有裝飾角的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),
金屬護額,防具,頭盔,3,放鐵板在額頭上的頭巾。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/金屬護額.gif
鉚釘頭盔,防具,頭盔,8,用鐵板與圖釘裝飾的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/鉚釘頭盔.gif
銅製頭盔,防具,頭盔,1,銅做的頭盔，薄但重。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/銅製頭盔.gif
銅鐵皮盔,防具,頭盔,2,用鐵與銅加強的皮製頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/銅鐵皮盔.gif
鋼製頭盔,防具,頭盔,7,頭頂部與頭部後面受保護的鋼製頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/鋼製頭盔.gif
鋼製頭盔+,防具,頭盔,8,頭頂部與頭部後面受保護的鋼製頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/鋼製頭盔.gif
鐵板布盔,防具,頭盔,2,鐵板做，用布包起來的帽子型頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/鐵板布盔.gif
鐵製頭盔,防具,頭盔,3,鐵製頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/鐵製頭盔.gif
開放式頭盔,防具,頭盔,5,露出臉部的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/開放式頭盔.gif
霸葛頭盔,防具,頭盔,4,有帽緣與額頭鐵板的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/霸葛頭盔.gif
騎士頭盔,防具,頭盔,7,騎士用的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/騎士頭盔.gif
龍盔,防具,頭盔,9,古代勇者所戴的頭盔。,製造：[頭盔](/生產製造/防具/頭盔),/img/防具/龍盔.gif
咖哩飯,料理,,7,香味十分迷人，在法蘭大多用雞肉來煮。,製造：[料理](/生產製造/料理),/img/料理/咖哩飯.gif
壽喜鍋,料理,,6,肉料理的帝王。,製造：[料理](/生產製造/料理),/img/料理/壽喜鍋.gif
日式海鮮飯,料理,,12,魔力值回復約1600點,製造：[料理](/生產製造/料理),
星鰻飯糰,料理,,5,酥軟的魚肉，彷彿會在舌頭上溶化一般。,製造：[料理](/生產製造/料理),/img/料理/星鰻飯糰.gif
水龍料理,料理,,7,寄宿有海神的魔力的料理。,製造：[料理](/生產製造/料理),/img/料理/水龍料理.gif
漢堡,料理,,5,黏稠的食感令人吃過還想再吃。,製造：[料理](/生產製造/料理),/img/料理/漢堡.gif
炒麵麵包,料理,,6,融合法國麵包與炒麵的超級美食。,製造：[料理](/生產製造/料理),/img/料理/炒麵麵包.gif
燒雞,料理,,4,柔軟的燉雞肉，口感十分黏稠。,製造：[料理](/生產製造/料理),/img/料理/燒雞.gif
牛排,料理,,8,花很多時間才作出來的肉類料理。,製造：[料理](/生產製造/料理),/img/料理/牛排.gif
猛毒的餌,料理,,3,下過毒的牛肉，普通人只要吃上一口就會死。,製造：[料理](/生產製造/料理)；製造：[藥水](/生產製造/藥水),/img/料理/猛毒的餌.gif
美奶滋芝麻拌飯,料理,,1,魔力值回復約300點,製造：[料理](/生產製造/料理),/img/料理/美奶滋芝麻拌飯.gif
蛋包飯,料理,,2,以最新鮮的蛋製成的半熟蛋包飯。,製造：[料理](/生產製造/料理),/img/料理/蛋包飯.gif
蛋飯,料理,,1,魔力值回復約50點,製造：[料理](/生產製造/料理),/img/料理/蛋飯.gif
螃蟹鍋,料理,,8,冬天最HOT的料理。,製造：[料理](/生產製造/料理),/img/料理/螃蟹鍋.gif
親子丼,料理,,4,熱騰騰的飯上放有半熟的蛋和剛起鍋的雞肉之人間美味。,製造：[料理](/生產製造/料理),/img/料理/親子丼.gif
豪華壽司組,料理,,9,將人間所有美味放在一起的高級料理。,製造：[料理](/生產製造/料理),/img/料理/豪華壽司組.gif
醋飯壽司,料理,,9,以各種海鮮作成的東方料理。,製造：[料理](/生產製造/料理),/img/料理/醋飯壽司.gif
醬油豬骨拉麵,料理,,5,濃厚的醬油味加上豬骨湯頭，風味絕佳。,製造：[料理](/生產製造/料理),/img/料理/醬油豬骨拉麵.gif
青椒肉絲,料理,,3,融合牛肉與青椒的人間美味：青椒肉絲。,製造：[料理](/生產製造/料理),/img/料理/青椒肉絲.gif
韓式泡菜飯,料理,,7,異國來的夢幻料理。,製造：[料理](/生產製造/料理),/img/料理/韓式泡菜飯.gif
韓式甜品,料理,,11,魔力值回復約1400點,製造：[料理](/生產製造/料理),
魅惑的哈密瓜麵包,料理,,8,有一股香甜氣味的哈蜜瓜麵包。,製造：[料理](/生產製造/料理),/img/料理/魅惑的哈密瓜麵包.gif
魚翅湯,料理,,10,"用傳說中的夢幻食材""魚翅""做成的湯。",製造：[料理](/生產製造/料理),/img/料理/魚翅湯.gif
鱉料理,料理,,10,"用傳說中的夢幻食材""鱉""做成的料理。",製造：[料理](/生產製造/料理),/img/料理/鱉料理.gif
麵包,料理,,1,非常好吃的熱呼呼的麵包。,製造：[料理](/生產製造/料理),/img/料理/麵包.gif
法國麵包,料理,料理,2,脆脆的外皮加上軟酥的餡，香味迷人的法國麵包。,製造：[料理](/生產製造/料理)；配方材料（料理）,/img/料理/法國麵包.gif
炒麵,料理,料理,3,香噴噴的醬汁配上手工麵條，可引以為傲的好吃炒麵。,製造：[料理](/生產製造/料理)；配方材料（料理）,/img/料理/炒麵.gif
白飯,料理,料理,1,魔力值回復約30點,製造：[料理](/生產製造/料理)；配方材料（料理）,/img/料理/白飯.gif
神聖美奶滋,料理,料理,1,,製造：[料理](/生產製造/料理)；配方材料（料理）,/img/料理/神聖美奶滋.gif
蕃茄醬,料理,料理,1,很酸的蕃茄醬，吃一口舌頭就會麻掉。,製造：[料理](/生產製造/料理)；配方材料（料理）,/img/料理/蕃茄醬.gif
想泉丸,藥水,,2,回憶之藥。,製造：[藥水](/生產製造/藥水),/img/藥水/想泉丸.gif
水龍藥水,藥水,,7,寄宿有海神的魔力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/水龍藥水.gif
生命力回復藥(100),藥水,,1,回復100點生命力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/生命力回復藥(100).gif
生命力回復藥(1000),藥水,,10,回復1000點生命力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/生命力回復藥(1000).gif
生命力回復藥(150),藥水,,2,回復150點生命力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/生命力回復藥(100).gif
生命力回復藥(200),藥水,,3,回復200點生命力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/生命力回復藥(100).gif
生命力回復藥(250),藥水,,4,回復250點生命力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/生命力回復藥(250).gif
生命力回復藥(300),藥水,,5,回復300點生命力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/生命力回復藥(250).gif
生命力回復藥(400),藥水,,6,回復400點生命力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/生命力回復藥(250).gif
生命力回復藥(500),藥水,,7,回復500點生命力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/生命力回復藥(500).gif
生命力回復藥(600),藥水,,8,回復600點生命力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/生命力回復藥(500).gif
生命力回復藥(800),藥水,,9,回復800點生命力的藥。,製造：[藥水](/生產製造/藥水),/img/藥水/生命力回復藥(500).gif
畢克銀酸,藥水,,4,能解除使魔族兇暴化的實驗藥效能之特效藥 。,製造：[藥水](/生產製造/藥水),/img/藥水/畢克銀酸.gif
迷魂藥,藥水,,4,某種水溶液。,製造：[藥水](/生產製造/藥水),/img/藥水/迷魂藥.gif
香水：深藍九號,藥水,,8,任何人聞了都會想逃跑的嘔心香水。,製造：[藥水](/生產製造/藥水),/img/藥水/香水：深藍九號.gif
七葉樹,採集,伐木,10,香草類,"配方材料（帽子）；配方材料（藥水）；採集：[伐木](/採集/伐木)　庫魯克斯島米諾基亞域(612,722)",/img/採集/七葉樹.gif
亞諾曼玫瑰,採集,伐木,1,香草類,"採集：[伐木](/採集/伐木)　6.0德威特島(,)",/img/採集/亞諾曼玫瑰.gif
亞諾曼青荷,採集,伐木,1,香草類,"採集：[伐木](/採集/伐木)　6.0德威特島(,)",/img/採集/亞諾曼青荷.gif
冰凍愛麗絲,採集,伐木,5,相關任務： 月亮俱樂部,"採集：[伐木](/採集/伐木)　阿巴尼斯村外(109,170)附近",/img/採集/冰凍愛麗絲.gif
印度輕木,採集,伐木,1,木材類,"配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（帽子）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（盾牌）；採集：[伐木](/採集/伐木)　芙蕾雅島法蘭城東門外(490,196)",/img/採集/印度輕木.gif
含月草,採集,伐木,5,相關任務： 穿越時空,"採集：[伐木](/採集/伐木)　翠格墓園(34,27)",/img/採集/含月草.gif
單木,採集,伐木,8,木材類,"採集：[伐木](/採集/伐木)　米內葛爾島阿凱魯法域(234,425)",/img/採集/單木.gif
孟宗竹,採集,伐木,體驗,木材類,"採集：[伐木](/採集/伐木)　芙蕾雅島法蘭城東門外(490,196)",/img/採集/孟宗竹.gif
德國島蘭,採集,伐木,2,香草類,"採集：[伐木](/採集/伐木)　6.0德威特島(,)",/img/採集/德國島蘭.gif
德國雛菊,採集,伐木,2,香草類,"採集：[伐木](/採集/伐木)　6.0德威特島(,)",/img/採集/德國雛菊.gif
