技能,適用,等級,魔力消耗,成功率倍率,作用範圍,效果,學習資訊
超強隕石魔法,人物,8,160,,,攻擊一側全體的地屬性魔法，建議精神達263,
超強隕石魔法,人物,9,180,,,攻擊一側全體的地屬性魔法，建議精神達283,
超強隕石魔法,人物,10,200,,,攻擊一側全體的地屬性魔法，建議精神達303,
超強隕石魔法,人物,11,220,,,攻擊一側全體的地屬性魔法，建議精神達323（推估）,
超強隕石魔法,人物,12,240,,,攻擊一側全體的地屬性魔法，建議精神達343（推估）,
超強冰凍魔法,人物,1,20,,,攻擊一側全體的水屬性魔法，建議精神達123,
超強冰凍魔法,人物,2,40,,,攻擊一側全體的水屬性魔法，建議精神達143,
超強冰凍魔法,人物,3,60,,,攻擊一側全體的水屬性魔法，建議精神達163,
超強冰凍魔法,人物,4,80,,,攻擊一側全體的水屬性魔法，建議精神達183,
超強冰凍魔法,人物,5,100,,,攻擊一側全體的水屬性魔法，建議精神達203,
超強冰凍魔法,人物,6,120,,,攻擊一側全體的水屬性魔法，建議精神達223,
超強冰凍魔法,人物,7,140,,,攻擊一側全體的水屬性魔法，建議精神達243,
超強冰凍魔法,人物,8,160,,,攻擊一側全體的水屬性魔法，建議精神達263,
超強冰凍魔法,人物,9,180,,,攻擊一側全體的水屬性魔法，建議精神達283,
超強冰凍魔法,人物,10,200,,,攻擊一側全體的水屬性魔法，建議精神達303,
超強冰凍魔法,人物,11,220,,,攻擊一側全體的水屬性魔法，建議精神達323（推估）,
超強冰凍魔法,人物,12,240,,,攻擊一側全體的水屬性魔法，建議精神達343（推估）,
超強火焰魔法,人物,1,20,,,攻擊一側全體的火屬性魔法，建議精神達123,
超強火焰魔法,人物,2,40,,,攻擊一側全體的火屬性魔法，建議精神達143,
超強火焰魔法,人物,3,60,,,攻擊一側全體的火屬性魔法，建議精神達163,
超強火焰魔法,人物,4,80,,,攻擊一側全體的火屬性魔法，建議精神達183,
超強火焰魔法,人物,5,100,,,攻擊一側全體的火屬性魔法，建議精神達203,
超強火焰魔法,人物,6,120,,,攻擊一側全體的火屬性魔法，建議精神達223,
超強火焰魔法,人物,7,140,,,攻擊一側全體的火屬性魔法，建議精神達243,
超強火焰魔法,人物,8,160,,,攻擊一側全體的火屬性魔法，建議精神達263,
超強火焰魔法,人物,9,180,,,攻擊一側全體的火屬性魔法，建議精神達283,
超強火焰魔法,人物,10,200,,,攻擊一側全體的火屬性魔法，建議精神達303,
超強火焰魔法,人物,11,220,,,攻擊一側全體的火屬性魔法，建議精神達323（推估）,
超強火焰魔法,人物,12,240,,,攻擊一側全體的火屬性魔法，建議精神達343（推估）,
超強風刃魔法,人物,1,20,,,攻擊一側全體的風屬性魔法，建議精神達123,
超強風刃魔法,人物,2,40,,,攻擊一側全體的風屬性魔法，建議精神達143,
超強風刃魔法,人物,3,60,,,攻擊一側全體的風屬性魔法，建議精神達163,
超強風刃魔法,人物,4,80,,,攻擊一側全體的風屬性魔法，建議精神達183,
超強風刃魔法,人物,5,100,,,攻擊一側全體的風屬性魔法，建議精神達203,
超強風刃魔法,人物,6,120,,,攻擊一側全體的風屬性魔法，建議精神達223,
超強風刃魔法,人物,7,140,,,攻擊一側全體的風屬性魔法，建議精神達243,
超強風刃魔法,人物,8,160,,,攻擊一側全體的風屬性魔法，建議精神達263,
超強風刃魔法,人物,9,180,,,攻擊一側全體的風屬性魔法，建議精神達283,
超強風刃魔法,人物,10,200,,,攻擊一側全體的風屬性魔法，建議精神達303,
超強風刃魔法,人物,11,220,,,攻擊一側全體的風屬性魔法，建議精神達323（推估）,
超強風刃魔法,人物,12,240,,,攻擊一側全體的風屬性魔法，建議精神達343（推估）,
精神衝擊波,人物,1,20,,,造成基礎傷害+62%精神倍率的傷害,
精神衝擊波,人物,2,40,,,造成基礎傷害+64%精神倍率的傷害,
精神衝擊波,人物,3,60,,,造成基礎傷害+66%精神倍率的傷害,
精神衝擊波,人物,4,80,,,造成基礎傷害+68%精神倍率的傷害,
精神衝擊波,人物,5,100,,,造成基礎傷害+70%精神倍率的傷害,
精神衝擊波,人物,6,120,,,造成基礎傷害+72%精神倍率的傷害,
精神衝擊波,人物,7,140,,,造成基礎傷害+74%精神倍率的傷害,
精神衝擊波,人物,8,160,,,造成基礎傷害+76%精神倍率的傷害,
精神衝擊波,人物,9,180,,,造成基礎傷害+78%精神倍率的傷害,
精神衝擊波,人物,10,200,,,造成基礎傷害+80%精神倍率的傷害,
精神衝擊波,人物,11,220,,,造成基礎傷害+82%精神倍率的傷害,
精神衝擊波,人物,12,240,,,造成基礎傷害+84%精神倍率的傷害,
石化魔法,人物,1,5,,,讓敵單體石化2回合,
石化魔法,人物,2,10,,,讓敵單體石化3回合,
石化魔法,人物,3,15,,,讓敵單體石化3回合,
石化魔法,人物,4,20,,,讓敵單體石化4回合,
石化魔法,人物,5,25,,,讓敵單體石化4回合,
石化魔法,人物,6,30,,,讓敵單體石化5回合,
石化魔法,人物,7,35,,,讓敵單體石化5回合,
石化魔法,人物,8,40,,,讓敵單體石化6回合,
石化魔法,人物,9,45,,,讓敵單體石化6回合,
石化魔法,人物,10,50,,,讓敵單體石化7回合,
石化魔法,人物,11,55,,,讓敵單體石化7回合,
石化魔法,人物,12,60,,,讓敵單體石化8回合,
遺忘魔法,人物,1,5,,,讓敵單體遺忘2回合,
遺忘魔法,人物,2,10,,,讓敵單體遺忘3回合,
遺忘魔法,人物,3,15,,,讓敵單體遺忘3回合,
遺忘魔法,人物,4,20,,,讓敵單體遺忘4回合,
遺忘魔法,人物,5,25,,,讓敵單體遺忘4回合,
遺忘魔法,人物,6,30,,,讓敵單體遺忘5回合,
遺忘魔法,人物,7,35,,,讓敵單體遺忘5回合,
遺忘魔法,人物,8,40,,,讓敵單體遺忘6回合,
遺忘魔法,人物,9,45,,,讓敵單體遺忘6回合,
遺忘魔法,人物,10,50,,,讓敵單體遺忘7回合,
遺忘魔法,人物,11,55,,,讓敵單體遺忘7回合,
遺忘魔法,人物,12,60,,,讓敵單體遺忘8回合,
混亂魔法,人物,1,5,,,讓敵單體混亂2回合,
混亂魔法,人物,2,10,,,讓敵單體混亂3回合,
混亂魔法,人物,3,15,,,讓敵單體混亂3回合,
混亂魔法,人物,4,20,,,讓敵單體混亂4回合,
混亂魔法,人物,5,25,,,讓敵單體混亂4回合,
混亂魔法,人物,6,30,,,讓敵單體混亂5回合,
混亂魔法,人物,7,35,,,讓敵單體混亂5回合,
混亂魔法,人物,8,40,,,讓敵單體混亂6回合,
混亂魔法,人物,9,45,,,讓敵單體混亂6回合,
混亂魔法,人物,10,50,,,讓敵單體混亂7回合,
混亂魔法,人物,11,55,,,讓敵單體混亂7回合,
混亂魔法,人物,12,60,,,讓敵單體混亂8回合,
酒醉魔法,人物,1,5,,,讓敵單體酒醉2回合,
酒醉魔法,人物,2,10,,,讓敵單體酒醉3回合,
酒醉魔法,人物,3,15,,,讓敵單體酒醉3回合,
酒醉魔法,人物,4,20,,,讓敵單體酒醉4回合,
酒醉魔法,人物,5,25,,,讓敵單體酒醉4回合,
酒醉魔法,人物,6,30,,,讓敵單體酒醉5回合,
酒醉魔法,人物,7,35,,,讓敵單體酒醉5回合,
酒醉魔法,人物,8,40,,,讓敵單體酒醉6回合,
酒醉魔法,人物,9,45,,,讓敵單體酒醉6回合,
酒醉魔法,人物,10,50,,,讓敵單體酒醉7回合,
酒醉魔法,人物,11,55,,,讓敵單體酒醉7回合,
酒醉魔法,人物,12,60,,,讓敵單體酒醉8回合,
中毒魔法,人物,1,5,,,讓敵單體中毒2回合,
中毒魔法,人物,2,10,,,讓敵單體中毒3回合,
中毒魔法,人物,3,15,,,讓敵單體中毒3回合,
中毒魔法,人物,4,20,,,讓敵單體中毒4回合,
中毒魔法,人物,5,25,,,讓敵單體中毒4回合,
中毒魔法,人物,6,30,,,讓敵單體中毒5回合,
中毒魔法,人物,7,35,,,讓敵單體中毒5回合,
中毒魔法,人物,8,40,,,讓敵單體中毒6回合,
中毒魔法,人物,9,45,,,讓敵單體中毒6回合,
中毒魔法,人物,10,50,,,讓敵單體中毒7回合,
中毒魔法,人物,11,55,,,讓敵單體中毒7回合,
中毒魔法,人物,12,60,,,讓敵單體中毒8回合,
昏睡魔法,人物,1,5,,,讓敵單體昏睡2回合,
昏睡魔法,人物,2,10,,,讓敵單體昏睡3回合,
昏睡魔法,人物,3,15,,,讓敵單體昏睡3回合,
昏睡魔法,人物,4,20,,,讓敵單體昏睡4回合,
昏睡魔法,人物,5,25,,,讓敵單體昏睡4回合,
昏睡魔法,人物,6,30,,,讓敵單體昏睡5回合,
昏睡魔法,人物,7,35,,,讓敵單體昏睡5回合,
昏睡魔法,人物,8,40,,,讓敵單體昏睡6回合,
昏睡魔法,人物,9,45,,,讓敵單體昏睡6回合,
昏睡魔法,人物,10,50,,,讓敵單體昏睡7回合,
昏睡魔法,人物,11,55,,,讓敵單體昏睡7回合,
昏睡魔法,人物,12,60,,,讓敵單體昏睡8回合,
強力石化魔法,人物,1,10,,,讓敵單體及其周圍石化2回合,
強力石化魔法,人物,2,20,,,讓敵單體及其周圍石化3回合,
強力石化魔法,人物,3,30,,,讓敵單體及其周圍石化3回合,
強力石化魔法,人物,4,40,,,讓敵單體及其周圍石化4回合,
強力石化魔法,人物,5,50,,,讓敵單體及其周圍石化4回合,
強力石化魔法,人物,6,60,,,讓敵單體及其周圍石化5回合,
強力石化魔法,人物,7,70,,,讓敵單體及其周圍石化5回合,
強力石化魔法,人物,8,80,,,讓敵單體及其周圍石化6回合,
強力石化魔法,人物,9,90,,,讓敵單體及其周圍石化6回合,
強力石化魔法,人物,10,100,,,讓敵單體及其周圍石化7回合,
強力石化魔法,人物,11,110,,,讓敵單體及其周圍石化7回合,
強力石化魔法,人物,12,120,,,讓敵單體及其周圍石化8回合,
強力遺忘魔法,人物,1,10,,,讓敵單體及其周圍遺忘2回合,
強力遺忘魔法,人物,2,20,,,讓敵單體及其周圍遺忘3回合,
強力遺忘魔法,人物,3,30,,,讓敵單體及其周圍遺忘3回合,
強力遺忘魔法,人物,4,40,,,讓敵單體及其周圍遺忘4回合,
強力遺忘魔法,人物,5,50,,,讓敵單體及其周圍遺忘4回合,
強力遺忘魔法,人物,6,60,,,讓敵單體及其周圍遺忘5回合,
強力遺忘魔法,人物,7,70,,,讓敵單體及其周圍遺忘5回合,
強力遺忘魔法,人物,8,80,,,讓敵單體及其周圍遺忘6回合,
強力遺忘魔法,人物,9,90,,,讓敵單體及其周圍遺忘6回合,
強力遺忘魔法,人物,10,100,,,讓敵單體及其周圍遺忘7回合,
強力遺忘魔法,人物,11,110,,,讓敵單體及其周圍遺忘7回合,
強力遺忘魔法,人物,12,120,,,讓敵單體及其周圍遺忘8回合,
強力混亂魔法,人物,1,10,,,讓敵單體及其周圍混亂2回合,
強力混亂魔法,人物,2,20,,,讓敵單體及其周圍混亂3回合,
強力混亂魔法,人物,3,30,,,讓敵單體及其周圍混亂3回合,
強力混亂魔法,人物,4,40,,,讓敵單體及其周圍混亂4回合,
強力混亂魔法,人物,5,50,,,讓敵單體及其周圍混亂4回合,
強力混亂魔法,人物,6,60,,,讓敵單體及其周圍混亂5回合,
強力混亂魔法,人物,7,70,,,讓敵單體及其周圍混亂5回合,
強力混亂魔法,人物,8,80,,,讓敵單體及其周圍混亂6回合,
強力混亂魔法,人物,9,90,,,讓敵單體及其周圍混亂6回合,
強力混亂魔法,人物,10,100,,,讓敵單體及其周圍混亂7回合,
強力混亂魔法,人物,11,110,,,讓敵單體及其周圍混亂7回合,
強力混亂魔法,人物,12,120,,,讓敵單體及其周圍混亂8回合,
強力酒醉魔法,人物,1,10,,,讓敵單體及其周圍酒醉2回合,
強力酒醉魔法,人物,2,20,,,讓敵單體及其周圍酒醉3回合,
強力酒醉魔法,人物,3,30,,,讓敵單體及其周圍酒醉3回合,
強力酒醉魔法,人物,4,40,,,讓敵單體及其周圍酒醉4回合,
強力酒醉魔法,人物,5,50,,,讓敵單體及其周圍酒醉4回合,
強力酒醉魔法,人物,6,60,,,讓敵單體及其周圍酒醉5回合,
強力酒醉魔法,人物,7,70,,,讓敵單體及其周圍酒醉5回合,
強力酒醉魔法,人物,8,80,,,讓敵單體及其周圍酒醉6回合,
強力酒醉魔法,人物,9,90,,,讓敵單體及其周圍酒醉6回合,
強力酒醉魔法,人物,10,100,,,讓敵單體及其周圍酒醉7回合,
強力酒醉魔法,人物,11,110,,,讓敵單體及其周圍酒醉7回合,
強力酒醉魔法,人物,12,120,,,讓敵單體及其周圍酒醉8回合,
強力中毒魔法,人物,1,10,,,讓敵單體及其周圍中毒2回合,
強力中毒魔法,人物,2,20,,,讓敵單體及其周圍中毒3回合,
強力中毒魔法,人物,3,30,,,讓敵單體及其周圍中毒3回合,
強力中毒魔法,人物,4,40,,,讓敵單體及其周圍中毒4回合,
強力中毒魔法,人物,5,50,,,讓敵單體及其周圍中毒4回合,
強力中毒魔法,人物,6,60,,,讓敵單體及其周圍中毒5回合,
強力中毒魔法,人物,7,70,,,讓敵單體及其周圍中毒5回合,
強力中毒魔法,人物,8,80,,,讓敵單體及其周圍中毒6回合,
強力中毒魔法,人物,9,90,,,讓敵單體及其周圍中毒6回合,
強力中毒魔法,人物,10,100,,,讓敵單體及其周圍中毒7回合,
強力中毒魔法,人物,11,110,,,讓敵單體及其周圍中毒7回合,
強力中毒魔法,人物,12,120,,,讓敵單體及其周圍中毒8回合,
強力昏睡魔法,人物,1,10,,,讓敵單體及其周圍昏睡2回合,
強力昏睡魔法,人物,2,20,,,讓敵單體及其周圍昏睡3回合,
強力昏睡魔法,人物,3,30,,,讓敵單體及其周圍昏睡3回合,
強力昏睡魔法,人物,4,40,,,讓敵單體及其周圍昏睡4回合,
強力昏睡魔法,人物,5,50,,,讓敵單體及其周圍昏睡4回合,
強力昏睡魔法,人物,6,60,,,讓敵單體及其周圍昏睡5回合,
強力昏睡魔法,人物,7,70,,,讓敵單體及其周圍昏睡5回合,
強力昏睡魔法,人物,8,80,,,讓敵單體及其周圍昏睡6回合,
強力昏睡魔法,人物,9,90,,,讓敵單體及其周圍昏睡6回合,
強力昏睡魔法,人物,10,100,,,讓敵單體及其周圍昏睡7回合,
強力昏睡魔法,人物,11,110,,,讓敵單體及其周圍昏睡7回合,
強力昏睡魔法,人物,12,120,,,讓敵單體及其周圍昏睡8回合,
超強石化魔法,人物,1,20,,,讓一側全體石化2回合,
超強石化魔法,人物,2,40,,,讓一側全體石化3回合,
超強石化魔法,人物,3,60,,,讓一側全體石化3回合,
超強石化魔法,人物,4,80,,,讓一側全體石化4回合,
超強石化魔法,人物,5,100,,,讓一側全體石化4回合,
超強石化魔法,人物,6,120,,,讓一側全體石化5回合,
超強石化魔法,人物,7,140,,,讓一側全體石化5回合,
超強石化魔法,人物,8,160,,,讓一側全體石化6回合,
超強石化魔法,人物,9,180,,,讓一側全體石化6回合,
超強石化魔法,人物,10,200,,,讓一側全體石化7回合,
超強石化魔法,人物,11,220,,,讓一側全體石化7回合,
超強石化魔法,人物,12,240,,,讓一側全體石化8回合,
超強遺忘魔法,人物,1,20,,,讓一側全體遺忘2回合,
超強遺忘魔法,人物,2,40,,,讓一側全體遺忘3回合,
超強遺忘魔法,人物,3,60,,,讓一側全體遺忘3回合,
超強遺忘魔法,人物,4,80,,,讓一側全體遺忘4回合,
超強遺忘魔法,人物,5,100,,,讓一側全體遺忘4回合,
超強遺忘魔法,人物,6,120,,,讓一側全體遺忘5回合,
超強遺忘魔法,人物,7,140,,,讓一側全體遺忘5回合,
超強遺忘魔法,人物,8,160,,,讓一側全體遺忘6回合,
超強遺忘魔法,人物,9,180,,,讓一側全體遺忘6回合,
超強遺忘魔法,人物,10,200,,,讓一側全體遺忘7回合,
超強遺忘魔法,人物,11,220,,,讓一側全體遺忘7回合,
超強遺忘魔法,人物,12,240,,,讓一側全體遺忘8回合,
超強混亂魔法,人物,1,20,,,1 讓一側全體混亂2回合,
超強混亂魔法,人物,2,40,,,讓一側全體混亂3回合,
超強混亂魔法,人物,3,60,,,讓一側全體混亂3回合,
超強混亂魔法,人物,4,80,,,讓一側全體混亂4回合,
超強混亂魔法,人物,5,100,,,讓一側全體混亂4回合,
超強混亂魔法,人物,6,120,,,讓一側全體混亂5回合,
超強混亂魔法,人物,7,140,,,讓一側全體混亂5回合,
超強混亂魔法,人物,8,160,,,讓一側全體混亂6回合,
超強混亂魔法,人物,9,180,,,讓一側全體混亂6回合,
超強混亂魔法,人物,10,200,,,讓一側全體混亂7回合,
超強混亂魔法,人物,11,220,,,讓一側全體混亂7回合,
超強混亂魔法,人物,12,240,,,讓一側全體混亂8回合,
超強酒醉魔法,人物,1,20,,,讓一側全體酒醉2回合,
超強酒醉魔法,人物,2,40,,,讓一側全體酒醉3回合,
超強酒醉魔法,人物,3,60,,,讓一側全體酒醉3回合,
超強酒醉魔法,人物,4,80,,,讓一側全體酒醉4回合,
超強酒醉魔法,人物,5,100,,,讓一側全體酒醉4回合,
超強酒醉魔法,人物,6,120,,,讓一側全體酒醉5回合,
超強酒醉魔法,人物,7,140,,,讓一側全體酒醉5回合,
超強酒醉魔法,人物,8,160,,,讓一側全體酒醉6回合,
超強酒醉魔法,人物,9,180,,,讓一側全體酒醉6回合,
超強酒醉魔法,人物,10,200,,,讓一側全體酒醉7回合,
超強酒醉魔法,人物,11,220,,,讓一側全體酒醉7回合,
超強酒醉魔法,人物,12,240,,,讓一側全體酒醉8回合,
超強中毒魔法,人物,1,20,,,讓一側全體中毒2回合,
超強中毒魔法,人物,2,40,,,讓一側全體中毒3回合,
超強中毒魔法,人物,3,60,,,讓一側全體中毒3回合,
超強中毒魔法,人物,4,80,,,讓一側全體中毒4回合,
超強中毒魔法,人物,5,100,,,讓一側全體中毒4回合,
超強中毒魔法,人物,6,120,,,讓一側全體中毒5回合,
超強中毒魔法,人物,7,140,,,讓一側全體中毒5回合,
超強中毒魔法,人物,8,160,,,讓一側全體中毒6回合,
超強中毒魔法,人物,9,180,,,讓一側全體中毒6回合,
超強中毒魔法,人物,10,200,,,讓一側全體中毒7回合,
超強中毒魔法,人物,11,220,,,讓一側全體中毒7回合,
超強中毒魔法,人物,12,240,,,讓一側全體中毒8回合,
超強昏睡魔法,人物,1,20,,,讓一側全體昏睡2回合,
超強昏睡魔法,人物,2,40,,,讓一側全體昏睡3回合,
超強昏睡魔法,人物,3,60,,,讓一側全體昏睡3回合,
超強昏睡魔法,人物,4,80,,,讓一側全體昏睡4回合,
超強昏睡魔法,人物,5,100,,,讓一側全體昏睡4回合,
超強昏睡魔法,人物,6,120,,,讓一側全體昏睡5回合,
超強昏睡魔法,人物,7,140,,,讓一側全體昏睡5回合,
超強昏睡魔法,人物,8,160,,,讓一側全體昏睡6回合,
超強昏睡魔法,人物,9,180,,,讓一側全體昏睡6回合,
超強昏睡魔法,人物,10,200,,,讓一側全體昏睡7回合,
超強昏睡魔法,人物,11,220,,,讓一側全體昏睡7回合,
超強昏睡魔法,人物,12,240,,,讓一側全體昏睡8回合,
大地的祈禱,人物,1,15,,,雙方戰鬥2回合間，地屬性傷害值減輕1%,
大地的祈禱,人物,2,17,,,雙方戰鬥3回合間，地屬性傷害值減輕1%,
大地的祈禱,人物,3,22,,,雙方戰鬥3回合間，地屬性傷害值減輕1.5%,
大地的祈禱,人物,4,25,,,雙方戰鬥4回合間，地屬性傷害值減輕1.5%,
大地的祈禱,人物,5,30,,,雙方戰鬥4回合間，地屬性傷害值減輕2%,
大地的祈禱,人物,6,32,,,雙方戰鬥5回合間，地屬性傷害值減輕2%,
大地的祈禱,人物,7,37,,,雙方戰鬥5回合間，地屬性傷害值減輕2.5%,
大地的祈禱,人物,8,40,,,雙方戰鬥6回合間，地屬性傷害值減輕2.5%,
大地的祈禱,人物,9,45,,,雙方戰鬥6回合間，地屬性傷害值減輕3%,
大地的祈禱,人物,10,52,,,雙方戰鬥7回合間，地屬性傷害值減輕3%,
大地的祈禱,人物,11,59,,,雙方戰鬥7回合間，地屬性傷害值減輕3%,
大地的祈禱,人物,12,66,,,雙方戰鬥8回合間，地屬性傷害值減輕3%,
海洋的祈禱,人物,1,15,,,雙方戰鬥2回合間，水屬性傷害值減輕1%,
海洋的祈禱,人物,2,17,,,雙方戰鬥3回合間，水屬性傷害值減輕1%,
海洋的祈禱,人物,3,22,,,雙方戰鬥3回合間，水屬性傷害值減輕1.5%,
海洋的祈禱,人物,4,25,,,雙方戰鬥4回合間，水屬性傷害值減輕1.5%,
海洋的祈禱,人物,5,30,,,雙方戰鬥4回合間，水屬性傷害值減輕2%,
海洋的祈禱,人物,6,32,,,雙方戰鬥5回合間，水屬性傷害值減輕2%,
海洋的祈禱,人物,7,37,,,雙方戰鬥5回合間，水屬性傷害值減輕2.5%,
海洋的祈禱,人物,8,40,,,雙方戰鬥6回合間，水屬性傷害值減輕2.5%,
海洋的祈禱,人物,9,45,,,雙方戰鬥6回合間，水屬性傷害值減輕3%,
海洋的祈禱,人物,10,52,,,雙方戰鬥7回合間，水屬性傷害值減輕3%,
海洋的祈禱,人物,11,59,,,雙方戰鬥7回合間，水屬性傷害值減輕3%,
海洋的祈禱,人物,12,66,,,雙方戰鬥8回合間，水屬性傷害值減輕3%,
火焰的祈禱,人物,1,15,,,雙方戰鬥2回合間，火屬性傷害值減輕1%,
火焰的祈禱,人物,2,17,,,雙方戰鬥3回合間，火屬性傷害值減輕1%,
火焰的祈禱,人物,3,22,,,雙方戰鬥3回合間，火屬性傷害值減輕1.5%,
火焰的祈禱,人物,4,25,,,雙方戰鬥4回合間，火屬性傷害值減輕1.5%,
火焰的祈禱,人物,5,30,,,雙方戰鬥4回合間，火屬性傷害值減輕2%,
火焰的祈禱,人物,6,32,,,雙方戰鬥5回合間，火屬性傷害值減輕2%,
火焰的祈禱,人物,7,37,,,雙方戰鬥5回合間，火屬性傷害值減輕2.5%,
火焰的祈禱,人物,8,40,,,雙方戰鬥6回合間，火屬性傷害值減輕2.5%,
火焰的祈禱,人物,9,45,,,雙方戰鬥6回合間，火屬性傷害值減輕3%,
火焰的祈禱,人物,10,52,,,雙方戰鬥7回合間，火屬性傷害值減輕3%,
火焰的祈禱,人物,11,59,,,雙方戰鬥7回合間，火屬性傷害值減輕3%,
火焰的祈禱,人物,12,66,,,雙方戰鬥8回合間，火屬性傷害值減輕3%,
雲群的祈禱,人物,1,15,,,雙方戰鬥2回合間，風屬性傷害值減輕1%,
雲群的祈禱,人物,2,17,,,雙方戰鬥3回合間，風屬性傷害值減輕1%,
雲群的祈禱,人物,3,22,,,雙方戰鬥3回合間，風屬性傷害值減輕1.5%,
雲群的祈禱,人物,4,25,,,雙方戰鬥4回合間，風屬性傷害值減輕1.5%,
雲群的祈禱,人物,5,30,,,雙方戰鬥4回合間，風屬性傷害值減輕2%,
雲群的祈禱,人物,6,32,,,雙方戰鬥5回合間，風屬性傷害值減輕2%,
雲群的祈禱,人物,7,37,,,雙方戰鬥5回合間，風屬性傷害值減輕2.5%,
雲群的祈禱,人物,8,40,,,雙方戰鬥6回合間，風屬性傷害值減輕2.5%,
雲群的祈禱,人物,9,45,,,雙方戰鬥6回合間，風屬性傷害值減輕3%,
雲群的祈禱,人物,10,52,,,雙方戰鬥7回合間，風屬性傷害值減輕3%,
雲群的祈禱,人物,11,59,,,雙方戰鬥7回合間，風屬性傷害值減輕3%,
雲群的祈禱,人物,12,66,,,雙方戰鬥8回合間，風屬性傷害值減輕3%,
屬性反轉,人物,1,10,,,指定對象2回合屬性反轉,
屬性反轉,人物,2,12,,,指定對象3回合屬性反轉,
屬性反轉,人物,3,15,,,指定對象3回合屬性反轉,
屬性反轉,人物,4,17,,,指定對象4回合屬性反轉,
屬性反轉,人物,5,20,,,指定對象4回合屬性反轉,
屬性反轉,人物,6,22,,,指定對象5回合屬性反轉,
屬性反轉,人物,7,25,,,指定對象5回合屬性反轉,
屬性反轉,人物,8,27,,,指定對象6回合屬性反轉,
屬性反轉,人物,9,30,,,指定對象6回合屬性反轉,
屬性反轉,人物,10,32,,,指定對象7回合屬性反轉,
屬性反轉,人物,11,34,,,指定對象7回合屬性反轉,
屬性反轉,人物,12,36,,,指定對象8回合屬性反轉,
補血魔法,人物,1,15,,,回復對象回復力的60%,
補血魔法,人物,2,30,,,回復對象回復力的120%,
補血魔法,人物,3,45,,,回復對象回復力的180%,
補血魔法,人物,4,60,,,回復對象回復力的240%,
補血魔法,人物,5,75,,,回復對象回復力的300%,
補血魔法,人物,6,90,,,回復對象回復力的360%,
補血魔法,人物,7,105,,,回復對象回復力的420%,
補血魔法,人物,8,120,,,回復對象回復力的480%,
補血魔法,人物,9,135,,,回復對象回復力的540%,
補血魔法,人物,10,150,,,回復對象回復力的600%,
補血魔法,人物,11,165,,,回復對象回復力的660%（推估）,
補血魔法,人物,12,180,,,回復對象回復力的720%（推估）,
強力補血魔法,人物,1,18,,,回復範圍內對象回復力的36%,
強力補血魔法,人物,2,36,,,回復範圍內對象回復力的72%,
強力補血魔法,人物,3,54,,,回復範圍內對象回復力的108%,
強力補血魔法,人物,4,72,,,回復範圍內對象回復力的144%,
強力補血魔法,人物,5,90,,,回復範圍內對象回復力的180%,
強力補血魔法,人物,6,108,,,回復範圍內對象回復力的216%,
強力補血魔法,人物,7,126,,,回復範圍內對象回復力的252%,
強力補血魔法,人物,8,144,,,回復範圍內對象回復力的288%,
強力補血魔法,人物,9,162,,,回復範圍內對象回復力的324%,
強力補血魔法,人物,10,180,,,回復範圍內對象回復力的360%,
強力補血魔法,人物,11,198,,,回復範圍內對象回復力的396%（推估）,
強力補血魔法,人物,12,216,,,回復範圍內對象回復力的432%（推估）,
超強補血魔法,人物,1,24,,,回復一側全體回復力的24%,
超強補血魔法,人物,2,48,,,回復一側全體回復力的48%,
超強補血魔法,人物,3,72,,,回復一側全體回復力的72%,
超強補血魔法,人物,4,96,,,回復一側全體回復力的96%,
超強補血魔法,人物,5,120,,,回復一側全體回復力的120%,
超強補血魔法,人物,6,144,,,回復一側全體回復力的144%,
超強補血魔法,人物,7,168,,,回復一側全體回復力的168%,
超強補血魔法,人物,8,192,,,回復一側全體回復力的192%,
超強補血魔法,人物,9,216,,,回復一側全體回復力的216%,
超強補血魔法,人物,10,240,,,回復一側全體回復力的240%,
超強補血魔法,人物,11,264,,,回復一側全體回復力的264%（推估）,
超強補血魔法,人物,12,288,,,回復一側全體回復力的288%（推估）,
氣絕回復,人物,1,5,,,戰鬥中復活一對象，並回復約60點生命力,
氣絕回復,人物,2,10,,,戰鬥中復活一對象，並回復約120點生命力,
氣絕回復,人物,3,15,,,戰鬥中復活一對象，並回復約180點生命力,
氣絕回復,人物,4,20,,,戰鬥中復活一對象，並回復約240點生命力,
氣絕回復,人物,5,25,,,戰鬥中復活一對象，並回復約300點生命力,
氣絕回復,人物,6,30,,,戰鬥中復活一對象，並回復約360點生命力,
氣絕回復,人物,7,35,,,戰鬥中復活一對象，並回復約420點生命力,
氣絕回復,人物,8,40,,,戰鬥中復活一對象，並回復約480點生命力,
氣絕回復,人物,9,45,,,戰鬥中復活一對象，並回復約540點生命力,
氣絕回復,人物,10,50,,,戰鬥中復活一對象，並回復約600點生命力,
氣絕回復,人物,11,55,,,戰鬥中復活一對象，並回復約660點生命力（推估）,
氣絕回復,人物,12,60,,,戰鬥中復活一對象，並回復約720點生命力（推估）,
潔淨魔法,人物,1,10,,,30%概率恢復單體異常狀態,
潔淨魔法,人物,2,15,,,60%概率恢復單體異常狀態,
潔淨魔法,人物,3,20,,,90%概率恢復單體異常狀態,
潔淨魔法,人物,4,20,,,30%概率恢復單體及其周圍異常狀態,
潔淨魔法,人物,5,30,,,60%概率恢復單體及其周圍異常狀態,
潔淨魔法,人物,6,40,,,90%概率恢復單體及其周圍異常狀態,
