名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,image,任務用途,新聞來源
焚炎仙靈,特殊系,37,10,13,21,44,,125,火10,攻擊、防禦,,,mlbb_news_8764.txt
星輝仙靈,特殊系,50,6,15,6,48,,125,水5火5,攻擊、防禦,,,mlbb_news_8764.txt
焦糖丸子炸彈,特殊系,12,21,13,32,47,,125,風8地2,攻擊、防禦,,,mlbb_news_8764.txt
月獅,野獸系,30,32,13,26,22,,123,風10,攻擊、防禦,,,mlbb_news_8814.txt
雪獅,野獸系,36,32,18,24,13,,123,水10,攻擊、防禦,,,mlbb_news_8814.txt
蝕月炎獸,金屬系,43,6,16,18,42,,125,風10,攻擊、防禦,,,mlbb_news_8814.txt
暴雪魔獸,金屬系,50,40,12,17,6,,125,水10,攻擊、防禦,,,mlbb_news_8814.txt
山吹,人形系,13,23,25,22,37,,120,水5火5,攻擊、防禦,,,mlbb_news_8824.txt
咒殺型山吹,人形系,15,6,11,47,46,,125,水5火5,攻擊、防禦,,,mlbb_news_8824.txt
火柴小王子,特殊系,42,6,9,47,21,,125,火5風5,攻擊、防禦,,,mlbb_news_8854.txt
碧燄,特殊系,35,10,16,20,44,,125,地10,攻擊、防禦,,,mlbb_news_8854.txt
赤燄,特殊系,39,6,12,24,44,,125,火10,攻擊、防禦,,,mlbb_news_8854.txt
聖誕麋鹿,野獸系,38,35,25,15,10,,123,地5風5,攻擊、防禦,,,mlbb_news_8854.txt
聖誕馴鹿,野獸系,38,25,35,15,10,,123,水5火5,攻擊、防禦,,,mlbb_news_8854.txt
聖誕林鹿,野獸系,25,38,35,15,10,,123,火5風5,攻擊、防禦,,,mlbb_news_8854.txt
聖誕梅花鹿,野獸系,35,38,25,15,10,,123,風5地5,攻擊、防禦,,,mlbb_news_8854.txt
聖金雪橇鹿車,飛行系,52,39,14,14,6,,125,地10,攻擊、防禦,,,mlbb_news_8854.txt
黑金雪橇鹿車,飛行系,52,14,39,14,6,,125,水10,攻擊、防禦,,,mlbb_news_8854.txt
黃金雪橇鹿車,飛行系,52,14,14,39,6,,125,火10,攻擊、防禦,,,mlbb_news_8854.txt
白金雪橇鹿車,飛行系,39,52,14,14,6,,125,風10,攻擊、防禦,,,mlbb_news_8854.txt
新生露比,人形系,25,25,25,25,25,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
見習戰斧露比,人形系,40,40,15,24,6,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
見習弓箭手露比,人形系,24,40,15,40,6,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
見習格鬥家露比,人形系,22,40,17,40,6,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
見習劍士露比,人形系,32,42,13,32,6,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
見習巫師露比,人形系,36,6,15,26,42,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
見習騎士露比,人形系,40,40,25,14,6,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
戰斧大師露比,人形系,43,52,11,13,6,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
弓術大師露比,人形系,47,46,11,15,6,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
格鬥大師露比,人形系,12,46,11,50,6,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
劍術大師露比,人形系,14,52,11,42,6,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
巫術大師露比,人形系,46,6,11,12,50,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
槍術大師露比,人形系,36,52,11,20,6,,125,水5火5,攻擊、防禦,,,mlbb_news_8914.txt
風暴仙靈,特殊系,44,37,13,21,10,,125,風10,攻擊、防禦,,,mlbb_news_8944.txt
山隱仙靈,特殊系,21,10,13,37,44,,125,地10,攻擊、防禦,,,mlbb_news_8944.txt
潮汐仙靈,特殊系,21,10,37,13,44,,125,水10,攻擊、防禦,,,mlbb_news_8944.txt
焚炎仙靈,特殊系,37,10,13,21,44,,125,火10,攻擊、防禦,,,mlbb_news_8944.txt
逐月仙靈,特殊系,46,6,11,13,49,,125,水10,攻擊、防禦,,,mlbb_news_8944.txt
百兩招財貓,金屬系,22,22,22,22,22,,110,火5風5,攻擊、防禦,,,mlbb_news_8984.txt
千兩招財貓,金屬系,30,16,12,25,40,,123,火5風5,攻擊、防禦,,,mlbb_news_8984.txt
萬兩招財貓,金屬系,23,12,20,24,46,,125,火5風5,攻擊、防禦,,,mlbb_news_8984.txt
十萬兩招財貓,金屬系,32,36,25,24,8,,125,火5風5,攻擊、防禦,,,mlbb_news_8984.txt
億萬兩招財貓,金屬系,38,6,10,21,50,,125,火5風5,攻擊、防禦,,,mlbb_news_8984.txt
兔吉祥,野獸系,30,30,21,21,21,,123,地10,攻擊、防禦,,,mlbb_news_8984.txt
兔吉利,野獸系,21,30,30,21,21,,123,水10,攻擊、防禦,,,mlbb_news_8984.txt
兔吉星,野獸系,30,21,21,21,30,,123,火10,攻擊、防禦,,,mlbb_news_8984.txt
兔吉兆,野獸系,21,21,21,30,30,,123,風10,攻擊、防禦,,,mlbb_news_8984.txt
吉祥癸兔,人形系,40,40,15,15,15,,125,地10,攻擊、防禦,,,mlbb_news_8984.txt
吉利癸兔,人形系,15,40,40,15,15,,125,水10,攻擊、防禦,,,mlbb_news_8984.txt
吉星癸兔,人形系,40,15,15,15,40,,125,火10,攻擊、防禦,,,mlbb_news_8984.txt
吉兆癸兔,人形系,15,15,15,40,40,,125,風10,攻擊、防禦,,,mlbb_news_8984.txt
毆茲那克,人形系,28,36,19,19,18,,120,火10,攻擊、防禦,,,mlbb_news_9024.txt
熊霸毆茲那克,人形系,50,37,12,20,6,,125,火10,攻擊、防禦,,,mlbb_news_9024.txt
歐茲尼克,人形系,21,36,13,28,22,,120,水5火5,攻擊、防禦,,,mlbb_news_9024.txt
煞氣歐茲尼克,人形系,14,50,12,43,6,,125,水5火5,攻擊、防禦,,,mlbb_news_9024.txt
鬥神歐茲尼克,人形系,40,6,24,15,40,,125,水5火5,攻擊、防禦,,,mlbb_news_9024.txt
酒仙歐茲那克,人形系,43,6,11,17,48,,125,火5風5,攻擊、防禦,,,mlbb_news_9024.txt
羅剎歐茲那克,人形系,45,45,11,18,6,,125,火5風5,攻擊、防禦,,,mlbb_news_9024.txt
海賊王,人形系,33,52,12,22,6,,125,水5火5,攻擊、防禦,,,mlbb_news_9034.txt
繽紛水藍鼠,野獸系,32,6,13,24,50,,125,水10,攻擊、防禦,,,mlbb_news_9034.txt
地獄護衛犬,野獸系,40,41,15,17,12,,125,水8火2,攻擊、防禦,,,mlbb_news_9034.txt
熾炎神鳳,飛行系,40,4,11,20,50,,125,火5風5,攻擊、防禦,,,mlbb_news_9044.txt
彩鳳,飛行系,37,45,13,24,6,,125,地10,攻擊、防禦,,,mlbb_news_9044.txt
雛鳳,飛行系,37,6,13,24,45,,125,水10,攻擊、防禦,,,mlbb_news_9044.txt
赤鳳,飛行系,45,37,24,13,6,,125,火10,攻擊、防禦,,,mlbb_news_9044.txt
金鳳,飛行系,24,6,37,13,45,,125,風10,攻擊、防禦,,,mlbb_news_9044.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_9044.txt
毒龍骨,不死系,28,37,37,12,11,,125,水3火7,攻擊、防禦,,,mlbb_news_9084.txt
黃金龍骨,不死系,28,11,37,12,37,,125,火3風7,攻擊、防禦,,,mlbb_news_9084.txt
炎心真龍,不死系,32,47,14,22,10,,125,水5火5,攻擊、防禦,,,mlbb_news_9084.txt
冰霜巨龍,不死系,36,10,20,14,45,,125,火5風5,攻擊、防禦,,,mlbb_news_9084.txt
古代紅櫻長老,植物系,35,6,24,14,46,,125,水3火7,攻擊、防禦,,,mlbb_news_9134.txt
地鈴花妖,植物系,27,12,14,32,35,,120,風4地6,攻擊、防禦,,,mlbb_news_9134.txt
水鈴花妖,植物系,32,35,14,27,12,,120,地4水6,攻擊、防禦,,,mlbb_news_9134.txt
火鈴花妖,植物系,35,14,32,27,12,,120,水4火6,攻擊、防禦,,,mlbb_news_9134.txt
風鈴花妖,植物系,32,12,14,27,35,,120,火4風6,攻擊、防禦,,,mlbb_news_9134.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_9134.txt
橘子公主,植物系,37,6,16,22,44,,125,火6風4,攻擊、防禦,,,mlbb_news_9134.txt
冰原獨角獸,野獸系,31,47,13,26,8,,125,水10,攻擊、防禦,,,mlbb_news_9134.txt
聖晶獨角獸,飛行系,35,6,16,19,49,,125,地3水7,攻擊、防禦,,,mlbb_news_9134.txt
暴雪魔獸,金屬系,50,40,12,17,6,,125,水5火5,攻擊、防禦,,,mlbb_news_9134.txt
牛鬼,人形系,24,29,24,29,14,,120,地8水2,攻擊、防禦,,,mlbb_news_9144.txt
強襲牛鬼,人形系,28,50,21,20,6,,125,地8水2,攻擊、防禦,,,mlbb_news_9144.txt
寒冰牛頭怪,人形系,26,31,24,21,18,,120,水9火1,攻擊、防禦,,,mlbb_news_9144.txt
寒冰牛魔王,人形系,15,47,12,45,6,,125,水9火1,攻擊、防禦,,,mlbb_news_9144.txt
火焰牛頭怪,人形系,16,30,20,32,22,,120,火6風4,攻擊、防禦,,,mlbb_news_9144.txt
煉獄牛頭怪,人形系,41,6,16,19,43,,125,火6風4,攻擊、防禦,,,mlbb_news_9144.txt
烈風牛頭怪,人形系,24,33,20,19,24,,120,風10,攻擊、防禦,,,mlbb_news_9144.txt
烈風牛魔王,人形系,15,6,12,46,46,,125,風10,攻擊、防禦,,,mlbb_news_9144.txt
大地牛鬼領主,人形系,50,35,13,21,6,,125,地5水5,攻擊、防禦,,,mlbb_news_9144.txt
寒冰牛鬼領主,人形系,34,52,13,20,6,,125,水5火5,攻擊、防禦,,,mlbb_news_9144.txt
火焰牛鬼領主,人形系,14,6,12,48,45,,125,火5風5,攻擊、防禦,,,mlbb_news_9144.txt
烈風牛鬼領主,人形系,37,6,12,20,50,,125,風5地5,攻擊、防禦,,,mlbb_news_9144.txt
飛刃螳螂,昆蟲系,31,49,15,18,12,,125,地8風2,攻擊、防禦,,,mlbb_news_9174.txt
冥界騎士,金屬系,33,48,15,21,8,,125,風10,攻擊、防禦,,,mlbb_news_9184.txt
玫瑰毒怪,特殊系,39,43,15,20,8,,125,地10,攻擊、防禦,,,mlbb_news_9184.txt
冥府之主,金屬系,36,6,20,16,47,,125,火5風5,攻擊、防禦,,,mlbb_news_9184.txt
魔弓巴克達,人形系,28,48,19,24,6,,125,地6水4,攻擊、防禦,,,mlbb_news_9214.txt
魔界小惡魔,人形系,27,42,21,18,12,,120,地7水3,攻擊、防禦,,,mlbb_news_9214.txt
天界小惡魔,人形系,18,12,21,27,42,,120,水7火3,攻擊、防禦,,,mlbb_news_9214.txt
深淵小惡魔,人形系,27,12,18,21,42,,120,火7風3,攻擊、防禦,,,mlbb_news_9214.txt
地獄小惡魔,人形系,42,21,27,18,12,,120,風7地3,攻擊、防禦,,,mlbb_news_9214.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_9214.txt
太陽海豚,飛行系,41,6,20,15,43,,125,火4風6,攻擊、防禦,,,mlbb_news_9214.txt
天狼星,野獸系,22,39,15,33,16,,125,地10,攻擊、防禦,,,mlbb_news_9214.txt
地獄星,不死系,32,40,25,18,10,,125,水10,攻擊、防禦,,,mlbb_news_9214.txt
大天使,飛行系,37,14,23,12,34,,120,火5風5,攻擊、防禦,,,mlbb_news_9264.txt
光明天使,飛行系,46,40,14,19,6,,125,火5風5,攻擊、防禦,,,mlbb_news_9264.txt
閃光地雷,金屬系,34,10,24,12,45,,125,地1水9,攻擊、防禦,,,mlbb_news_9294.txt
機甲G1型,金屬系,40,22,18,35,10,,125,地8水2,攻擊、防禦,,,mlbb_news_9294.txt
赤甲黃尾龍,金屬系,17,15,32,26,33,,123,水2火8,攻擊、防禦,,,mlbb_news_9294.txt
閃光機甲AEX,金屬系,41,6,16,16,46,,125,水6火4,攻擊、防禦,,,mlbb_news_9294.txt
機甲C2型,金屬系,35,40,22,18,10,,125,風8地2,攻擊、、防禦,,,mlbb_news_9294.txt
土甲龍,金屬系,32,15,26,17,33,,123,風2地8,攻擊、防禦,,,mlbb_news_9294.txt
斯巴達戰神,人形系,44,40,23,10,8,,125,火10,攻擊、防禦,,,mlbb_news_9324.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_9324.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_9324.txt
強襲地雷,金屬系,34,45,24,12,10,,125,火1風9,攻擊、防禦,,,mlbb_news_9444.txt
水殼龍,金屬系,32,26,33,17,15,,123,地2水8,攻擊、防禦,,,mlbb_news_9444.txt
強襲機甲LMX,金屬系,50,39,16,14,6,,125,風10,攻擊、防禦,,,mlbb_news_9444.txt
古代緋櫻長老,植物系,28,6,17,27,47,,125,火3風7,攻擊、防禦,,,mlbb_news_9454.txt
地鈴花妖,植物系,27,12,14,32,35,,120,風4地6,攻擊、防禦,,,mlbb_news_9454.txt
水鈴花妖,植物系,32,35,14,27,12,,120,地4水6,攻擊、防禦,,,mlbb_news_9454.txt
火鈴花妖,植物系,35,14,32,27,12,,120,水4火6,攻擊、防禦,,,mlbb_news_9454.txt
風鈴花妖,植物系,32,12,14,27,35,,120,火4風6,攻擊、防禦,,,mlbb_news_9454.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_9454.txt
一尾狐,野獸系,22,22,22,22,22,,110,風10,攻擊、防禦,,,mlbb_news_9464.txt
雷霆之怒,金屬系,27,37,25,16,15,,120,地6水4,攻擊、防禦,,,mlbb_news_9464.txt
翼龍,龍系,32,30,26,19,18,,125,水5火5,攻擊、防禦,,,mlbb_news_9464.txt
神聖翼龍,龍系,16,6,14,43,46,,125,水5火5,攻擊、防禦,,,mlbb_news_9464.txt
神聖巨龍,龍系,45,6,14,15,45,,125,水5火5,攻擊、防禦,,,mlbb_news_9464.txt
冰精靈,特殊系,43,45,12,19,6,,125,水10,攻擊、防禦,,,mlbb_news_9464.txt
海洋元素使,特殊系,50,50,4,17,4,,125,水10,攻擊、防禦,,,mlbb_news_9464.txt
裁岩劍,金屬系,29,40,30,14,10,,123,地9水1,攻擊、防禦,,,mlbb_news_9524.txt
霧雨劍,金屬系,29,40,14,30,10,,123,水9火1,攻擊、防禦,,,mlbb_news_9524.txt
赤炎劍,金屬系,29,30,10,14,40,,123,火9風1,攻擊、防禦,,,mlbb_news_9524.txt
疾風劍,金屬系,29,10,14,30,40,,123,風9地1,攻擊、防禦,,,mlbb_news_9524.txt
魔劍,金屬系,30,49,13,27,6,,125,火5風5,攻擊、防禦,,,mlbb_news_9524.txt
勝利女神,人形系,34,6,16,24,45,,125,地2風8,攻擊、防禦,,,mlbb_news_9544.txt
機甲R8型,金屬系,40,35,18,22,10,,125,火8風2,攻擊、防禦,,,mlbb_news_9544.txt
多刺甲龍,金屬系,38,40,21,14,12,,120,水10,攻擊、防禦,,,mlbb_news_9544.txt
破曉之刃,金屬系,27,16,25,15,37,,120,火4風6,攻擊、防禦,,,mlbb_news_9564.txt
地寶石精靈,飛行系,17,42,12,12,42,,125,地10,攻擊、防禦,,,mlbb_news_9564.txt
水寶石精靈,飛行系,42,12,12,17,42,,125,水10,攻擊、防禦,,,mlbb_news_9564.txt
火寶石精靈,飛行系,17,12,42,12,42,,125,火10,攻擊、防禦,,,mlbb_news_9564.txt
風寶石精靈,飛行系,17,12,12,42,42,,125,風10,攻擊、防禦,,,mlbb_news_9564.txt
精靈女皇,飛行系,40,6,14,17,48,,125,風6地4,攻擊、防禦,,,mlbb_news_9564.txt
隕星之刃,金屬系,40,30,29,14,10,,123,風1地9,攻擊、防禦,,,mlbb_news_9584.txt
冰霜之刃,金屬系,40,30,14,29,10,,123,地1水9,攻擊、防禦,,,mlbb_news_9584.txt
滅魔之刃,金屬系,40,10,29,14,30,,123,水1火9,攻擊、防禦,,,mlbb_news_9584.txt
碧空之刃,金屬系,10,40,14,19,40,,123,火1風9,攻擊、防禦,,,mlbb_news_9584.txt
聖劍,金屬系,37,6,13,20,49,,125,地5水5,攻擊、防禦,,,mlbb_news_9584.txt
古代白櫻長老,植物系,38,6,17,18,46,,125,地3水7,攻擊、防禦,,,mlbb_news_9594.txt
地鈴花妖,植物系,27,12,14,32,35,,120,風4地6,攻擊、防禦,,,mlbb_news_9594.txt
水鈴花妖,植物系,32,35,14,27,12,,120,地4水6,攻擊、防禦,,,mlbb_news_9594.txt
火鈴花妖,植物系,35,14,32,27,12,,120,水4火6,攻擊、防禦,,,mlbb_news_9594.txt
風鈴花妖,植物系,32,12,14,27,35,,120,火4風6,攻擊、防禦,,,mlbb_news_9594.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_9594.txt
蜜瓜小妖,植物系,32,12,16,21,39,,120,地6水4,攻擊、防禦,,,mlbb_news_9624.txt
機甲Z6型,金屬系,35,8,20,19,43,,125,風10,攻擊、防禦,,,mlbb_news_9624.txt
蜜瓜公主,植物系,35,6,18,21,45,,125,地6水4,攻擊、防禦,,,mlbb_news_9624.txt
夜魔,飛行系,30,44,19,26,6,,125,火5風5,攻擊、防禦,,,mlbb_news_9644.txt
達哈卡,龍系,29,35,24,13,19,,120,地6水4,攻擊、防禦,,,mlbb_news_9654.txt
九頭巨蛇,龍系,33,49,17,20,6,,125,地6水4,攻擊、防禦,,,mlbb_news_9654.txt
喪屍魔龍,不死系,42,29,32,8,14,,125,地6水4,攻擊、防禦,,,mlbb_news_9654.txt
奧林匹斯戰神,金屬系,45,31,29,12,8,,125,風10,攻擊、防禦,,,mlbb_news_9684.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_9684.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_9684.txt
百香小妖,植物系,30,12,27,13,38,,120,風6地4,攻擊、防禦,,,mlbb_news_9724.txt
百香公主,植物系,36,6,27,16,40,,125,風6地4,攻擊、防禦,,,mlbb_news_9724.txt
艷陽鼠王,野獸系,30,6,11,28,50,,125,火5風5,攻擊、防禦,,,mlbb_news_9724.txt
變異龍祖,龍系,26,46,13,33,7,,125,地5風5,攻擊、防禦,,,mlbb_news_9754.txt
粉紅炸彈,特殊系,18,11,16,30,48,,123,水5火5,攻擊、防禦,,,mlbb_news_9754.txt
暗裔龍祖,龍系,20,47,13,38,7,,125,地5風5,攻擊、防禦,,,mlbb_news_9754.txt
甜心炸彈,特殊系,15,8,18,34,50,,125,水5火5,攻擊、防禦,,,mlbb_news_9754.txt
反轉袋龍,龍系,27,8,14,30,46,,125,風5地5,攻擊、防禦,,,mlbb_news_9754.txt
暗裔龍王,龍系,26,50,15,28,6,,125,風5地5,攻擊、防禦,,,mlbb_news_9754.txt
古代巨櫻樹王,植物系,37,6,16,16,50,,125,風4地6,攻擊、防禦,,,mlbb_news_9754.txt
古代寒冰樹精,植物系,42,33,29,15,6,,125,地2水8,攻擊、防禦,,,mlbb_news_9754.txt
熾炎神鳳,飛行系,40,4,11,20,50,,125,火5風5,攻擊、防禦,,,mlbb_news_9764.txt
彩鳳,飛行系,37,45,13,24,6,,125,地10,攻擊、防禦,,,mlbb_news_9764.txt
雛鳳,飛行系,37,6,13,24,45,,125,水10,攻擊、防禦,,,mlbb_news_9764.txt
赤鳳,飛行系,45,37,24,13,6,,125,火10,攻擊、防禦,,,mlbb_news_9764.txt
金鳳,飛行系,24,6,37,13,45,,125,風10,攻擊、防禦,,,mlbb_news_9764.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_9764.txt
小魚仙,飛行系,27,6,19,31,42,,125,風4地6,攻擊、防禦,,,mlbb_news_9834.txt
晴天娃娃水母,飛行系,36,9,23,13,42,,123,地9水1,攻擊、防禦,,,mlbb_news_9834.txt
小雨娃娃水母,飛行系,35,9,23,12,44,,123,水9火1,攻擊、防禦,,,mlbb_news_9834.txt
大雪娃娃水母,飛行系,34,9,20,15,45,,123,火9風1,攻擊、防禦,,,mlbb_news_9834.txt
多雲娃娃水母,飛行系,34,9,21,16,43,,123,風9地1,攻擊、防禦,,,mlbb_news_9834.txt
水母霸王,飛行系,42,9,11,17,46,,125,風5地5,攻擊、防禦,,,mlbb_news_9834.txt
琴韻海妖,飛行系,31,6,19,23,46,,125,風5地5,攻擊、防禦,,,mlbb_news_9834.txt
雷暴娃娃水母,飛行系,47,6,11,46,15,,125,水5火5,攻擊、防禦,,,mlbb_news_9834.txt
阿魯巴斯,人形系,32,18,19,19,32,,120,火3風7,攻擊、防禦,,,mlbb_news_9844.txt
阿魯巴斯克隆體,人形系,35,52,13,19,6,,125,火3風7,攻擊、防禦,,,mlbb_news_9844.txt
暗醫阿魯巴斯,不死系,35,8,13,21,48,,125,火3風7,攻擊、防禦,,,mlbb_news_9844.txt
戰爭女神,飛行系,32,8,17,22,46,,125,水6火4,攻擊、防禦,,,mlbb_news_9864.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_9864.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_9864.txt
奧林匹斯戰神,金屬系,45,31,29,12,8,,125,風10,攻擊、防禦,,,mlbb_news_9864.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_9864.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_9864.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_9944.txt
巨錘魔偶,金屬系,30,42,22,23,8,,125,風4地6,攻擊、防禦,,,mlbb_news_9954.txt
百變雪怪,特殊系,28,8,24,25,40,,125,水10,攻擊、防禦,,,mlbb_news_9954.txt
神隱魔偶,金屬系,27,47,16,29,6,,125,風4地6,攻擊、防禦,,,mlbb_news_9954.txt
22週年水龍蜥,龍系,40,41,17,21,6,,125,水8火2,攻擊、防禦,,,mlbb_news_9994.txt
22週年黃蜂,昆蟲系,23,6,9,40,47,,125,火7風3,攻擊、防禦,,,mlbb_news_9994.txt
22週年螳螂,昆蟲系,29,50,15,23,8,,125,風4地6,攻擊、防禦,,,mlbb_news_9994.txt
布雷歐,飛行系,20,34,9,47,15,,125,水4火6,攻擊、防禦,,,mlbb_news_10084.txt
改造布雷歐,飛行系,29,6,16,26,48,,125,火10,攻擊、防禦,,,mlbb_news_10084.txt
紅翼奇美拉,飛行系,41,6,11,19,48,,125,水5火5,攻擊、防禦,,,mlbb_news_10084.txt
22週年鼠王,野獸系,31,6,14,24,50,,125,火6風4,攻擊、防禦,,,mlbb_news_10104.txt
22週年樹精,植物系,35,48,17,19,6,,125,水4火6,攻擊、防禦,,,mlbb_news_10104.txt
22週年液態史萊姆,特殊系,39,6,15,16,49,,125,地1水9,攻擊、防禦,,,mlbb_news_10104.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_10154.txt
散步花妖,植物系,32,10,18,19,46,,125,地9風1,攻擊、防禦,,,mlbb_news_10184.txt
星綠花妖王,植物系,32,6,19,22,46,,125,地6水4,攻擊、防禦,,,mlbb_news_10184.txt
雷霆神獸,野獸系,15,44,12,48,6,,125,風10,攻擊、防禦,,,mlbb_news_10184.txt
噬魂毒蟹,金屬系,31,6,20,20,48,,125,地6水4,攻擊、防禦,,,mlbb_news_10184.txt
魔法師之鬼,不死系,17,12,16,28,47,,120,地10,攻擊、防禦,,,mlbb_news_10194.txt
巫師之鬼,不死系,16,31,17,40,16,,120,風10,攻擊、防禦,,,mlbb_news_10194.txt
卡爾克,不死系,12,45,20,26,17,,120,水2火8,攻擊、防禦,,,mlbb_news_10194.txt
卡卡特,不死系,20,43,18,27,12,,120,地2水8,攻擊、防禦,,,mlbb_news_10194.txt
魔導師之魂,不死系,18,10,14,34,49,,125,地10,攻擊、防禦,,,mlbb_news_10194.txt
巫妖王之魂,不死系,26,31,14,44,10,,125,風10,攻擊、防禦,,,mlbb_news_10194.txt
血魔之棺,不死系,23,49,17,26,10,,125,水2火8,攻擊、防禦,,,mlbb_news_10194.txt
白銀之棺,不死系,33,10,16,21,45,,125,地2水8,攻擊、防禦,,,mlbb_news_10194.txt
德魯伊之鬼,不死系,16,12,23,22,47,,120,水10,攻擊、防禦,,,mlbb_news_10234.txt
幽紫妖靈,不死系,19,11,23,33,39,,125,水2火8,攻擊、防禦,,,mlbb_news_10234.txt
獅面女神,不死系,33,14,22,19,35,,123,地10,攻擊、防禦,,,mlbb_news_10234.txt
貓臉女神,不死系,42,37,12,18,14,,123,水10,攻擊、防禦,,,mlbb_news_10234.txt
貓隊長,不死系,35,42,17,19,10,,123,火10,攻擊、防禦,,,mlbb_news_10234.txt
惡夢貓,不死系,15,20,20,32,36,,123,風10,攻擊、防禦,,,mlbb_news_10234.txt
符能青鸞,飛行系,23,40,10,46,6,,125,地10,攻擊、防禦,,,mlbb_news_10234.txt
德魯伊之魂,不死系,28,10,18,22,47,,125,水10,攻擊、防禦,,,mlbb_news_10234.txt
幽紫魔靈,不死系,15,10,17,37,46,,125,水2火8,攻擊、防禦,,,mlbb_news_10234.txt
青鸞聖鳥,飛行系,21,40,10,48,6,,125,地10,攻擊、防禦,,,mlbb_news_10234.txt
地獄將軍,金屬系,32,18,19,19,32,,120,地7水3,攻擊、防禦,,,mlbb_news_10254.txt
猶大,金屬系,18,42,14,45,6,,125,地7水3,攻擊、防禦,,,mlbb_news_10254.txt
天啟者猶大,不死系,17,8,15,40,45,,125,地5水5,攻擊、防禦,,,mlbb_news_10254.txt
魔弓巴克達,人形系,28,48,19,24,6,,125,地6水4,攻擊、防禦,,,mlbb_news_10274.txt
魔界小惡魔,人形系,27,42,21,18,12,,120,地7水3,攻擊、防禦,,,mlbb_news_10274.txt
天界小惡魔,人形系,18,12,21,27,42,,120,水7火3,攻擊、防禦,,,mlbb_news_10274.txt
深淵小惡魔,人形系,27,12,18,21,42,,120,火7風3,攻擊、防禦,,,mlbb_news_10274.txt
地獄小惡魔,人形系,42,21,27,18,12,,120,風7地3,攻擊、防禦,,,mlbb_news_10274.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_10274.txt
戰爭女神,飛行系,32,8,17,22,46,,125,水6火4,攻擊、防禦,,,mlbb_news_10294.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_10294.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_10294.txt
吞焰妖蛇,飛行系,31,50,20,18,6,,125,水10,攻擊、防禦,,,mlbb_news_10324.txt
花仙子,植物系,33,6,13,26,47,,125,風5地5,攻擊、防禦,,,mlbb_news_10324.txt
木精靈,特殊系,45,6,19,12,43,,125,地10,攻擊、防禦,,,mlbb_news_10324.txt
大地元素使,特殊系,50,4,17,4,50,,125,地10,攻擊、防禦,,,mlbb_news_10324.txt
冰精靈,特殊系,43,45,12,19,6,,125,水10,攻擊、防禦,,,mlbb_news_10324.txt
海洋元素使,特殊系,50,50,4,17,4,,125,水10,攻擊、防禦,,,mlbb_news_10324.txt
炎精靈,特殊系,19,45,12,43,6,,125,火10,攻擊、防禦,,,mlbb_news_10324.txt
烈焰元素使,特殊系,17,50,4,50,4,,125,火10,攻擊、防禦,,,mlbb_news_10324.txt
