扭蛋機地點,物品名稱,機率,等級,耐久,屬性
盲盒,歐茲尼克娃娃,,5,150,攻擊+30反擊+10閃避+10
盲盒,歐茲那克娃娃,,5,150,攻擊+30必殺+10命中+10
盲盒,露比娃娃,,5,150,精神+15魔力+150魔攻+15
盲盒,火焰牛鬼娃娃,,5,150,魔力+100魔攻+20抗魔+20
盲盒,牛鬼娃娃,,5,150,攻擊+20防禦+20生命+200
盲盒,阿魯巴斯娃娃,,5,150,回復+30生命+350
盲盒,綠先生娃娃,,5,150,防禦+20回復+20魔抗+20生命+150
盲盒,海賊王娃娃,,,,抗毒+10抗昏睡+10抗石化+10抗酒醉+10抗混亂+10抗遺忘+10
盲盒,藍魔嚇人箱娃娃,,4,100,精神+20回復+20魔力+80
盲盒,純白嚇人箱娃娃,,6,200,防禦+75生命+220魔力+80抗魔+75
盲盒,大天使扭蛋娃娃,,,,回復+30 魔攻+60
盲盒,里雍扭蛋娃娃,,,,攻擊+200 精神-50
盲盒,里雍佩劍腰飾,,,,生命+200，魔力+200，閃避+8，大幅增加偷襲率
盲盒,翠綠菇扭蛋娃娃,,,,精神+10，回復+10
盲盒,水藍菇扭蛋娃娃,,,,精神+10，抗魔+10
盲盒,粉紅菇扭蛋娃娃,,,,精神+10，防禦+10
盲盒,星菇扭蛋娃娃,,,,精神+10，生命+100
盲盒,史萊姆扭蛋娃娃,,,,回復+15，生命+50
盲盒,液態史萊姆扭蛋娃娃,,,,回復+15，防禦+5
盲盒,果凍史萊姆扭蛋娃娃,,,,回復+15，攻擊+5
盲盒,布丁史萊姆扭蛋娃娃,,,,回復+15，抗魔+5
盲盒,綠色口臭鬼扭蛋娃娃,,,,生命+160，防禦+6
盲盒,藍色口臭鬼扭蛋娃娃,,,,生命+160，攻擊+6
盲盒,紅色口臭鬼扭蛋娃娃,,,,生命+160，抗魔+6
盲盒,黃色口臭鬼扭蛋娃娃,,,,生命+160，魔攻+6
積分兌換,依代扭蛋娃娃,,,,生命+200，魔攻+15
積分兌換,金怪扭蛋娃娃,,,,生命+50，防禦+40
積分兌換,棉球扭蛋娃娃,,,,生命+50，魔力+70，防禦+10
