日期,類別,重點標記,開放內容說明,公告,解析寵物數,公告連結
2025-05-21,節慶／活動,,,《魔力寶貝：永恆初心》四週年活動最終彈 週年巡遊禮,17,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15324.html)
2025-05-21,活動／營運,,,5月22日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15314.html)
2025-05-19,賽事,,,PVP爭霸賽第14期抽抽樂限時特惠,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15304.html)
2025-05-16,活動／營運,,,5月16日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15284.html)
2025-05-14,地圖／任務,,,《魔力寶貝：永恆初心》四週年活動第三彈 王者道場試煉開啟,7,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15274.html)
2025-05-13,活動／營運,,,5月15日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15264.html)
2025-05-07,節慶／活動,,,《魔力寶貝：永恆初心》四週年活動第二彈火熱進行中,7,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15254.html)
2025-05-07,活動／營運,新任務,開放任務：寶箱獵人,5月8日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15244.html)
2025-05-04,寵物／秘寶,,,銀龍傳說再現 重塑世界法則,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15234.html)
2025-05-01,節慶／活動,地圖預告,首度曝光全新地圖「荒漠之地」,《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！,9,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15224.html)
2025-04-30,活動／營運,新任務,開放任務：混沌的宿命,5月1日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15214.html)
2025-04-29,賽事,,,關於取消PVP爭霸賽「獅子魚的榮耀」隊伍比賽資格的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15184.html)
2025-04-23,活動／營運,,,4月24日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15134.html)
2025-04-16,寵物／秘寶,,,穿越寒霧的絮語 來自空島的承諾,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15114.html)
2025-04-16,活動／營運,新任務,開放任務：星夜祭的承諾,4月17日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15104.html)
2025-04-09,活動／營運,,,4月10日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15064.html)
2025-04-07,賽事,,,PVP爭霸賽第14期正式開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15054.html)
2025-04-03,寵物／秘寶,,,無盡櫻海綻放 緋紅巨龍歸來,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15044.html)
2025-04-02,寵物／秘寶,,,來自千年的守望 闇影君王覺醒,7,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14974.html)
2025-04-02,活動／營運,新任務,開放混沌雙子 主線任務：闇影君王,4月3日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14964.html)
2025-03-26,活動／營運,,,3月27日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14954.html)
2025-03-19,職業／系統,,,關於延期開放遊戲視窗上限的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14944.html)
2025-03-19,寵物／秘寶,,,軍團挑戰召集令 每日轉盤天天抽,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14934.html)
2025-03-19,活動／營運,,,3月20日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14924.html)
2025-03-16,節慶／活動,,,關於第13期抽抽樂獲取的聖誕水藍鼠異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14914.html)
2025-03-13,賽事,,,PVP爭霸賽第13期抽抽樂限時特惠,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14904.html)
2025-03-08,活動／營運,,,3月13日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14894.html)
2025-03-06,職業／系統,,,關於調整技能「嘲諷」的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14874.html)
2025-03-06,賽事,,,任務爭霸賽第24季開啟,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14864.html)
2025-03-06,寵物／秘寶,,,墜入黑暗的光芒 神女千夜降臨,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14854.html)
2025-03-05,活動／營運,,,3月6日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14844.html)
2025-03-03,寵物／秘寶,,,魔豬重生轉世 八戒覺醒降世,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14824.html)
2025-03-03,活動／營運,,,3月3日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14814.html)
2025-02-26,活動／營運,,,2月27日不維護停機公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14804.html)
2025-02-20,職業／系統,,,第八軍團長選拔試煉 全新寵物跟隨系統勁爆登場,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14794.html)
2025-02-19,活動／營運,新任務,開放任務：軍團試煉,2月20日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14784.html)
2025-02-13,活動／營運,,,大臣選舉戰況更新！目前領先的是……？,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14774.html)
2025-02-13,職業／系統,,,新增網頁角色銀行可存取道具的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14764.html)
2025-02-12,活動／營運,,,2月13日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14754.html)
2025-02-10,賽事,,,PVP爭霸賽第13期正式開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14744.html)
2025-02-06,寵物／秘寶,,,今宵共賞月 愛鼠來相伴,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14704.html)
2025-02-05,活動／營運,,,2月6日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14684.html)
2025-02-02,賽事,,,PVP爭霸賽第13期預告,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14674.html)
2025-01-28,寵物／秘寶,,,宿命的交織 八岐大蛇降臨,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14664.html)
2025-01-24,活動／營運,,,1月24日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14634.html)
2025-01-22,節慶／活動,,,喜迎新年集靈珠 回歸豪禮大放送,22,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14624.html)
2025-01-22,活動／營運,,,1月23日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14614.html)
2025-01-15,賽事,,,冠軍寵物強勢來襲 鼠王家族限時返場,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14544.html)
2025-01-15,活動／營運,,,1月16日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14534.html)
2025-01-08,活動／營運,,,1月9日不維護停機公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14524.html)
2025-01-03,職業／系統,,,關於黃金泰坦技能異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14504.html)
2025-01-02,寵物／秘寶,,,遠古巨人之謎 泰坦寵物裝備強勢來襲,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14494.html)
2025-01-01,賽事,,,任務爭霸賽第23季開啟,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14484.html)
2025-01-01,寵物／秘寶,,,遠古傳承的交織 賽格梅特之魂,14,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2024-12-31,活動／營運,,,1月1日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14464.html)
2024-12-25,活動／營運,,,12月26日不停機維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14454.html)
2024-12-19,活動／營運,,,關於12月19日延遲開服的補償公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14444.html)
2024-12-19,節慶／活動,,,冰雪獵魔人降臨 點亮法蘭聖誕之夜,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14434.html)
2024-12-18,活動／營運,限時任務,開放限時任務：營救聖誕老人；開放限時任務：聖誕驚喜樹,12月19日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14414.html)
2024-12-11,活動／營運,,,12月12日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14374.html)
2024-12-09,寵物／秘寶,,,喚醒最純潔的光輝 潘妮與你來相會,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14364.html)
2024-12-08,賽事,,,關於PVP爭霸賽第12期小組賽第二輪重賽的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14354.html)
2024-12-05,節慶／活動,,,惡龍大亂鬥 拯救聖誕火雞,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14344.html)
2024-12-04,活動／營運,限時任務,開放限時任務：失蹤的火雞活動,12月5日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14334.html)
2024-12-02,賽事,,,PVP爭霸賽第12期正式開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14304.html)
2024-11-27,活動／營運,,,11月28日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14294.html)
2024-11-26,賽事,,,PVP爭霸賽第十一期抽抽樂限時特惠,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14284.html)
2024-11-25,賽事,,,PVP爭霸賽第12期預告,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14274.html)
2024-11-22,職業／系統,,,關於岩帝龍骨技能顯示異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14264.html)
2024-11-22,節慶／活動,,,惡魔龍骨狂舞 感恩節大挑戰,12,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html)
2024-11-20,活動／營運,限時任務,開放限時任務：感恩節活動,11月22日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14244.html)
2024-11-14,活動／營運,,,11月14日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14234.html)
2024-11-14,地圖／任務,新地圖,開放地圖：森達爾村莊,開放森達爾村莊 納卡斯之影,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14224.html)
2024-11-13,活動／營運,新任務,開放任務：納卡斯之影,11月14日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14214.html)
2024-11-11,寵物／秘寶,,,撒旦重生 深淵的邪靈召喚,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14184.html)
2024-11-08,賽事,,,任務爭霸賽第22季開啟,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14174.html)
2024-11-08,寵物／秘寶,,,勇者小戰場 集結戰BOSS,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14164.html)
2024-11-06,活動／營運,,,11月8日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14154.html)
2024-10-24,寵物／秘寶,,,午夜狂歡 萬鬼夜行,9,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14144.html)
2024-10-23,活動／營運,,,10月24日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14124.html)
2024-10-16,職業／系統,,,網頁角色銀行火熱開啟,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14114.html)
2024-10-16,職業／系統,,,烏嚕的情感大作戰 網頁角色銀行開啟,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14104.html)
2024-10-16,活動／營運,,,10月17日不維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14094.html)
2024-10-10,寵物／秘寶,,,夢魘降臨 解秘惡魔的呢喃,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14084.html)
2024-10-09,寵物／秘寶,,,吹雪的巫女 激鬥魔晶巨龍,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14074.html)
2024-10-09,活動／營運,,,10月10日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14054.html)
2024-10-02,活動／營運,,,10月3日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14044.html)
2024-10-01,賽事,,,PVP爭霸賽第11期重新開放報名的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14034.html)
2024-09-29,賽事,,,PVP爭霸賽第11期正式開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14024.html)
2024-09-27,賽事,,,PVP爭霸賽第11期預告,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14014.html)
2024-09-26,賽事,,,PVP爭霸賽第十期抽抽樂限時特惠,18,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14004.html)
2024-09-26,地圖／任務,,,海底拯救之路 戰慄的魚人宮,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13994.html)
2024-09-25,活動／營運,新任務,開放海底世界主線任務：戰慄的魚人宮,9月26日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13984.html)
2024-09-19,活動／營運,,,9月19日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13964.html)
2024-09-12,活動／營運,,,關於NPC特級靈石製作製作師異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13954.html)
2024-09-12,賽事,,,任務爭霸賽第21季開啟,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13944.html)
2024-09-12,地圖／任務,,,中秋月下會嫦娥 月宮奇遇結仙緣,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13934.html)
2024-09-11,活動／營運,限時任務,開放限時任務：中秋節活動,9月12日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13914.html)
2024-09-06,寵物／秘寶,,,召喚風暴軍團 掌控疾風之力,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13904.html)
2024-09-04,活動／營運,,,9月5日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13894.html)
2024-08-29,地圖／任務,,,麗夏村的騷亂 隱密的魅影惡魔,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13884.html)
2024-08-28,活動／營運,新任務,開放主線任務：騷亂魅影,8月29日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13824.html)
2024-08-22,賽事,,,PVP爭霸賽第九期限時抽抽樂,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13814.html)
2024-08-21,活動／營運,新地圖,開放地圖：麗夏村,8月29日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13794.html)
2024-08-15,寵物／秘寶,,,中元節驚悚來襲 魔女妮可的低語,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13784.html)
2024-08-14,活動／營運,新任務,開放任務：迷亂之鄉,8月15日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13764.html)
2024-08-08,寵物／秘寶,,,關於魔力盲盒（26）的概率公告,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13754.html)
2024-08-08,節慶／活動,,,《魔力寶貝》23週年慶最終彈,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13744.html)
2024-08-07,活動／營運,,,8月8日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13734.html)
2024-08-05,賽事,,,PVP爭霸賽第10期正式開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13714.html)
2024-08-02,活動／營運,,,8月2日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13704.html)
2024-07-31,賽事,,,任務爭霸賽第20季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13694.html)
2024-07-31,節慶／活動,,,23週年慶第二彈火熱進行中,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13684.html)
2024-07-31,活動／營運,,,8月1日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13674.html)
2024-07-24,活動／營運,,,7月25日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13664.html)
2024-07-19,賽事,,,PVP爭霸賽第10期開啟預告,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13634.html)
2024-07-17,節慶／活動,,,魔力寶貝23週年慶第一彈正式開啟,11,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
2024-07-17,活動／營運,,,7月18日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13614.html)
2024-07-10,活動／營運,,,7月18日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13574.html)
2024-07-05,寵物／秘寶,,,改造藝術的巔峰 黑暗奇美拉登場,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13544.html)
2024-07-03,寵物／秘寶,,,海洋寵物派對 夏日探險奇遇,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13524.html)
2024-07-03,活動／營運,,,7月4日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13514.html)
2024-07-01,職業／系統,,,星圖第四季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13494.html)
2024-06-27,賽事,,,任務爭霸賽第19季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13464.html)
2024-06-26,活動／營運,,,6月27日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13454.html)
2024-06-23,賽事,,,關於PVP爭霸賽半決賽的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13424.html)
2024-06-21,地圖／任務,,,關於每日大轉盤部分任務道具無法完成的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13414.html)
2024-06-19,地圖／任務,,,玩轉小任務 轉盤樂翻天,7,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13394.html)
2024-06-19,活動／營運,,,6月20日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13384.html)
2024-06-12,賽事,,,關於PVP爭霸賽G組部分隊伍重賽的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13334.html)
2024-06-12,活動／營運,,,6月13日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13314.html)
2024-06-12,寵物／秘寶,,,關於寵物牛頭狂戰士攻擊異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13304.html)
2024-06-07,節慶／活動,,,關於端午節禮包NPC異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13284.html)
2024-06-06,寵物／秘寶,,,歸來的王者 煉獄軍團長登場,10,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html)
2024-06-06,節慶／活動,,,端午登祖山 喜贏賽龍舟,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13254.html)
2024-06-05,活動／營運,,,關於戰鬥異常閃退的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13244.html)
2024-06-05,活動／營運,,,6月6日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13234.html)
2024-06-04,寵物／秘寶,,,關於寵物守護天使被異常獲取的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13204.html)
2024-06-04,活動／營運,,,6月4日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13194.html)
2024-06-03,賽事,,,PVP爭霸賽第九期正式開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13184.html)
2024-05-30,賽事,,,任務爭霸賽第18季開啟,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13164.html)
2024-05-29,活動／營運,,,5月30日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13154.html)
2024-05-27,賽事,,,PVP爭霸賽第九期開啟預告,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13144.html)
2024-05-23,節慶／活動,,,《魔力寶貝：永恆初心》三週年活動最終彈,10,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13104.html)
2024-05-22,活動／營運,新任務、限時任務,開放傳說之劍任務：月之勇者；開放限時任務：寵物島之旅活動,5月23日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13074.html)
2024-05-16,活動／營運,,,關於活動卡牌魔法屋進入異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13034.html)
2024-05-16,節慶／活動,,,《魔力寶貝：永恆初心》三週年活動第三彈,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13014.html)
2024-05-15,活動／營運,限時任務,開放限時任務：卡牌魔法屋,5月16日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13004.html)
2024-05-11,節慶／活動,,,關於三週年第一彈10連抽點券返還的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12964.html)
2024-05-09,活動／營運,,,關於站內信禮包發放異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12944.html)
2024-05-09,節慶／活動,,,《魔力寶貝：永恆初心》三週年活動第二彈,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12934.html)
2024-05-08,活動／營運,限時任務,開放限時任務：週年蛋糕派送活動,5月9日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12914.html)
2024-05-05,寵物／秘寶,,,森羅萬象的歸宿 與龍族的奇遇,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12884.html)
2024-05-02,節慶／活動,,,《魔力寶貝：永恆初心》三週年活動盛大開啟,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12864.html)
2024-05-01,活動／營運,新任務,開放任務：地獄之眼,5月2日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12854.html)
2024-04-24,活動／營運,,,4月25日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12724.html)
2024-04-21,賽事,,,關於比賽服開賽時間的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12674.html)
2024-04-20,賽事,,,關於比賽服對戰異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12644.html)
2024-04-20,賽事,,,關於比賽服登錄異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12624.html)
2024-04-19,活動／營運,,,勇者訂製！共建新規！打造勇者們心中的魔力寶貝！,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12584.html)
2024-04-18,寵物／秘寶,,,墮落的魔王 暗黑大公雞,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12564.html)
2024-04-17,活動／營運,新任務,開放任務：墮落的暗靈,4月18日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12534.html)
2024-04-10,活動／營運,,,4月11日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12314.html)
2024-04-06,賽事,,,關於4月6日PVP爭霸賽小組賽延遲的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12234.html)
2024-04-04,活動／營運,,,關於生命藥水（1000）收納袋異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12204.html)
2024-04-04,活動／營運,,,關於魔力盲盒（22）的概率公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12194.html)
2024-04-04,寵物／秘寶,,,古代沙漠傳說 埃及三頭龍復生,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12184.html)
2024-04-03,寵物／秘寶,,,智鬥魔法牌 勇奪不死大獎,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12174.html)
2024-04-03,活動／營運,,,4月4日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12134.html)
2024-04-01,賽事,,,PVP爭霸賽第八期正式開啟,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12084.html)
2024-04-01,職業／系統,,,星圖第三季開啟,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12074.html)
2024-03-28,賽事,,,任務爭霸賽第16季開啟,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12044.html)
2024-03-27,活動／營運,,,3月28日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12024.html)
2024-03-26,活動／營運,,,關於裂口食人花捕捉異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12014.html)
2024-03-26,賽事,,,PVP爭霸賽第八期開啟預告,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12004.html)
2024-03-21,地圖／任務,新地圖,推出新大陸相關任務：櫻花樹精綁架事件,開拓新大陸 櫻花樹精綁架事件,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11964.html)
2024-03-20,活動／營運,新任務,開放主線任務：櫻花樹之淚,3月21日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11954.html)
2024-03-13,賽事,,,PVP爭霸賽第七期限時抽抽樂,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11844.html)
2024-03-13,活動／營運,,,3月14日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11834.html)
2024-03-07,寵物／秘寶,,,決鬥絕望之森 掌控雷霆的魔王,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11824.html)
2024-03-06,活動／營運,新任務,開放任務：雷鳴之森,3月7日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11814.html)
2024-03-01,寵物／秘寶,,,引領正義的使命 貝尼恰斯教團,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11804.html)
