技能,適用,分類,最高等級,備註,簡介,學習資訊,價格
強力火焰魔法,寵物,寵物魔法技能,9,,,,
強力風刃魔法,寵物,寵物魔法技能,9,,,,
毒性攻擊,寵物,狀態攻擊技能,5,,以30%的機率讓敵單體中毒2次行動。,,
昏睡攻擊,寵物,狀態攻擊技能,5,,以30%的機率讓敵單體昏睡2次行動。,,
石化攻擊,寵物,狀態攻擊技能,5,,以30%的機率讓敵單體石化2次行動。,,
酒醉攻擊,寵物,狀態攻擊技能,5,,以30%的機率讓敵單體酒醉2次行動。,,
混亂攻擊,寵物,狀態攻擊技能,5,,,,
遺忘攻擊,寵物,狀態攻擊技能,5,,以30%的機率讓敵單體遺忘2次行動。,,
吸血攻擊,寵物,狀態攻擊技能,5,,,,
即死魔法,寵物,寵物狀態變化魔法,1,,LV1成功率10%，無法對BOSS使用。,,
抗毒性,寵物,狀態抵抗技能,5,,降低中毒的機率。,,
抗昏睡,寵物,狀態抵抗技能,5,,降低昏睡的機率。,,
抗石化,寵物,狀態抵抗技能,5,,降低石化的機率。,,
抗酒醉,寵物,狀態抵抗技能,5,,降低酒醉的機率。,,
抗混亂,寵物,狀態抵抗技能,5,,降低混亂的機率。,,
抗遺忘,寵物,狀態抵抗技能,5,,降低遺忘的機率。,,
