扭蛋機地點,物品名稱,機率,等級,耐久,屬性
"普通扭蛋機：雷克塔爾鎮(77,79)",石像怪扭蛋娃娃,7%,3,80,抗遺忘5抗石化5
"普通扭蛋機：雷克塔爾鎮(77,79)",棉球扭蛋娃娃,7%,3,80,防禦10生命50魔力70
"普通扭蛋機：雷克塔爾鎮(77,79)",豬鬼扭蛋娃娃,18%,3,80,防禦10回復5生命50
"普通扭蛋機：雷克塔爾鎮(77,79)",岩地跑者扭蛋娃娃,18%,3,80,防禦10敏捷10
"普通扭蛋機：雷克塔爾鎮(77,79)",迷你龍扭蛋娃娃,18%,3,80,閃躲5生命100
"普通扭蛋機：雷克塔爾鎮(77,79)",狂奔鳥扭蛋娃娃,18%,3,80,敏捷10回復10
"特殊扭蛋機：戰鬥系3階(27,11)",海盜骷髏扭蛋娃娃,4%,4,100,防禦50抗石化10
"特殊扭蛋機：戰鬥系3階(27,11)",利牙扭蛋娃娃,16%,3,80,生命50抗酒醉5
"特殊扭蛋機：戰鬥系3階(27,11)",巨牙扭蛋娃娃,16%,3,80,生命50抗遺忘5
"特殊扭蛋機：戰鬥系3階(27,11)",顎牙扭蛋娃娃,16%,3,80,生命50抗昏睡5
"特殊扭蛋機：戰鬥系3階(27,11)",骷髏戰士扭蛋娃娃,16%,3,80,防禦10抗毒5
"特殊扭蛋機：戰鬥系3階(27,11) 1",地獄骷髏扭蛋娃娃,16%,3,80,防禦10抗遺忘5
"特殊扭蛋機：戰鬥系3階(27,11)",武裝骷髏扭蛋娃娃,16%,3,80,防禦10抗酒醉5
"特殊扭蛋機：生產系3階(6,2)",狐妖扭蛋娃娃,4%,4,100,敏捷20魔攻20
"特殊扭蛋機：生產系3階(6,2)",貓妖扭蛋娃娃,16%,3,80,防禦5敏捷15
"特殊扭蛋機：生產系3階(6,2)",羅剎扭蛋娃娃,16%,3,80,敏捷15抗魔5
"特殊扭蛋機：生產系3階(6,2)",貓人扭蛋娃娃,16%,3,80,敏捷15回復5
"特殊扭蛋機：生產系3階(6,2)",幽靈扭蛋娃娃,16%,,,
"特殊扭蛋機：生產系3階(6,2)",惡魔貓扭蛋娃娃,16%,3,80,生命50魔攻10
"特殊扭蛋機：生產系3階(6,2)",亡靈扭蛋娃娃,16%,3,80,防禦10魔攻10
