活動日期,公告日,活動／期別,合成公式,公告連結
2025-08-08～2025-09-09,2025-08-07,血染千魂妖刀 白焰的救贖對決,Lv1的鬼眼村正 ＋ 噬主之魄×3 ＝ / ├ Lv1的白焰（概率5%） / └ Lv1的鬼眼村正（概率95%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15704.html)
2025-08-08～2025-09-09,2025-08-07,血染千魂妖刀 白焰的救贖對決,Lv1的白焰 ＋ 噬主之魄×3 ＝ Lv1的白焰,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15704.html)
2025-08-08～2025-09-09,2025-08-07,血染千魂妖刀 白焰的救贖對決,Lv1的妖刀 ＋ 噬主之魄×3 ＝ / ├ Lv1的白焰（概率5%） / └ Lv1的鬼眼村正（概率95%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15704.html)
2025-06-06～2025-07-07,2025-06-06,命運雙子 共譜星辰之路,Lv1的流星 ＋ 雙子晶核×1 ＝ Lv1的流星,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15384.html)
2025-06-06～2025-07-07,2025-06-06,命運雙子 共譜星辰之路,Lv1的星雲 ＋ 雙子晶核×1 ＝ Lv1的星雲,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15384.html)
2025-05-15～2025-05-22,2025-05-14,《魔力寶貝：永恆初心》四週年活動第三彈 王者道場試煉開啟,"任意等級的的大地元素使 ＋ 地元素之卵×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的大地元素使（概率95%） / └ Lv1的地之使徒（概率5%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15274.html)
2025-05-08～2025-05-15（公告原文末年為 2024）,2025-05-07,《魔力寶貝：永恆初心》四週年活動第二彈火熱進行中,鈦白嚇人箱 ＋ 改造鈦白嚇人箱設計圖ABCDE ＝ 改造鈦白嚇人箱,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15254.html)
2025-05-08～2025-05-15（公告原文末年為 2024）,2025-05-07,《魔力寶貝：永恆初心》四週年活動第二彈火熱進行中,"改造鈦白嚇人箱 ＋ 白雪設計圖ABCDE ＋ 金幣1,000,000G ＝ 白雪",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15254.html)
2025-05-05～2025-06-06,2025-05-04,銀龍傳說再現 重塑世界法則,Lv1的裁決白龍王 ＋ 龍脈光能寶石×1 ＝ Lv1的裁決白龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15234.html)
2025-05-05～2025-06-06,2025-05-04,銀龍傳說再現 重塑世界法則,Lv1的神聖白龍王 ＋ 龍脈光能寶石×1 ＝ Lv1的神聖白龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15234.html)
2025-05-01～2025-05-29,2025-05-01,《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！,小紅鼠 ＋ 奈斯紅米×1 ＝ 火焰倉鼠,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15224.html)
2025-05-01～2025-05-29,2025-05-01,《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！,小白鼠或小紅鼠 ＋ 奈斯橙米×1 ＝ 胖寶倉鼠,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15224.html)
2025-05-01～2025-05-29,2025-05-01,《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！,小白鼠 ＋ 奈斯白米×1 ＝ 雪地倉鼠,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15224.html)
2025-04-04～2025-05-05,2025-04-03,無盡櫻海綻放 緋紅巨龍歸來,Lv1的緋紅巨龍 ＋ 灼炎龍心玉×1 ＝ Lv1的緋紅巨龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15044.html)
未載明（公告日 2025-02-06）,2025-02-06,今宵共賞月 愛鼠來相伴,丘比特 ＋ 愛神丘比特設計圖A×1 ＋ 愛神丘比特設計圖B×1 ＋ 愛神丘比特設計圖C×1 ＋ 愛神丘比特設計圖D×1 ＋ 愛神丘比特設計圖E×1 ＝ 愛神丘比特,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14704.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,Lv40以上的新生賽格梅特 ＋ 女皇長槍×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1騎士賽格梅特,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,Lv40以上的新生賽格梅特 ＋ 女皇長劍×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1劍士賽格梅特,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,Lv40以上的新生賽格梅特 ＋ 女皇護腕×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1格鬥家賽格梅特,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,Lv40以上的新生賽格梅特 ＋ 女皇獵弓×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1弓箭手賽格梅特,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,Lv40以上的新生賽格梅特 ＋ 女皇戰斧×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1戰斧賽格梅特,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,Lv40以上的新生賽格梅特 ＋ 女皇咒鈴×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1咒師賽格梅特,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,任意等級的騎士賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1聖咒賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,任意等級的格鬥家賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1聖鬥賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,任意等級的戰斧賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1的聖斧賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,任意等級的弓箭手賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1聖弓賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,任意等級的咒師賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1聖騎賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01～2025-02-02,2025-01-01,遠古傳承的交織 賽格梅特之魂,任意等級的劍士賽格梅特 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1聖劍賽格梅特（概率95%） / └ Lv1的女皇賽格梅特（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
未載明（公告日 2024-11-22）,2024-11-22,惡魔龍骨狂舞 感恩節大挑戰,"Lv1幼年聖金龍骨 ＋ 聖金魔紋基因×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ 聖金龍骨",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html)
未載明（公告日 2024-11-22）,2024-11-22,惡魔龍骨狂舞 感恩節大挑戰,"Lv1幼年岩帝龍骨 ＋ 岩帝魔紋基因×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ 岩帝龍骨",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html)
未載明（公告日 2024-11-22）,2024-11-22,惡魔龍骨狂舞 感恩節大挑戰,Lv1仙靈 ＋ 變異之源×3 ＋ 逐月石×10 ＋ 精靈王契約×100 ＝ 逐月仙靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html)
未載明（公告日 2024-11-22）,2024-11-22,惡魔龍骨狂舞 感恩節大挑戰,Lv1仙靈 ＋ 變異之源×3 ＋ 星輝石×10 ＋ 精靈王契約×100 ＝ 星輝仙靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html)
2024-10-24～2024-11-07,2024-10-24,午夜狂歡 萬鬼夜行,任意等級的鐮刀魔 ＋ 鐮刀魔設計圖ABCDE×1 ＝ Lv1改造鐮刀魔,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14144.html)
2024-10-24～2024-11-07,2024-10-24,午夜狂歡 萬鬼夜行,任意等級的暗黑僧侶 ＋ 暗黑僧侶設計圖ABCDE×1 ＝ Lv1改造暗黑僧侶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14144.html)
2024-10-24～2024-11-07,2024-10-24,午夜狂歡 萬鬼夜行,任意等級的斬首者 ＋ 斬首者設計圖ABCDE×1 ＝ Lv1改造斬首者,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14144.html)
2024-10-24～2024-11-07,2024-10-24,午夜狂歡 萬鬼夜行,任意等級的冥界死神 ＋ 冥界死神設計圖ABCDE×1 ＝ Lv1改造冥界死神,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14144.html)
2024-10-10～2024-10-17,2024-10-10,夢魘降臨 解秘惡魔的呢喃,"Lv1的夢之惡魔 ＋ 惡魔之力×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的夢之惡魔（概率95%） / └ Lv1的惡魔女帝（概率5%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14084.html)
2024-09-12～2024-09-26,2024-09-12,中秋月下會嫦娥 月宮奇遇結仙緣,"Lv100以上的黃金樹精 ＋ 變異之源×3 ＋ 黃金樹根×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ Lv1黃金樹靈",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13934.html)
2024-09-09～2024-10-10,2024-09-06,召喚風暴軍團 掌控疾風之力,Lv1的兵長馬里諾 ＋ 風暴魂晶×188 ＝ / ├ Lv1的風暴軍團長武魂（概率5%） / ├ Lv1的風暴軍團長魔魂（概率5%） / └ Lv1的兵長馬里諾（概率90%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13904.html)
未載明（公告日 2024-08-29）,2024-08-29,麗夏村的騷亂 隱密的魅影惡魔,"Lv1的魅之惡魔 ＋ 惡魔之力×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的魅之惡魔（概率95%） / └ Lv1的惡魔女帝（概率5%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13884.html)
2024-08-15～2024-08-29,2024-08-15,中元節驚悚來襲 魔女妮可的低語,"Lv1的死靈 ＋ 死靈精華×1 ＋ 變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的死靈（概率90%） / └ Lv1的魔道死靈（概率10%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13784.html)
2024-08-08～2024-09-09,2024-08-08,《魔力寶貝》23週年慶最終彈,Lv1的依格羅斯 ＋ 神聖之羽×188 ＝ / ├ Lv1的依格羅斯（概率90%） / ├ Lv1的神聖天使（概率5%） / └ Lv1的時雨天（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13744.html)
2024-07-18～2024-08-15,2024-07-17,魔力寶貝23週年慶第一彈正式開啟,Lv100以上的虛弱的雷霆詛咒者 ＋ 詛咒之鈴（雷）×1 ＋ 幽冥之火×50 ＝ Lv1雷霆詛咒者,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
2024-07-18～2024-08-15,2024-07-17,魔力寶貝23週年慶第一彈正式開啟,Lv100以上的虛弱的火焰詛咒者 ＋ 詛咒之鈴（火）×1 ＋ 幽冥之火×50 ＝ Lv1火焰詛咒者,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
2024-07-18～2024-08-15,2024-07-17,魔力寶貝23週年慶第一彈正式開啟,Lv100以上的虛弱的寒冰詛咒者 ＋ 詛咒之鈴（水）×1 ＋ 幽冥之火×50 ＝ Lv1寒冰詛咒者,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
2024-07-18～2024-08-15,2024-07-17,魔力寶貝23週年慶第一彈正式開啟,Lv100以上的虛弱的大地詛咒者 ＋ 詛咒之鈴（地）×1 ＋ 幽冥之火×50 ＝ Lv1大地詛咒者,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
2024-07-18～2024-08-01,2024-07-17,魔力寶貝23週年慶第一彈正式開啟,"Lv1的幻之惡魔 ＋ 惡魔之力×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的幻之惡魔（概率95%） / └ Lv1的惡魔女帝（概率5%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
未載明（公告日 2024-07-05）,2024-07-05,改造藝術的巔峰 黑暗奇美拉登場,Lv1的阿魯巴斯試做體 ＋ 奇美拉試做基因×888 ＝ Lv1的艾克尼奇美拉,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13544.html)
2024-06-20～2024-07-04,2024-06-19,玩轉小任務 轉盤樂翻天,"彼特設計圖A-E ＋ 金幣50,000G ＝ lv1彼特",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13394.html)
2024-06-20～2024-07-04,2024-06-19,玩轉小任務 轉盤樂翻天,"lv1殺人螳螂 ＋ 變異之源×3 ＋ 地獄魔炎花×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ lv1地獄殺人螳螂",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13394.html)
2024-06-20～2024-07-04,2024-06-19,玩轉小任務 轉盤樂翻天,"lv1戰錘魔偶 ＋ 變異之源×3 ＋ 審判之鐮×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ lv1審判魔靈",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13394.html)
未載明（公告日 2024-06-06）,2024-06-06,歸來的王者 煉獄軍團長登場,"烏莉兒設計圖A-E ＋ 金幣50,000G ＝ lv1烏莉兒",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html)
未載明（公告日 2024-06-06）,2024-06-06,歸來的王者 煉獄軍團長登場,"lv1火焰翼龍 ＋ 火焰翼龍設計圖A-E ＋ 金幣50,000G ＝ lv1改造火焰翼龍",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html)
未載明（公告日 2024-06-06）,2024-06-06,歸來的王者 煉獄軍團長登場,"lv1殺人蜂 ＋ 殺人蜂設計圖A-E ＋ 金幣50,000G ＝ lv1改造殺人蜂",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html)
未載明（公告日 2024-06-06）,2024-06-06,歸來的王者 煉獄軍團長登場,"lv1布丁史萊姆 ＋ 布丁史萊姆設計圖A-E ＋ 金幣50,000G ＝ lv1改造布丁史萊姆",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html)
未載明（公告日 2024-06-06）,2024-06-06,歸來的王者 煉獄軍團長登場,"lv1山賊 ＋ 山賊設計圖A-E ＋ 金幣50,000G ＝ lv1山賊王",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html)
未載明（公告日 2024-06-06）,2024-06-06,歸來的王者 煉獄軍團長登場,"lv1墮天使 ＋ 墮天使設計圖A-E ＋ 金幣50,000G ＝ lv1改造墮天使",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html)
未載明（公告日 2024-06-06）,2024-06-06,歸來的王者 煉獄軍團長登場,Lv1的猩紅騎士 ＋ 鋼鐵之心×888 ＝ Lv1的煉獄軍團長,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html)
未載明（公告日 2024-05-23）,2024-05-23,《魔力寶貝：永恆初心》三週年活動最終彈,"lv1迷你石像怪 ＋ 迷你石像怪設計圖A ＋ 迷你石像怪設計圖B ＋ 迷你石像怪設計圖C ＋ 迷你石像怪設計圖D ＋ 迷你石像怪設計圖E ＋ 金幣50,000G ＝ lv1改造迷你石像怪",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13104.html)
未載明（公告日 2024-05-23）,2024-05-23,《魔力寶貝：永恆初心》三週年活動最終彈,"lv1赤熊 ＋ 赤熊設計圖A ＋ 赤熊設計圖B ＋ 赤熊設計圖C ＋ 赤熊設計圖D ＋ 赤熊設計圖E ＋ 金幣50,000G ＝ lv1改造赤熊",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13104.html)
未載明（公告日 2024-05-23）,2024-05-23,《魔力寶貝：永恆初心》三週年活動最終彈,"lv1貓妖 ＋ 貓妖設計圖A ＋ 貓妖設計圖B ＋ 貓妖設計圖C ＋ 貓妖設計圖D ＋ 貓妖設計圖E ＋ 金幣50,000G ＝ lv1改造貓妖",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13104.html)
未載明（公告日 2024-05-23）,2024-05-23,《魔力寶貝：永恆初心》三週年活動最終彈,"lv1水藍菇 ＋ 水藍菇設計圖A ＋ 水藍菇設計圖B ＋ 水藍菇設計圖C ＋ 水藍菇設計圖D ＋ 水藍菇設計圖E ＋ 金幣50,000G ＝ lv1改造水藍菇",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13104.html)
未載明（公告日 2024-05-23）,2024-05-23,《魔力寶貝：永恆初心》三週年活動最終彈,"lv1地獄骷髏 ＋ 地獄骷髏設計圖A ＋ 地獄骷髏設計圖B ＋ 地獄骷髏設計圖C ＋ 地獄骷髏設計圖D ＋ 地獄骷髏設計圖E ＋ 金幣50,000G ＝ lv1改造地獄骷髏",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13104.html)
2024-05-02～2024-05-30,2024-05-02,《魔力寶貝：永恆初心》三週年活動盛大開啟,純白雛龍 ＋ 碧空寶珠×1 ＋ 影獸的果實×10 ＝ Lv1的碧空幼龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12864.html)
2024-05-02～2024-05-30,2024-05-02,《魔力寶貝：永恆初心》三週年活動盛大開啟,Lv100碧空幼龍 ＋ 碧空寶珠×1 ＋ 影獸的果實×50 ＝ Lv1的碧空飛龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12864.html)
未載明（公告日 2024-04-04）,2024-04-04,古代沙漠傳說 埃及三頭龍復生,Lv1的埃及三頭龍 ＋ 冥府血脈×888 ＝ / ├ Lv1埃及冥龍:卡洛斯（概率33%） / ├ Lv1埃及冥龍：海因茨（概率33%） / └ Lv1埃及冥龍：索爾格（概率34%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12184.html)
未載明（公告日 2024-03-21）,2024-03-21,開拓新大陸 櫻花樹精綁架事件,Lv1櫻花冰冷樹精 ＋ 變異之源×3 ＋ 櫻花魔枝×10 ＋ 精靈王契約×50 ＝ 櫻花冰冷樹精長老,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11964.html)
未載明（公告日 2024-03-21）,2024-03-21,開拓新大陸 櫻花樹精綁架事件,Lv100的冰冷樹精 ＋ 變異之源×3 ＋ 櫻花培養液×10 ＋ 精靈王契約×50 ＝ 櫻花冰冷樹精,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11964.html)
未載明（公告日 2024-03-07）,2024-03-07,決鬥絕望之森 掌控雷霆的魔王,Lv1蒼蠅王 ＋ 變異之源×3 ＋ 碧電能量×10 ＋ 精靈王契約×50 ＝ 別西卜,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11824.html)
未載明（公告日 2024-03-07）,2024-03-07,決鬥絕望之森 掌控雷霆的魔王,Lv100以上穴龍 ＋ 變異之源×3 ＋ 黃電能量×10 ＋ 精靈王契約×50 ＝ 雷鳴穴龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11824.html)
未載明（公告日 2024-03-01）,2024-03-01,引領正義的使命 貝尼恰斯教團,Lv1的寒冰巨龍 ＋ 聖龍之契×888 ＝ Lv1寒冰龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11804.html)
未載明（公告日 2024-03-01）,2024-03-01,引領正義的使命 貝尼恰斯教團,Lv1百合少女 ＋ 百合之花×1 ＝ Lv1百合少女,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11804.html)
未載明（公告日 2024-03-01）,2024-03-01,引領正義的使命 貝尼恰斯教團,Lv1白銀騎士 ＋ 白銀之心×1 ＝ Lv1白銀騎士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11804.html)
未載明（公告日 2024-02-21）,2024-02-21,元宵情人節 探尋天空城,丘比特 ＋ 愛神丘比特設計圖A×1 ＋ 愛神丘比特設計圖B×1 ＋ 愛神丘比特設計圖C×1 ＋ 愛神丘比特設計圖D×1 ＋ 愛神丘比特設計圖E×1 ＝ 愛神丘比特,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11704.html)
未載明（公告日 2024-02-07）,2024-02-07,辰龍賜福 結締龍族羈絆,Lv1紅蓮法師 ＋ 辰龍之力×5 ＝ / ├ Lv1紅蓮法師（概率95%） / └ Lv1辰龍神使紅蓮（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11634.html)
未載明（公告日 2024-02-07）,2024-02-07,辰龍賜福 結締龍族羈絆,Lv1紅炎巨龍 ＋ 辰龍之力×5 ＝ / ├ Lv1紅炎巨龍（概率95%） / └ Lv1辰龍紅炎（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11634.html)
未載明（公告日 2024-02-07）,2024-02-07,辰龍賜福 結締龍族羈絆,任意等級的辰龍紅炎 ＋ 轉生辰願×1 ＝ Lv1紅炎巨龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11634.html)
未載明（公告日 2024-02-07）,2024-02-07,辰龍賜福 結締龍族羈絆,任意等級的辰龍神使紅蓮 ＋ 轉生辰願×1 ＝ Lv1紅蓮,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11634.html)
未載明（公告日 2024-02-07）,2024-02-07,辰龍賜福 結締龍族羈絆,Lv1紅蓮 ＋ 紅蓮設計圖ABCDE×1 ＝ Lv1紅蓮法師,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11634.html)
2024-02-01～2024-02-29,2024-02-01,迎新回歸活動,Lv1白豬寶寶 ＋ 純白精華×100 ＝ Lv1白豬太郎,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11604.html)
2024-02-01～2024-02-29,2024-02-01,迎新回歸活動,Lv1白豬太郎 ＋ 純白精華×100 ＝ / ├ Lv1純白豬王（概率5%） / └ Lv1白豬太郎（概率95%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11604.html)
未載明（公告日 2024-02-01）,2024-02-01,新春遇神龍 龍寶大救援,Lv1龍寶 ＋ 小神龍之力×388 ＝ 水龍寶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11584.html)
未載明（公告日 2024-02-01）,2024-02-01,新春遇神龍 龍寶大救援,Lv1風龍寶 ＋ 小神龍之力×2888 ＝ 小神龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11584.html)
未載明（公告日 2024-02-01）,2024-02-01,新春遇神龍 龍寶大救援,Lv1炎龍寶 ＋ 小神龍之力×1688 ＝ 風龍寶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11584.html)
未載明（公告日 2024-02-01）,2024-02-01,新春遇神龍 龍寶大救援,Lv1水龍寶 ＋ 小神龍之力×888 ＝ 炎龍寶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11584.html)
未載明（公告日 2024-02-01）,2024-02-01,新春遇神龍 龍寶大救援,Lv1小神龍 ＋ 小神龍之力×3888 ＋ 衝浪神木×1 ＝ / ├ 衝浪小神龍（概率50%） / └ 衝浪小魔龍（概率50%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11584.html)
2024-01-18～2024-02-01,2024-01-18,海巨獸之影 金鱗龍魚來襲,"Lv1鸚鵡綠螺 ＋ 變異之源×3 ＋ 烏賊進化液×10 ＋ 精靈王契約×10 ＋ 金幣100,000G ＝ Lv1西比亞烏賊",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11534.html)
未載明（公告日 2024-01-04）,2024-01-04,聖誕花環會 相遇帝王獅,Lv1雪獅 ＋ 變異之源×3 ＋ 暴雪花×10 ＋ 精靈王契約×50 ＝ 暴雪魔獸,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11014.html)
未載明（公告日 2024-01-04）,2024-01-04,聖誕花環會 相遇帝王獅,Lv1鐵獅 ＋ 變異之源×3 ＋ 赤焰花×10 ＋ 精靈王契約×50 ＝ 赤焰獅王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11014.html)
未載明（公告日 2024-01-04）,2024-01-04,聖誕花環會 相遇帝王獅,Lv1銅獅 ＋ 變異之源×3 ＋ 黃金花×10 ＋ 精靈王契約×50 ＝ 黃金帝獅,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11014.html)
未載明（公告日 2024-01-04）,2024-01-04,聖誕花環會 相遇帝王獅,Lv1月獅 ＋ 變異之源×3 ＋ 蝕月花×10 ＋ 精靈王契約×50 ＝ 蝕月炎獸,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11014.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,任意等級的魔法師阿爾卡迪亞 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1魔魂阿爾卡迪亞（概率95%） / └ Lv1女帝阿爾卡迪亞（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
