等級,名稱,分類,類型,材料,能力,說明,販店價,image
8,凶豹回力鏢,投擲武器,雙手武器,白金條(10)、幻之鋼條(12)、赤松(20)、朴(20)、杉(20),攻擊+147~+196,模仿惡豹的姿勢的回力鏢。,1600,/img/武器/凶豹回力鏢.gif
8,熊翼回力鏢+,投擲武器,雙手武器,幻之銀條(15)、朴(20)、杉(20)、濕地毒蛇(10)、藍龍之鱗(20),攻擊+130~+155 敏捷+10~+20 閃躲+1~+3 生產系晉升任務Ⅲ,模仿有翅膀的公牛之回力鏢。,,/img/武器/雄翼牛回力鏢.gif
8,赤獅回力鏢,投擲武器,雙手武器,幻之銀條(10)、鐵杉(20)、朴(20)、細線(10)、魔族的水晶(1),攻擊+130~+160 陽炎所需消耗魔力減少30%,模仿紅色獅子的回力鏢。,1600,/img/武器/赤獅回力鏢.gif
8,切肉小刀,小刀,雙手武器,幻之鋼條(20)、赤松(20)、朴(20)、杉(20)、魔族的水晶(1),攻擊+50 敏捷+15 必殺+18 命中+15 閃躲+15,S字狀彎曲的切肉小刀。,1600,/img/武器/切肉小刀.gif
8,古傳小刀,小刀,雙手武器,幻之銀條(14)、黃月木(20)、鐵杉(20)、赤松(20)、朴(20),攻擊+115~+153 必殺+3,兩邊刃部的傳統大小刀。,1600,/img/武器/古傳小刀.gif
8,疾速短刀+,小刀,雙手武器,幻之銀條(12)、朴(20)、杉(20)、濕地毒蛇(10)、藍龍之鱗(20),攻擊+110~+140 必殺+1~+5 命中+1~+3 耐久150~+190 生產系晉升任務Ⅲ,有複雜型狀刀身，危險投擲小刀。,1500,/img/武器/兇殺刀.gif
9,剛硬巨劍,劍,單手武器,純銀條(10)、幻之銀條(10)、勒格耐席鉧條(10)、琵琶木(20)、鋼騎之礦(2),攻擊+185 連擊所需消耗魔力減少20%,由硬鋼製成的長劍。,4000,/img/武器/剛硬巨劍.gif
9,細刃重劍,劍,雙手武器,鐵條(10)、白金條(10)、幻之鋼條(10)、幻之銀條(10)、絲柏(20),攻擊+182~+228,劍身很細，劍柄卻又重又長的兩手劍。,3000,/img/武器/細刃重劍.gif
9,彎月長柄斧,斧,雙手武器,金條(10)、幻之銀條(10)、勒格耐席鉧條(10)、絲柏(20)、誓言之證(2),攻擊+221~+276 防禦-29 敏捷-50~-51 必殺+21 乾坤一擲所需消耗魔力減少15%,長又彎曲的斧頭的長柄斧頭。,4000,/img/武器/彎月長柄斧.gif
9,薄刃鉤爪斧,斧,雙手武器,白金條(10)、幻之鋼條(10)、勒格耐席鉧條(10)、朴(20)、杉(20),攻擊+221~+276 防禦-19 敏捷-46~-57 必殺+18,又薄又寬的刃部，尖端有勾的長柄斧頭。,3500,/img/武器/薄刃鉤爪斧.gif
9,原始槍,槍,單手武器,幻之鋼條(10)、幻之銀條(10)、勒格耐席鉧條(10)、絲柏(20)、鋼騎之礦(2),攻擊+180~+190 反擊+9 命中+5 閃躲-3 諸刃 所需消耗魔力減少20%,有巨大尖端部的傳統槍。,4300,/img/武器/原始槍.gif
9,鉤爪槍,槍,單手武器,勒格耐席鉧條(15)、琵琶木(20)、赤松(20)、朴(20)、杉(20),攻擊+152~+190 反擊+6 命中+3,有尖銳尖端及鉤子的槍。,3600,/img/武器/鉤爪槍.gif
9,平行弓,弓,雙手武器,幻之鋼條(15)、幻之銀條(15)、朴(20)、杉(20)、絲柏(20),攻擊+167~+209,高威力，高精度的石弓。,3200,/img/武器/平行弓.gif
9,靈魂之弓,弓,雙手武器,幻之銀條(15)、勒格耐席鉧條(10)、杉(20)、絲柏(20)、鋼騎之礦(2),攻擊+165 亂射所需消耗魔力減少20%,射中了就會出必殺的長弓。,4200,/img/武器/靈魂之弓.gif
9,天使之杖,杖,單手武器,幻之銀條(15)、杉(20)、絲柏(20),攻擊+72~+90 精神+5 魔攻+259~+272,天使形狀的杖。,2100,/img/武器/天使之杖.gif
9,太陽短杖,杖,單手武器,幻之銀條(15)、杉(20)、絲柏(20),攻擊+5 精神+36~+45 魔攻+259~+286,太陽形狀的長杖。,2100,/img/武器/太陽短杖.gif
9,天使之翼,投擲武器,雙手武器,幻之鋼條(10)、幻之銀條(10)、朴(20)、杉(20)、絲柏(20),攻擊+175~+219,模仿天使翅膀的回力鏢。,2400,/img/武器/天使之翼.gif
9,普利辛回力鏢,投擲武器,雙手武器,勒格耐席鉧條(10)、杉(20)、絲柏(20)、鋼騎之礦(1)、魔族的水晶(1),攻擊+220~+230 閃躲-5 陽炎所需消耗魔力減少20%,可用來防御的回力鏢。,2700,/img/武器/普利辛回力鏢.gif
9,手裡劍,小刀,雙手武器,勒格耐席鉧條(15)、朴(20)、杉(20)、鋼騎之礦(1)、誓言之證(1),攻擊+117~+151 必殺+6 命中+3 陽炎所需消耗魔力減少30%,回轉投擲，特殊暗殺用武器。,3600,/img/武器/手裡劍.gif
9,華麗小刀,小刀,雙手武器,幻之銀條(20)、赤松(20)、朴(20)、杉(20)、絲柏(20),攻擊+137~+171 必殺+3,有豪華裝飾的小刀。,2800,/img/武器/華麗小刀.gif
10,曲刀,劍,單手武器,幻之銀條(10)、奧利哈鋼條(10)、絲柏(20)、鋼騎之礦(2)、魔族的水晶(2),攻擊+250 敏捷+1 命中+1 閃躲+1,需要力量大的人才拿的動的超巨劍。,6000,/img/武器/曲刀.gif
10,青龍刀,劍,單手武器,金條(10)、幻之銀條(10)、勒格耐席鉧條(10)、杉(20)、梣(20),攻擊+204~+240,劍身刻有龍形的單手劍。,4500,/img/武器/青龍刀.gif
10,處刑斧,斧,雙手武器,奧利哈鋼條(14)、梣(20)、鋼騎之礦(2)、魔族的水晶(2)、誓言之證(2),攻擊+305~+310 防禦-40 敏捷-70 必殺+18 乾坤一擲所需消耗魔力減少20%,處死用很利的雙手斧頭。,6500,/img/武器/處刑斧.gif
10,金屬重斧,斧,雙手武器,幻之鋼條(10)、幻之銀條(10)、奧利哈鋼條(8)、杉(20)、絲柏(20),攻擊+259~+305 防禦-21 敏捷-54~-63 必殺+18,全部用金屬做的，非常重的斧頭。,5500,/img/武器/鑽保雷格之斧.gif
10,三叉戰戟,槍,單手武器,奧利哈鋼條(10)、赤松(20)、朴(20)、杉(20)、絲柏(20),攻擊+179~+210 反擊+6 命中+3,劍鬥士喜歡用，格鬥用三叉的槍。,5000,/img/武器/三叉戰戟.gif
10,異型槍,槍,單手武器,幻之銀條(10)、勒格耐席鉧條(10)、奧利哈鋼條(10)、梣(20)、魔族的水晶(3),攻擊+225 反擊+1 命中+1 閃躲-4 諸刃 所需消耗魔力減少20%,尖端部兩側有短鉤的長槍。,8500,/img/武器/異型槍.gif
10,摘星之弓,弓,雙手武器,幻之銀條(20)、勒格耐席鉧條(10)、杉(20)、絲柏(20)、梣(20),攻擊+196~+231,據說能射到星星，距離超長的長弓。,5200,/img/武器/摘星之弓.gif
10,魔彈,弓,雙手武器,勒格耐席鉧條(6)、奧利哈鋼條(10)、絲柏(20)、梣(20)、魔族的水晶(4),攻擊+195 命中+5 陽炎所需消耗魔力減少20%,據說是怪物愛用的長弓。,6500,/img/武器/魔彈.gif
10,星屑短杖,杖,單手武器,勒格耐席鉧條(15)、絲柏(20)、梣(20),攻擊+85~+100 精神+5 魔攻+290~+305,宿有冥王之力的短杖。,4100,/img/武器/星屑短杖.gif
10,聖者之杖,杖,單手武器,奧利哈鋼條(10)、絲柏(20),攻擊+5 精神+43~+50 魔攻+290~+320,天使翅膀形狀的杖。,4500,/img/武器/聖者之杖.gif
10,天秤回力鏢,投擲武器,雙手武器,奧利哈鋼條(10)、絲柏(20)、梣(20)、火焰之魂(4)、誓言之證(2),攻擊+236~+242 防禦+5 命中+5 閃躲+1,以燃燒天秤的形狀為模型所做成的回力鏢。,4500,/img/武器/天秤回力鏢.gif
10,治癒回力鏢,投擲武器,雙手武器,勒格耐席鉧條(15)、杉(20)、絲柏(20)、梣(20),攻擊+216~+242,治療主人的回力鏢。,3500,/img/武器/治癒回力鏢.gif
10,勾爪擲刀,小刀,雙手武器,勒格耐席鉧條(15)、朴(20)、杉(20)、絲柏(20)、梣(20),攻擊+161~+189 必殺+3,有新月型勾的投擲小刀。,4300,/img/武器/勾爪擲刀.gif
10,幻之匕首,小刀,雙手武器,奧利哈鋼條(10)、梣(20)、神眼(1)、鋼騎之礦(1)、誓言之證(1),攻擊+190~+210 必殺-3,幻之金製的瀟灑小刀。,5000,/img/武器/幻之匕首.gif
