日期,類別,重點標記,開放內容說明,公告,首次公開寵物,公告連結
2024-11-13,地圖／任務,新任務,開放任務：納卡斯之影,11月14日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14214.html)
2024-11-11,寵物／秘寶,,,撒旦重生 深淵的邪靈召喚,墮天使撒旦、影男、豆豆,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14184.html)
2024-11-08,寵物／秘寶,,,勇者小戰場 集結戰BOSS,影女、星之巨鉗蟹、沐火碧睛獸、淘氣炸彈、風舞巫魅,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14164.html)
2024-11-08,賽事,,,任務爭霸賽第22季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14174.html)
2024-10-24,寵物／秘寶,,,午夜狂歡 萬鬼夜行,炎魔龍骨、萬聖食屍鬼、萬聖鬼斧,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14144.html)
2024-10-16,職業／系統,,,網頁角色銀行火熱開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14114.html)
2024-10-16,職業／系統,,,烏嚕的情感大作戰 網頁角色銀行開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14104.html)
2024-10-10,寵物／秘寶,,,夢魘降臨 解秘惡魔的呢喃,單眼藍巨人、夢之惡魔、鳳橘花妖王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14084.html)
2024-10-09,寵物／秘寶,,,吹雪的巫女 激鬥魔晶巨龍,吹雪、咒殺型小櫻、魔晶巨龍、魔晶暴龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14074.html)
2024-10-01,賽事,,,PVP爭霸賽第11期重新開放報名的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14034.html)
2024-09-29,賽事,,,PVP爭霸賽第11期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14024.html)
2024-09-27,賽事,,,PVP爭霸賽第11期預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14014.html)
2024-09-26,地圖／任務,,,海底拯救之路 戰慄的魚人宮,暗黑幼龍、暗黑飛龍、碧水藍菇、阿特拉斯海豚,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13994.html)
2024-09-26,賽事,,,PVP爭霸賽第十期抽抽樂限時特惠,戰鬥亡靈、戰鬥使魔、戰鬥旋律影子、戰鬥死亡樹精、戰鬥海盜、戰鬥火焰鼠、戰鬥火精、戰鬥火龍蜥、戰鬥烈風鳥人、戰鬥獅鷲獸、戰鬥粉紅菇、戰鬥純白嚇人箱、戰鬥致命螳螂、戰鬥藍蠍、戰鬥蜥蝪戰士、戰鬥血腥之刃、戰鬥貓熊、戰鬥骷髏戰士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14004.html)
2024-09-25,地圖／任務,新任務,開放海底世界主線任務：戰慄的魚人宮,9月26日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13984.html)
2024-09-12,賽事,,,任務爭霸賽第21季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13944.html)
2024-09-12,地圖／任務,,,中秋月下會嫦娥 月宮奇遇結仙緣,彩虹麻薯兔兔、櫻花麻薯兔兔、琉璃麻薯兔兔、紫薯麻薯兔兔、黃金樹靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13934.html)
2024-09-11,地圖／任務,限時任務,開放限時任務：中秋節活動,9月12日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13914.html)
2024-09-06,寵物／秘寶,,,召喚風暴軍團 掌控疾風之力,兵長馬里諾、風暴軍團長武魂、風暴軍團長魔魂,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13904.html)
2024-08-29,地圖／任務,,,麗夏村的騷亂 隱密的魅影惡魔,巴拿猴、碧魯猴、紅雲瓢蟲、赤炎黑熊、速遞企鵝、魅之惡魔,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13884.html)
2024-08-28,地圖／任務,新任務,開放主線任務：騷亂魅影,8月29日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13824.html)
2024-08-22,賽事,,,PVP爭霸賽第九期限時抽抽樂,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13814.html)
2024-08-21,地圖／任務,新地圖,開放地圖：麗夏村,8月29日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13794.html)
2024-08-15,寵物／秘寶,,,中元節驚悚來襲 魔女妮可的低語,伯爵之棺、墓碑鬼手、魔女妮可、魔道死靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13784.html)
2024-08-14,地圖／任務,新任務,開放任務：迷亂之鄉,8月15日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13764.html)
2024-08-08,寵物／秘寶,,,關於魔力盲盒（26）的概率公告,七夕水藍鼠、星幻冥神,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13754.html)
2024-08-08,節慶／活動,,,《魔力寶貝》23週年慶最終彈,依格羅斯、愛情天使、時雨天、火焰舞動者、神聖天使,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13744.html)
2024-08-05,賽事,,,PVP爭霸賽第10期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13714.html)
2024-07-31,賽事,,,任務爭霸賽第20季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13694.html)
2024-07-31,節慶／活動,,,23週年慶第二彈火熱進行中,卡蘿、天界蝙蝠、戰鬥天使、碧藍妖精,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13684.html)
2024-07-19,賽事,,,PVP爭霸賽第10期開啟預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13634.html)
2024-07-17,節慶／活動,,,魔力寶貝23週年慶第一彈正式開啟,大地詛咒者、寒冰詛咒者、幻之惡魔、惡魔女帝、火焰詛咒者、虛弱的大地詛咒者、虛弱的寒冰詛咒者、虛弱的火焰詛咒者、虛弱的雷霆詛咒者、雙星暗影、雷霆詛咒者,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html)
2024-07-05,寵物／秘寶,,,改造藝術的巔峰 黑暗奇美拉登場,地行布卡、艾克尼奇美拉、阿魯巴斯試做體、雨型妖犬,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13544.html)
2024-07-03,寵物／秘寶,,,海洋寵物派對 夏日探險奇遇,深海巨鯊、深海狼蛛、緣小鴨、黃銅豚魚,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13524.html)
2024-07-01,職業／系統,,,星圖第四季開啟,嗜血魔蛟、幻金晶魚、拉賈、栗、魔女洛麗,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13494.html)
2024-06-27,賽事,,,任務爭霸賽第19季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13464.html)
2024-06-23,賽事,,,關於PVP爭霸賽半決賽的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13424.html)
2024-06-21,地圖／任務,,,關於每日大轉盤部分任務道具無法完成的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13414.html)
2024-06-19,地圖／任務,,,玩轉小任務 轉盤樂翻天,地獄殺人螳螂、審判魔靈、彼特、戰錘魔偶、梅藏、紫泉蛙、赤焰獨角獸,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13394.html)
2024-06-06,節慶／活動,,,端午登祖山 喜贏賽龍舟,喜焰龍舟、瑞竹龍舟、紅糖粽子、綠豆粽子,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13254.html)
2024-06-06,寵物／秘寶,,,歸來的王者 煉獄軍團長登場,兵長麥、山賊王、改造墮天使、改造布丁史萊姆、改造殺人蜂、改造火焰翼龍、烏莉兒、煉獄軍團長、藍拉,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html)
2024-06-03,賽事,,,PVP爭霸賽第九期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13184.html)
2024-05-30,賽事,,,任務爭霸賽第18季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13164.html)
2024-05-27,賽事,,,PVP爭霸賽第九期開啟預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13144.html)
2024-05-23,節慶／活動,,,《魔力寶貝：永恆初心》三週年活動最終彈,坤斧妖精、守護天使、改造地獄骷髏、改造水藍菇、改造貓妖、改造赤熊、改造迷你石像怪、深海幼龍、深海飛龍、風暴天使,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13104.html)
2024-05-22,地圖／任務,新任務、限時任務,開放傳說之劍任務：月之勇者；開放限時任務：寵物島之旅活動,5月23日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13074.html)
2024-05-16,節慶／活動,,,《魔力寶貝：永恆初心》三週年活動第三彈,拉布拉多犬、死亡木乃伊、藍色香煙鬼,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13014.html)
2024-05-15,地圖／任務,限時任務,開放限時任務：卡牌魔法屋,5月16日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13004.html)
2024-05-11,節慶／活動,,,關於三週年第一彈10連抽點券返還的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12964.html)
2024-05-09,節慶／活動,,,《魔力寶貝：永恆初心》三週年活動第二彈,哈士奇、比格犬、秋田犬、金翼幼龍、金翼飛龍、青梟,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12934.html)
2024-05-08,地圖／任務,限時任務,開放限時任務：週年蛋糕派送活動,5月9日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12914.html)
2024-05-05,寵物／秘寶,,,森羅萬象的歸宿 與龍族的奇遇,小翠、暗黑魔龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12884.html)
2024-05-02,節慶／活動,,,《魔力寶貝：永恆初心》三週年活動盛大開啟,焰獄妖犬、碧空幼龍、碧空飛龍、純白幼龍、純白雛龍、聖魂阿爾卡迪亞、赤天幼龍、赤天飛龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12864.html)
2024-05-01,地圖／任務,新任務,開放任務：地獄之眼,5月2日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12854.html)
2024-04-18,寵物／秘寶,,,墮落的魔王 暗黑大公雞,暗黑大公雞、浴火聖鳥、碧空海豚、魚人守衛,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12564.html)
2024-04-17,地圖／任務,新任務,開放任務：墮落的暗靈,4月18日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12534.html)
2024-04-04,寵物／秘寶,,,古代沙漠傳說 埃及三頭龍復生,冥凱、埃及三頭龍、埃及冥龍：卡洛斯、埃及冥龍：海因茨、埃及冥龍：索爾格,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12184.html)
2024-04-03,寵物／秘寶,,,智鬥魔法牌 勇奪不死大獎,搗蛋鬼、淘氣鬼、猩紅鬼靈、皮皮鬼、紺青騎士、鬧事鬼,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12174.html)
2024-04-01,職業／系統,,,星圖第三季開啟,亡靈骷髏士兵、大地奇美拉、蒼岩狨、青銅冥鬥士、魔金女王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12074.html)
2024-04-01,賽事,,,PVP爭霸賽第八期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12084.html)
2024-03-28,賽事,,,任務爭霸賽第16季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12044.html)
2024-03-26,賽事,,,PVP爭霸賽第八期開啟預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_12004.html)
2024-03-21,地圖／任務,新地圖,推出新大陸相關任務：櫻花樹精綁架事件,開拓新大陸 櫻花樹精綁架事件,櫻花冰冷樹精、櫻花冰冷樹精長老、裂口食人花、青尾豹,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11964.html)
2024-03-20,地圖／任務,新任務,開放主線任務：櫻花樹之淚,3月21日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11954.html)
2024-03-13,賽事,,,PVP爭霸賽第七期限時抽抽樂,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11844.html)
2024-03-07,寵物／秘寶,,,決鬥絕望之森 掌控雷霆的魔王,別西卜、紫幽冥傘、蒼蠅王、雷鳴穴龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11824.html)
2024-03-06,地圖／任務,新任務,開放任務：雷鳴之森,3月7日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11814.html)
2024-03-01,寵物／秘寶,,,引領正義的使命 貝尼恰斯教團,寒冰巨龍、寒冰龍王、白銀騎士、百合少女,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11804.html)
2024-02-29,賽事,,,任務爭霸賽第15季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11784.html)
2024-02-21,地圖／任務,,,元宵情人節 探尋天空城,丘比特天使、元宵巨神兵、元宵精靈、百步蛇,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11704.html)
2024-02-21,地圖／任務,新任務、限時任務,開放任務：天空之城；開放限時任務：元宵情人節活動,2月22日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11694.html)
2024-02-09,節慶／活動,,,新春獻祝福 領新春大禮包,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11644.html)
2024-02-07,寵物／秘寶,,,辰龍賜福 結締龍族羈絆,紅炎巨龍、紅蓮、紅蓮法師、辰龍神使紅蓮、辰龍紅炎,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11634.html)
2024-02-02,節慶／活動,,,新春特惠，8.5折新春王寵禮盒除夕上線！！！,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11614.html)
2024-02-01,節慶／活動,,,迎新回歸活動,白豬太郎、白豬寶寶、純白豬王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11604.html)
2024-02-01,節慶／活動,,,新春遇神龍 龍寶大救援,地龍寶、小神龍、水龍寶、炎龍寶、硝石蟲、綠蒲團團、衝浪小神龍、衝浪小魔龍、風龍寶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11584.html)
2024-02-01,賽事,,,任務爭霸賽第14季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11594.html)
2024-01-29,賽事,,,PVP爭霸賽第七期正式開啟報名,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11554.html)
2024-01-18,寵物／秘寶,,,海巨獸之影 金鱗龍魚來襲,多足怪魚、西比亞烏賊、金鱗龍魚、鸚鵡綠螺、黃小鴨,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11534.html)
2024-01-11,賽事,,,PVP爭霸賽第六期抽抽樂限時特惠,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11434.html)
2024-01-11,賽事,,,PVP爭霸賽第七期開啟預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11474.html)
2024-01-04,節慶／活動,,,聖誕花環會 相遇帝王獅,赤焰獅王、銅獅、鐵獅、黃金帝獅,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11014.html)
2024-01-04,賽事,,,任務爭霸賽第13季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11024.html)
2023-12-28,職業／系統,,,星圖第二季開啟,帝國少女士兵、帝國少年士兵、火焰巨龍、蛟龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10884.html)
2023-12-28,寵物／秘寶,,,女帝降臨 阿爾卡迪亞登場,劍士阿爾卡迪亞、咒術師阿爾卡迪亞、女帝阿爾卡迪亞、弓箭手阿爾卡迪亞、戰斧阿爾卡迪亞、戰魂阿爾卡迪亞、技魂阿爾卡迪亞、新生阿爾卡迪亞、格鬥家阿爾卡迪亞、武魂阿爾卡迪亞、靈魂阿爾卡迪亞、鬥魂阿爾卡迪亞、魔法師阿爾卡迪亞、魔魂阿爾卡迪亞,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2023-12-20,節慶／活動,,,冰雪奇緣 來自聖誕的新夥伴,冰雪水藍鼠、琉璃花妖王、紫燄、聖誕大公雞、蒼燄、青燄,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10844.html)
2023-12-14,地圖／任務,,,關於連破戰和星辰塔挑戰任務的積分公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10824.html)
2023-12-13,寵物／秘寶,,,黑夜之影 夢魘奪魂之主,奪魂闇影、奪魂闇影之主、奪魂陰影、奪魂陰影之主、闇影、陰影,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-07,賽事,,,任務爭霸賽第12季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10774.html)
2023-12-06,地圖／任務,,,蒼月聖域的呼喚 探尋元素秘境,冰雪愛絲精靈、寒晶絲諾精靈、極寒雪兒精靈、蒼月聖鷹、銀雪聖誕精靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
2023-12-06,地圖／任務,新任務,開放天空之城前置任務：蒼月聖域,12月7日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10754.html)
2023-12-05,職業／系統,,,關於星圖重新開放的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10744.html)
2023-12-04,賽事,,,PVP爭霸賽第六期正式開啟報名,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10734.html)
2023-11-30,職業／系統,,,關於星圖活動暫時關閉的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10724.html)
2023-11-23,地圖／任務,,,挑戰星辰塔 鍛造傳奇套裝,合金戰獅、闇影地雷、闇影機甲NXT、魔術地雷、魔術機甲ROX、黯星使者,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10704.html)
2023-11-16,賽事,,,PVP爭霸賽第五期抽抽樂限時特惠,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10684.html)
2023-11-10,寵物／秘寶,,,刀客之志 狂魔與少年,刀客劍次、劍次、狂魔劍次,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10564.html)
2023-11-09,職業／系統,新職業,正式開放刀客與鍛刀工職業，並開放刀客專屬技能「燕斬」,新職業登場！無雙刀客參上,殺龍逆刃、深淵石像魔王、牛丸、牛鬼丸、珊瑚海豚、石像魔王、血腥流刃,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
2023-11-08,地圖／任務,,,任務賽第11季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10524.html)
2023-10-25,節慶／活動,,,萬聖狂欢 百魅之夜,假面騎士、改造冥界死神、改造斬首者、改造暗黑僧侶、改造鐮刀魔、萬聖假面,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10474.html)
2023-10-12,寵物／秘寶,,,勝利之翼 諾爾特神鷹,勝利之翼、板龍、機甲D4型、諾爾特神鷹,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10424.html)
2023-10-12,賽事,,,任務爭霸賽第十季開啟,死神亞曆克斯、死神埃文、死神查理、死神格雷爾、牛頭狂戰士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10434.html)
2023-10-09,寵物／秘寶,,,劍之侍魂 武魂狂人,侍魂和馬、和馬、武士和馬,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html)
2023-10-02,賽事,,,PVP爭霸賽第五期正式開啟報名,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10364.html)
2023-09-25,職業／系統,,,點亮法蘭的夜空 星圖系統上線,符文晶魚、雛龍、雷伊、青蓮仙鳳、魯帕斯、黃金巨龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10344.html)
2023-09-22,寵物／秘寶,,,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,暗月之靈、暗月公主、月宮之靈、月宮公主、水月之靈、水月公主、猩紅之月、猩紅公主、皎月之靈、皎月公主、風月之靈、風月公主,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
2023-09-21,寵物／秘寶,,,霸氣魔蛇現世 元素使限時返場,吞焰妖蛇、花仙子,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10324.html)
2023-09-13,賽事,,,任務爭霸賽第九季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10274.html)
2023-09-13,賽事,,,PVP爭霸賽第五期預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10294.html)
2023-09-13,賽事,,,PVP爭霸賽抽抽樂限時特惠,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10264.html)
2023-09-08,寵物／秘寶,,,開啟回憶的羈絆 白銀之魂猶大,地獄將軍、天啟者猶大、猶大,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10254.html)
2023-09-08,地圖／任務,限時任務,開放限時任務：幽靈道場,不死的試煉 挑戰幽靈道場,幽紫魔靈、德魯伊之鬼、德魯伊之魂、青鸞聖鳥,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10234.html)
2023-09-06,地圖／任務,限時任務,開放限時任務：幽靈道場,9月8日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10224.html)
2023-08-30,節慶／活動,,,幽靈重現 中元禮包限時回歸,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10194.html)
2023-08-24,寵物／秘寶,,,相遇花妖王 雷霆幻獸大加強,噬魂毒蟹、散步花妖、星綠花妖王、雷霆神獸,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10184.html)
2023-08-23,職業／系統,內容預告,預告第四季度推出新職業、全新任務與「天空之城」地圖,《魔力寶貝：永恆初心》新職業和地圖即將更新 第四季度全新資料篇搶先公佈,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10164.html)
2023-08-17,賽事,,,任務爭霸賽第八季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10154.html)
2023-08-11,賽事,,,PVP爭霸賽熱門寵物 限時返場,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10134.html)
2023-08-10,賽事,,,PVP爭霸賽第四期(懷舊系寵物賽)開啟預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10114.html)
2023-08-09,節慶／活動,,,22週年慶最終彈,22週年樹精、22週年液態史萊姆、22週年鼠王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10104.html)
2023-08-07,寵物／秘寶,,,改造的巔峰藝術 紅翼奇美拉的崛起,布雷歐、改造布雷歐、紅翼奇美拉,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10084.html)
2023-08-07,賽事,,,PVP爭霸賽第三期獎勵發放通知及下期預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10074.html)
2023-07-27,節慶／活動,,,22週年慶第一彈,22週年水龍蜥、22週年螳螂、22週年黃蜂,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9994.html)
2023-07-20,寵物／秘寶,,,被詛咒的魔靈 神隱魔偶之謎,巨錘魔偶、百變雪怪、神隱魔偶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9954.html)
2023-07-20,賽事,,,任務爭霸賽第七季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9944.html)
2023-07-12,活動／營運,,,砸出無限驚喜 原石工坊勁爆來襲,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9874.html)
2023-07-10,賽事,,,PVP爭霸賽第二期熱門寵物 限時返場,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9854.html)
2023-07-10,賽事,,,PVP爭霸賽第三期 開啟公告,戰爭女神,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9864.html)
2023-07-07,寵物／秘寶,,,魔族改造人 不死暗醫登場,暗醫阿魯巴斯、阿魯巴斯、阿魯巴斯克隆體,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9844.html)
2023-07-06,寵物／秘寶,,,海洋之誓 美人魚之旅,小魚仙、琴韻海妖,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9834.html)
2023-06-30,賽事,,,PVP爭霸賽第二期獎勵發放通知及下期預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9794.html)
2023-06-21,節慶／活動,,,端午戰龍王 龍祖山激鬥,反轉袋龍、古代寒冰樹精、古代巨櫻樹王、暗裔龍王、粉紅炸彈、變異龍祖,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9754.html)
2023-06-21,賽事,,,任務爭霸賽第六季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9764.html)
2023-06-15,寵物／秘寶,,,夏日的奇幻之旅 艷陽鼠王與百香公主的相遇,百香公主、百香小妖、艷陽鼠王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9724.html)
2023-06-13,賽事,,,關於PVP爭霸賽第二期重新報名的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9704.html)
2023-06-12,賽事,,,PVP爭霸賽（第二期金屬系寵物賽）開啟預告,奧林匹斯戰神,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9684.html)
2023-06-08,賽事,,,PVP爭霸決賽熱門寵物 限時返場,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9674.html)
2023-06-05,寵物／秘寶,,,冠絕天際 龍威鎮魔界,九頭巨蛇、喪屍魔龍、達哈卡,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9654.html)
2023-06-01,寵物／秘寶,,,關於魔力盲盒（16）概率的公告,夜魔,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9644.html)
2023-06-01,寵物／秘寶,,,炎熱夏至 甜蜜律動蜜瓜公主,機甲Z6型、蜜瓜公主、蜜瓜小妖,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9624.html)
2023-06-01,賽事,,,PVP爭霸賽第一期獎勵發放通知及下期預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9634.html)
2023-05-27,賽事,,,關於5月27日PVP爭霸賽八強賽的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9604.html)
2023-05-25,賽事,,,任務爭霸賽第五季開啟,古代白櫻長老,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9594.html)
