名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,公告日,公告連結,image,任務用途
阿德基姆,人形系,39,41,15,24,6,9,125,火10,氣功彈Lv2、補血魔法LV6、連擊LV11,2025-04-16,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15114.html),/img/專屬寵物/阿德基姆.gif,
地底龍龜,野獸系,31,48,25,13,8,9,125,地10,連擊LV11、潛龍殺LV10、氣絕回復LV1,2025-04-16,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15114.html),/img/專屬寵物/地底龍龜.gif,
黑樺斑蝶,昆蟲系,21,10,17,33,44,9,125,火4風6,強力昏睡魔法LV3,2025-04-16,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15114.html),/img/專屬寵物/黑樺斑蝶.gif,
緋紅巨龍,龍系,33,46,14,26,6,9,125,地2火8,裂空斬LV10、連擊LV11、潔淨魔法LV3,2025-04-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15044.html),/img/專屬寵物/緋紅巨龍.gif,
古美絲,人形系,25,6,21,27,46,9,125,風10,混亂衝擊波LV10、超強中毒魔法LV7、強力石化魔法LV7,2025-04-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15044.html),/img/專屬寵物/古美絲.gif,
櫻花龍,龍系,24,39,21,19,17,9,125,火10,乾坤一擲LV11,2025-04-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15044.html),/img/專屬寵物/緋紅巨龍.gif,
巴洛妮克,不死系,29,6,17,24,49,9,125,火10,火焰祈禱LV10、超強中毒魔法LV7、強力恢復魔法LV6,2025-04-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14974.html),/img/專屬寵物/巴洛妮克.gif,[闇影君王](/任務攻略/主線任務/混沌雙子系列/闇影君王) 與任一陣眼對話即可傳送至最終 BOSS 房間
雷暴殺人蜂,昆蟲系,36,43,10,30,6,9,125,地10,連擊LV11、氣功彈LV2,2025-04-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14974.html),/img/專屬寵物/雷暴殺人蜂.gif,
嗜血骷髏,不死系,35,8,16,18,48,9,125,火8風2,吸血魔法LV10、超強中毒魔法LV7、超強混亂魔法LV7,2025-04-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14974.html),/img/專屬寵物/嗜血骷髏.gif,
美洲仙人掌,植物系,26,15,24,16,44,9,125,水7火3,超強酒醉魔法LV5,2025-04-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14974.html),/img/專屬寵物/美洲仙人掌.gif,
紅靴精靈,特殊系,12,17,13,36,42,7,120,火7風3,,2024-11-14,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14224.html),/img/專屬寵物/紅靴精靈.gif,
淘氣炸彈,特殊系,17,6,11,47,44,9,125,地5水5,混亂衝擊波Lv10、超強昏睡魔法Lv5,2024-11-08,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14164.html),/img/專屬寵物/淘氣炸彈.gif,
戰鬥火精,特殊系,42,8,8,25,42,9,125,火10,超強酒醉魔法Lv5、混亂衝擊波Lv10,2024-09-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14004.html),/img/專屬寵物/戰鬥火精.gif,
戰鬥旋律影子,特殊系,35,35,19,30,6,9,125,水10,氣功彈I、氣絕回復Lv1,2024-09-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14004.html),/img/專屬寵物/戰鬥旋律影子.gif,
彩虹麻薯兔兔,特殊系,32,6,12,30,45,9,125,地10,潔淨魔法LV3、超強石化魔法LV5,2024-09-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13934.html),/img/專屬寵物/彩虹麻薯兔兔.gif,
琉璃麻薯兔兔,特殊系,32,25,12,50,6,9,125,風10,氣絕回復Lv1、潔淨魔法LV3,2024-09-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13934.html),/img/專屬寵物/琉璃麻薯兔兔.gif,
櫻花麻薯兔兔,特殊系,37,43,19,18,8,9,125,火9風1,潛龍殺Lv10、諸刃Lv11,2024-09-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13934.html),/img/專屬寵物/櫻花麻薯兔兔.gif,
紫薯麻薯兔兔,特殊系,37,8,19,18,43,9,125,地1水9,混亂衝擊波Lv10、中毒魔法Lv10,2024-09-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13934.html),/img/專屬寵物/紫薯麻薯兔兔.gif,
雙星暗影,特殊系,19,10,15,38,43,9,125,風5地5,攻擊吸收LV5、魔法吸收LV5,2024-07-17,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13624.html),/img/專屬寵物/雙星暗影.gif,
雨型妖犬,特殊系,33,44,19,21,8,9,125,火1風9,戰慄襲心Lv11、毒性攻擊Lv11,2024-07-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13544.html),/img/專屬寵物/雨型妖犬.gif,
地行布卡,特殊系,21,8,19,33,44,9,125,風1地9,混亂衝擊波Lv10,2024-07-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13544.html),/img/專屬寵物/地行布卡.gif,
改造布丁史萊姆,特殊系,40,10,17,16,42,9,125,火1風9,強力昏睡魔法LV7,2024-06-06,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html),/img/專屬寵物/黃金史萊姆.gif,
元宵精靈,特殊系,23,6,11,38,47,9,125,水8火2,強力遺忘魔法Lv5、混亂衝擊波Lv10,2024-02-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11704.html),/img/專屬寵物/元宵精靈.gif,
青燄,特殊系,16,8,16,41,44,9,125,水10,混亂衝擊波Lv3,2023-12-20,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10844.html),/img/專屬寵物/青燄.gif,
紫燄,特殊系,41,44,16,16,8,9,125,火10,隔山打牛Lv3,2023-12-20,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10844.html),/img/專屬寵物/紫燄.gif,
蒼燄,特殊系,16,44,16,41,8,9,125,風10,強力昏睡魔法Lv5,2023-12-20,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10844.html),/img/專屬寵物/蒼燄.gif,
奪魂陰影之主,特殊系,36,6,11,22,50,9,125,地10,單體即死Lv1、混亂衝擊波Lv10,2023-12-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html),/img/專屬寵物/奪魂陰影之主.gif,
奪魂闇影之主,特殊系,20,50,9,40,6,9,125,風10,氣功彈I、乾坤一擲Lv11,2023-12-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html),/img/專屬寵物/奪魂闇影之主.gif,
奪魂闇影,特殊系,37,39,23,20,6,9,125,風10,乾坤一擲Lv11,2023-12-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html),/img/專屬寵物/奪魂闇影.gif,
奪魂陰影,特殊系,26,10,23,20,46,9,125,地10,混亂衝擊波Lv10,2023-12-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html),/img/專屬寵物/奪魂陰影.gif,
闇影,特殊系,24,22,22,26,26,7,120,風10,,2023-12-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html),/img/專屬寵物/奪魂闇影.gif,
陰影,特殊系,28,24,22,22,24,7,120,地10,,2023-12-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html),/img/專屬寵物/奪魂陰影.gif,
22週年液態史萊姆,特殊系,39,6,15,16,49,9,125,地1水9,強力混亂魔法Lv5、攻擊無效Lv5,2023-08-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10104.html),/img/專屬寵物/22週年液態史萊姆.gif,
百變雪怪,特殊系,28,8,24,25,40,8,125,水10,混亂衝擊波Lv3,2023-07-20,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9954.html),/img/專屬寵物/百變雪怪.gif,
海洋元素使,特殊系,50,50,4,17,4,9,125,水10,氣功彈I、連擊破碎I,2023-04-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9464.html),/img/專屬寵物/海洋使徒.gif,
烈焰元素使,特殊系,17,50,4,50,4,9,125,火10,烈日突,2022-10-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8484.html),/img/專屬寵物/火之使徒.gif,
天空元素使,特殊系,17,4,4,50,50,9,125,風10,超強混亂魔法LV5,2022-11-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8704.html),/img/專屬寵物/風之使徒.gif,
大地元素使,特殊系,50,4,17,4,50,9,125,地10,超強石化魔法LV5,2022-09-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8364.html),/img/專屬寵物/大地元素使.gif,
木精靈,特殊系,45,6,19,12,43,8,125,地10,,2022-09-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8364.html),/img/專屬寵物/木精靈.gif,
光精靈,特殊系,19,6,12,45,43,8,125,風10,,2022-09-14,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8314.html),/img/專屬寵物/光精靈.gif,
冰精靈,特殊系,43,45,12,19,6,8,125,水10,,2022-09-14,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8314.html),/img/專屬寵物/冰精靈.gif,
炎精靈,特殊系,19,45,12,43,6,8,125,火10,,2022-10-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8484.html),/img/專屬寵物/炎精靈.gif,
玫瑰毒怪,特殊系,39,43,15,20,8,8,125,地10,潛龍殺Lv3,2023-03-16,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9184.html),/img/專屬寵物/玫瑰毒怪.gif,
風暴仙靈,特殊系,44,37,13,21,10,8,125,風10,,2023-01-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8944.html),/img/專屬寵物/風暴仙靈.gif,
逐月仙靈,特殊系,46,6,11,13,49,9,125,水10,單體即死魔法Lv1,2023-01-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8944.html),/img/專屬寵物/逐月仙靈.gif,
火柴小王子,特殊系,42,6,9,47,21,9,125,水5火5,昏睡魔法Lv5、遺忘魔法Lv5,2022-12-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8854.html),/img/專屬寵物/火柴小王子.gif,
碧燄,特殊系,35,10,16,20,44,8,125,地10,,2022-12-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8854.html),/img/專屬寵物/碧燄.gif,
赤燄,特殊系,39,6,12,24,44,8,125,火10,,2022-12-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8854.html),/img/專屬寵物/赤燄.gif,
山隱仙靈,特殊系,21,10,13,37,44,8,125,地10,,2022-11-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8764.html),/img/專屬寵物/山隱仙靈.gif,
潮汐仙靈,特殊系,21,10,37,13,44,8,125,水10,,2022-11-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8764.html),/img/專屬寵物/潮汐仙靈.gif,
焚炎仙靈,特殊系,37,10,13,21,44,8,125,火10,,2022-11-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8764.html),/img/專屬寵物/焚炎仙靈.gif,
星輝仙靈,特殊系,50,6,15,6,48,9,125,水5火5,氣絕回復LV1,2022-11-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8764.html),/img/專屬寵物/星輝仙靈.gif,
焦糖丸子炸彈,特殊系,12,21,13,32,47,8,125,風8地2,,2022-11-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8764.html),/img/專屬寵物/焦糖丸子炸彈.gif,
綠沼泥,特殊系,31,19,37,13,20,8,120,地5風5,埃瑞亞島（650.426）,2022-10-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8484.html),/img/專屬寵物/綠沼泥.gif,
岩鐵怪,特殊系,13,33,22,17,35,8,120,火10,貝克岩洞第4層（20.15）,2022-10-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8484.html),/img/專屬寵物/岩鐵怪.gif,
靴怪精靈,特殊系,9,19,23,34,35,8,120,地7風3,諾爾特島（316.740）,2022-10-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8484.html),/img/專屬寵物/靴怪精靈.gif,
冰靴精靈,特殊系,9,19,34,23,35,8,120,地3水7,,2022-10-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8484.html),/img/專屬寵物/冰靴精靈.gif,
甜心炸彈,特殊系,15,8,18,34,50,8,125,水5火5,強力中毒魔法Lv3,2022-06-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7743.html),/img/專屬寵物/甜心炸彈.gif,
行大運白虎王,特殊系,38,6,15,19,47,9,125,火5風5,,2022-01-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6933.html),/img/專屬寵物/行大運白虎王.gif,
贏珍寶黑虎王,特殊系,18,42,15,44,6,9,125,地1水9,,2022-01-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6933.html),/img/專屬寵物/贏珍寶黑虎王.gif,
綠茶麻薯兔兔,特殊系,21,9,33,20,40,8,123,地9風1,,2022-08-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8253.html),/img/專屬寵物/綠茶麻薯兔兔.gif,
芋泥麻薯兔兔,特殊系,33,9,20,21,40,8,123,地1水9,,2022-08-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8253.html),/img/專屬寵物/芋泥麻薯兔兔.gif,
紅豆麻薯兔兔,特殊系,33,40,20,21,9,8,123,水1火9,,2022-08-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8253.html),/img/專屬寵物/紅豆麻薯兔兔.gif,
花生麻薯兔兔,特殊系,40,33,21,20,9,8,123,火1風9,,2022-08-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8253.html),/img/專屬寵物/花生麻薯兔兔.gif,
白櫻麻薯兔兔,特殊系,42,45,12,20,6,8,125,水10,,2022-08-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8253.html),/img/專屬寵物/雪見大福兔兔.gif,
黑醬麻薯兔兔,特殊系,42,6,12,20,45,8,125,地10,,2022-08-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8253.html),/img/專屬寵物/黑糖大福兔兔.gif,
布卡,特殊系,25,21,16,35,26,8,123,地8水2,,2022-08-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8013.html),/img/專屬寵物/布卡.gif,
寄生布卡,特殊系,25,16,21,26,35,8,123,水8火2,,2022-08-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8013.html),/img/專屬寵物/寄生布卡.gif,
樹精布卡,特殊系,25,26,21,35,16,8,123,火8風2,,2022-08-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8013.html),/img/專屬寵物/樹精布卡.gif,
布卡四重奏,特殊系,17,6,17,43,42,8,125,地9水1,,2022-08-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8013.html),/img/專屬寵物/布卡四重奏.gif,
陣,特殊系,17,6,17,42,43,8,125,水9火1,,2022-08-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8013.html),/img/專屬寵物/陣.gif,
連,特殊系,42,17,17,43,6,8,125,火9風1,,2022-08-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8013.html),/img/專屬寵物/連.gif,
週年慶禮盒地精靈,特殊系,18,18,48,18,18,8,120,地9水1,,2022-05-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7463.html),/img/專屬寵物/週年慶禮盒地精靈.gif,
週年慶禮盒水精靈,特殊系,18,18,18,18,48,8,120,水9火1,,2022-05-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7463.html),/img/專屬寵物/週年慶禮盒水精靈.gif,
週年慶禮盒火精靈,特殊系,18,48,18,18,18,8,120,火9風1,,2022-05-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7463.html),/img/專屬寵物/週年慶禮盒火精靈.gif,
週年慶禮盒風精靈,特殊系,18,18,18,48,18,8,120,風9地1,,2022-05-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7463.html),/img/專屬寵物/週年慶禮盒風精靈.gif,
天使小熊,特殊系,14,47,16,42,6,8,125,地8水2,,2022-02-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7023.html),/img/專屬寵物/天使小熊.gif,
愛情小熊,特殊系,43,32,20,24,6,8,125,水8火2,,2022-02-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7023.html),/img/專屬寵物/愛情小熊.gif,
戀愛小熊,特殊系,49,31,19,20,6,8,125,火8風2,,2022-02-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7023.html),/img/專屬寵物/戀愛小熊.gif,
愛心小熊,特殊系,35,6,26,14,44,8,125,風8地2,,2022-02-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7023.html),/img/專屬寵物/愛心小熊.gif,
花生元宵,特殊系,32,32,32,12,12,7,120,地10,,2022-02-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7023.html),/img/專屬寵物/花生元宵.gif,
芝麻元宵,特殊系,32,12,32,12,32,7,120,水10,,2022-02-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7023.html),/img/專屬寵物/芝麻元宵.gif,
流沙元宵,特殊系,12,32,32,12,32,7,120,火10,,2022-02-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7023.html),/img/專屬寵物/流沙元宵.gif,
紅豆元宵,特殊系,12,12,32,32,32,7,120,風10,,2022-02-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7023.html),/img/專屬寵物/紅豆元宵.gif,
愛絲波波,特殊系,35,22,22,22,22,7,123,風5地5,,2021-12-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6533.html),/img/專屬寵物/愛絲波波.gif,
絲諾波波,特殊系,22,35,22,22,22,7,123,地5水5,,2021-12-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6533.html),/img/專屬寵物/絲諾波波.gif,
聖誕波波,特殊系,22,22,22,35,22,7,123,水5火5,,2021-12-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6533.html),/img/專屬寵物/聖誕波波.gif,
雪兒波波,特殊系,22,22,22,22,35,7,123,火5風5,,2021-12-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6533.html),/img/專屬寵物/雪兒波波.gif,
旋律影子,特殊系,24,28,22,19,27,6,120,水10,,2021-11-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6373.html),/img/專屬寵物/旋律影子.gif,
噩夢旋律影子,特殊系,23,38,8,50,6,7,125,水10,,2021-11-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6373.html),/img/專屬寵物/旋律影子.gif,
魷魚霸王,特殊系,13,6,12,46,48,8,125,水10,,2021-11-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6373.html),/img/專屬寵物/魷魚霸王.gif,
呆萌魷魚,特殊系,13,9,23,36,42,8,123,地7水3,,2021-11-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6373.html),/img/專屬寵物/呆萌魷魚.gif,
冷酷魷魚,特殊系,15,9,21,34,44,8,123,水7火3,,2021-11-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6373.html),/img/專屬寵物/冷酷魷魚.gif,
暴躁魷魚,特殊系,12,9,20,37,45,8,123,火7風3,,2021-11-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6373.html),/img/專屬寵物/暴躁魷魚.gif,
瘋狂魷魚,特殊系,17,9,15,39,43,8,123,風7地3,,2021-11-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6373.html),/img/專屬寵物/瘋狂魷魚.gif,
閃光魷魚王,特殊系,30,52,15,22,6,9,125,火10,氣功彈I,2021-11-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6373.html),/img/專屬寵物/閃光魷魚王.gif,
幻影,特殊系,20,26,25,17,32,6,120,火10,,2021-09-08,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5763.html),/img/專屬寵物/幻影.gif,
深邃幻影,特殊系,16,6,22,37,44,7,125,火10,,2021-09-08,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5763.html),/img/專屬寵物/幻影.gif,
純白液態史萊姆,特殊系,50,32,15,17,10,9,124,地1水9,,2021-07-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5313.html),/img/專屬寵物/純白液態史萊姆.gif,
粉紅炸彈,特殊系,18,11,16,30,48,10,123,水5火5,,2023-06-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9754.html),/img/專屬寵物/粉紅炸彈.gif,
祥雲寶寶,特殊系,23,10,8,36,46,9,123,火5風5,,2023-08-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10134.html),/img/專屬寵物/祥雲寶寶.gif,
霸天魔鷹,飛行系,36,40,9,34,6,9,125,地5水5,連擊LV11 、乾坤一擲LV11 、 氣功彈LV2,2025-03-19,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14934.html),/img/專屬寵物/霸天魔鷹.gif,
戰錘軍長,飛行系,40,40,11,28,6,9,125,地10,乾坤一擲LV11、石化攻擊LV11、裂空斬LV10,2025-02-20,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14794.html),/img/專屬寵物/戰錘軍長.gif,
桂紅鴨,飛行系,37,6,16,19,47,9,125,火10,混亂衝擊波LV10、超強石化魔法LV5,2024-12-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14344.html),/img/專屬寵物/桂紅鴨.gif,
火火兔,飛行系,33,47,15,24,6,9,125,火10,氣功彈I、乾坤一擲LV11,2024-12-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14344.html),/img/專屬寵物/火火兔.gif,
聖誕節火雞,飛行系,24,15,18,25,43,9,125,水1火9,混亂衝擊波LV5,2024-12-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14344.html),/img/專屬寵物/聖誕節火雞.gif,
聖誕節鴕雞,飛行系,17,39,19,37,13,9,125,水2火8,酒醉攻擊LV10,2024-12-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14344.html),/img/專屬寵物/聖誕節鴕雞.gif,
墮天使撒旦,飛行系,40,43,12,24,6,9,125,地5水5,裂空斬Lv10、乾坤一擲Lv11,2024-11-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14184.html),/img/專屬寵物/墮天使撒旦.gif,
暗黑飛龍,飛行系,38,49,11,21,6,9,125,火5風5,氣功彈I、裂空斬Lv10、單體即死LV1,2024-09-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13994.html),/img/專屬寵物/暗黑飛龍.gif,[戰慄魚人宮](/任務攻略/主線任務/海底世界系列/戰慄魚人宮) 與密道守護者對話可傳送整隊登頂
暗黑幼龍,飛行系,37,45,14,19,10,9,125,火3風7,氣功彈I,2024-09-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13994.html),/img/專屬寵物/暗黑幼龍.gif,
戰鬥使魔,飛行系,14,7,15,40,49,9,125,火7風3,超強混亂魔法Lv5,2024-09-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14004.html),/img/專屬寵物/戰鬥使魔.gif,
戰鬥獅鷲獸,飛行系,22,32,12,49,10,9,125,地6風4,連擊Lv11、石化攻擊Lv11,2024-09-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14004.html),/img/專屬寵物/戰鬥獅鷲獸.gif,
阿特拉斯海豚,飛行系,30,10,23,19,43,9,125,地3水7,混亂衝擊波Lv10、攻擊反彈Lv5,2024-09-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13994.html),/img/專屬寵物/阿特拉斯海豚.gif,
愛情天使,飛行系,32,6,8,30,49,9,125,火10,強力補血魔法LV6、潔淨魔法LV3,2024-08-08,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13744.html),/img/專屬寵物/愛情天使.gif,
神聖天使,飛行系,37,6,6,26,50,9,125,火5風5,超強補血魔法LV5、氣絕回復Lv1、超強昏睡魔法LV5,2024-08-08,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13744.html),/img/專屬寵物/神聖天使.gif,
依格羅斯,飛行系,27,45,14,29,10,9,125,火2風8,乾坤一擲Lv11,2024-08-08,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13744.html),/img/專屬寵物/依格羅斯.gif,
戰鬥天使,飛行系,33,6,8,28,50,9,125,地10,強力補血魔法LV6、大地的祈禱LV10,2024-07-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13684.html),/img/專屬寵物/戰鬥天使.gif,
天界蝙蝠,飛行系,28,6,14,30,47,9,125,風8地2,超強昏睡魔法Lv5、混亂衝擊波Lv10,2024-07-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13684.html),/img/專屬寵物/天界蝙蝠.gif,
碧藍妖精,飛行系,23,45,20,27,8,8,123,地2水8,裂空斬Lv4,2024-07-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13684.html),/img/專屬寵物/碧藍妖精.gif,
深海巨鯊,飛行系,31,50,11,27,6,9,125,水10,潛龍殺Lv10、乾坤一擲Lv11,2024-07-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13524.html),/img/專屬寵物/深海巨鯊.gif,
緣小鴨,飛行系,35,42,23,19,6,9,125,地10,潛龍殺Lv10、氣功彈I,2024-07-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13524.html),/img/專屬寵物/緣小鴨.gif,
艾克尼奇美拉,飛行系,39,45,10,25,6,9,125,地5水5,裂空斬Lv10、乾坤一擲Lv11,2024-07-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13544.html),/img/專屬寵物/艾克尼奇美拉.gif,
嗜血魔蛟,飛行系,34,45,18,22,6,9,125,火10,諸刃Lv11、裂空斬Lv10,2024-07-01,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13494.html),/img/專屬寵物/嗜血魔蛟.gif,
拉賈,飛行系,41,40,20,16,8,9,125,火1風9,氣功彈I、潛龍殺Lv10,2024-07-01,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13494.html),/img/專屬寵物/拉賈.gif,
改造墮天使,飛行系,32,33,20,30,10,9,125,地1水9,石化攻擊Lv11,2024-06-06,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13264.html),/img/專屬寵物/墮落天使.gif,
