名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,入手方法,入手類型,image
火焰啄木鳥,飛行系,22,27,19,29,13,8,110,水2火8,任務 火焰的記憶,捕捉,/img/魔力原始寵物/火焰啄木鳥.gif
狂奔鳥,飛行系,25,24,18,36,7,8,110,火2風8,"夕之湖全域(帶隊者必須持有淚之珠)
雪拉威森塔 66樓 (200.240)
鬼之烏克蘭醫院內( 13.11)",捕捉,/img/魔力原始寵物/狂奔鳥.gif
甲蟲,昆蟲系,17,37,32,12,17,7,115,地8水2,米內葛爾島南恰拉山第一或二通道之間空地(312.401),捕捉,/img/魔力原始寵物/甲蟲.gif
堀地蟲,昆蟲系,20,35,36,8,16,7,115,水8火2,米內葛爾島坎那貝拉村域(551.420)、(552.442),捕捉,/img/魔力原始寵物/堀地蟲.gif
鍬型蟲,昆蟲系,15,39,29,14,18,7,115,火8風2,雪拉威森塔84F(88.58),捕捉,/img/魔力原始寵物/鍬型蟲.gif
獨角仙,昆蟲系,18,41,34,9,14,7,116,地2風8,由米內葛爾島調查詛咒的古木(463.381)進入遺跡廢墟後(514.353),捕捉,/img/魔力原始寵物/獨角仙.gif
翠綠菇,植物系,37,12,12,17,37,7,115,地6風4,坎那貝拉村周邊(458.299),捕捉,/img/魔力原始寵物/翠綠菇.gif
水藍菇,植物系,38,15,13,15,34,7,115,地4水6,阿凱魯法村域(241.266)、(241.268),捕捉,/img/魔力原始寵物/水藍菇.gif
粉紅菇,植物系,35,10,15,14,41,7,115,水4火6,小梅之間(10.17)；到達方法參考六等勳章任務：暗殺犯追跡,捕捉,/img/魔力原始寵物/粉紅菇.gif
星菇,植物系,40,13,10,13,39,7,115,火4風6,米內葛爾島 路霸背後(311.79),捕捉,/img/魔力原始寵物/星菇.gif
綠煙,特殊系,20,20,14,25,36,7,115,地7風3,彩葉原殷紅山路(69.27)；到達方法參考任務：彩葉草之戀,捕捉,/img/魔力原始寵物/綠煙.gif
煙霧,特殊系,23,23,8,30,31,7,115,地3水7,庫魯克斯島米諾基亞村出東門向東繞過山的東邊海灘(616.834),捕捉,/img/魔力原始寵物/煙霧.gif
煙羅,特殊系,22,22,12,27,32,7,115,水3火7,貝尼恰斯火山地下9樓(30.56)、(29.59),捕捉,/img/魔力原始寵物/煙羅.gif
棉球,特殊系,25,26,9,25,30,7,115,火3風7,"完成任務「盲目之龍」可能獲得
時之塔入口(8.10)",捕捉,/img/魔力原始寵物/棉球.gif
盾,金屬系,15,15,45,15,30,6,120,地6風4,雪拉威森塔86F(121.132),捕捉,/img/魔力原始寵物/盾.gif
潛盾,金屬系,17,12,47,12,32,6,120,地4水6,庫魯克斯島(153.405),捕捉,/img/魔力原始寵物/潛盾.gif
強盾,金屬系,19,13,49,11,28,6,120,水4火6,庫魯克斯島(356.598)、(364.606),捕捉,/img/魔力原始寵物/強盾.gif
神盾,金屬系,16,9,50,8,37,6,120,火4風6,庫魯克斯島(732.681)遇到7個或7個以上敵人必有1級寶寶,捕捉,/img/魔力原始寵物/神盾.gif
岩怪,金屬系,29,22,40,5,14,8,110,地7水3,庫魯克斯島(500.632),捕捉,/img/魔力原始寵物/岩怪.gif
爆岩,金屬系,30,20,42,6,12,8,110,水7火3,伊利斯礦山大坑道(105.034),捕捉,/img/魔力原始寵物/爆岩.gif
熔岩,金屬系,32,17,37,7,17,8,110,火7風3,貝尼恰斯火山2樓(59.44),捕捉,/img/魔力原始寵物/熔岩.gif
影岩,金屬系,31,15,32,12,20,8,110,地3風7,雪拉威森塔39F(282.186),捕捉,/img/魔力原始寵物/影岩.gif
希特拉,龍系,42,42,27,7,7,,125,,,,
埃及眼鏡蛇,龍系,38,45,30,6,6,6,125,火6風4,使用化龍轉生珠,,
口袋龍,龍系,15,34,21,20,25,7,115,地5風5,庫魯克斯島魯米那斯村附近(292.815),捕捉,/img/魔力原始寵物/口袋龍.gif
迷你龍,龍系,10,35,23,21,26,7,115,地5水5,用Lv30虛弱的雛鳥到哥拉爾雷姆爾山飼養師訓練所交換,捕捉,/img/魔力原始寵物/迷你龍.gif
穴龍,龍系,11,31,20,25,28,7,115,火5風5,庫魯克斯島(402.345),捕捉,/img/魔力原始寵物/穴龍.gif
大型半獸人,人形系,34,25,35,10,11,7,115,地6水4,庫魯克斯島魯米那斯村域伊姆爾森林附近(460.629),捕捉,/img/魔力原始寵物/大型半獸人.gif
豬鬼,人形系,33,28,33,11,10,7,115,水6火4,庫魯克斯島(383.265),捕捉,/img/魔力原始寵物/豬鬼.gif
鋼鬼,人形系,30,30,30,16,9,7,115,火6風4,庫魯克斯島米諾基亞村東門出去向東的山腳(549.838),捕捉,/img/魔力原始寵物/鋼鬼.gif
半獸人,人形系,32,27,32,12,12,7,115,地4風6,哥拉爾城周邊(425.453),捕捉,/img/魔力原始寵物/半獸人.gif
陸行鯊,飛行系,29,15,36,14,9,8,103,地3水7,"法蘭城遺跡全城, 陣形為獨立站開",捕捉,/img/魔力原始寵物/陸行鯊.gif
岩石鯊,飛行系,27,36,7,8,25,8,103,水10,布拉基姆高地(151.140),捕捉,/img/魔力原始寵物/岩石鯊.gif
雛鳥,飛行系,7,8,5,38,39,10,97,風10,,捕捉,/img/魔力原始寵物/雛鳥.gif
小鴨子,飛行系,8,14,7,34,28,10,91,地10,,捕捉,/img/魔力原始寵物/小鴨子.gif
小兔子,飛行系,11,23,7,23,28,10,92,火10,,捕捉,/img/魔力原始寵物/小兔子.gif
冰蜥蜴,龍系,26,12,33,7,27,,105,,,,
戴靴怪,昆蟲系,9,9,30,26,26,8,100,地6水4,完成任務 鞋匠的煩惱,捕捉,
死神公雞,邪魔系,52,52,52,52,52,,260,,,,
銀獅,野獸系,18,42,10,32,5,5,107,火3風7,布拉基姆高地(168.116),捕捉,
黃銅怪,野獸系,32,21,10,34,18,6,115,地7水3,琥珀之卵5 - 地之昏神的領域(147.141),捕捉,
紅銅怪,野獸系,27,30,13,26,19,8,115,水7火3,琥珀之卵5 - 水之昏神的領域(167.101),捕捉,
跳跳地雷,金屬系,31,18,16,8,33,8,106,地10,琥珀之卵2 - 罪之房三樓 (209.224),捕捉,
碎碎地雷,金屬系,17,27,37,7,17,8,105,火4風6,"雪拉威森塔94F(99.62)
點數購 超合金(50點) 隨機抽得",捕捉,
走路花妖,植物系,8,39,25,12,19,9,103,地7風3,布拉基姆高地(165.243)蟲洞附近,捕捉,/img/魔力原始寵物/走路花妖.gif
跑步花妖,植物系,14,41,16,17,14,8,102,地8水2,黑歷史之石洞6樓(240.131)，岩屋七賢任務中由5F(219.90)下至6F,捕捉,/img/魔力原始寵物/跑步花妖.gif
舞蹈花妖,植物系,45,14,11,7,38,7,115,水7火3,辛梅爾(181.82)公寓，騎寵駕訓班任務中找溜五郎教官取得,捕捉,/img/魔力原始寵物/舞蹈花妖.gif
拉札魟怪,飛行系,26,31,20,24,9,,110,,,,
拉賈魟怪,飛行系,35,24,13,31,7,8,110,風10,雪拉威森塔第30層(41.57),捕捉,
烏賊怪,植物系,29,33,38,7,8,7,115,火6風4,光之路(264.250),捕捉,
羅查,龍系,11,20,25,35,19,8,110,水10,雪拉威森塔28F(68.63),捕捉,
潛地龍,金屬系,33,38,33,4,8,7,116,地2風8,光之路(196.89),捕捉,
妖化布卡,野獸系,18,15,16,51,15,,115,,,,
玫瑰粉怪,特殊系,7,23,46,28,6,8,110,地10,雪拉威森塔34F(52.186),捕捉,
尤拉蝙蝠,飛行系,22,22,22,22,22,8,110,地10,完成任務「死者之眼」,捕捉,/img/魔力原始寵物/尤拉蝙蝠.gif
歐比爾蝙蝠,飛行系,22,22,22,22,22,8,110,水10,光之路(122.192),捕捉,/img/魔力原始寵物/歐比爾蝙蝠.gif
韋伯蝙蝠,飛行系,22,22,22,22,22,8,110,火10,"雪拉威森塔5F(273.172),(239.158)",捕捉,/img/魔力原始寵物/韋伯蝙蝠.gif
歐圖蝙蝠,飛行系,22,22,22,22,22,8,110,風10,完成任務「死者之眼」,捕捉,/img/魔力原始寵物/歐圖蝙蝠.gif
